ID,Name_lang,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,CreatureDisplayID[0],CreatureDisplayID[1],CreatureDisplayID[2],CreatureDisplayID[3],PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,Cat Form,1,248,132116,1,1000,0.4,0,892,0,0,0,0,0,0,0,0,0,0,0
2,Tree of Life Form,4,2257,0,2,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0
3,Travel Form,1,216,0,0,0,0,0,918,0,0,0,0,0,0,0,0,0,0,0
4,Aquatic Form,1,216,0,0,0,0,0,2428,0,0,0,0,0,0,0,0,0,0,0
5,Bear Form,1,216,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
6,Ambient,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
7,Ghoul,6,9689,0,0,0,0,0,25527,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,Dire Bear Form,1,216,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
9,Steve's Ghoul,0,128,0,0,0,0,0,24994,0,0,0,0,0,0,0,0,0,0,0
10,Tharon'ja Skeleton,6,1034,0,0,0,0,0,9784,0,0,0,50799,49613,49609,49617,0,0,0,0
11,Darkmoon - Test of Strength,0,1226,0,0,0,0,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,BLB Player,0,0,0,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,Shadow Dance,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Creature - Bear,1,0,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,0,0
15,Creature - Cat,1,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0
16,Ghost Wolf,1,216,0,0,0,0,0,4613,0,0,0,0,0,0,0,0,0,0,0
17,Battle Stance,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Defensive Stance,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Berserker Stance,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Test,0,0,0,0,0,0,0,0,0,0,0,6603,20577,0,0,0,0,0,0
21,Zombie,6,5150,0,0,0,0,0,26942,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,Metamorphosis,3,216,0,0,0,0,0,25277,0,0,0,0,0,0,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Undead,6,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Frenzy,1,216,0,0,0,0,0,17170,0,0,0,0,0,0,0,0,0,0,0
27,"Flight Form, Epic",1,8,0,0,0,0,0,21243,0,0,0,0,0,0,0,0,0,0,0
28,Shadowform,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Flight Form,1,8,0,0,0,0,0,20857,0,0,0,0,0,0,0,0,0,0,0
30,Stealth,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Moonkin Form,0,2241,0,4,0,0,0,15374,15375,0,0,0,0,0,0,0,0,0,0
32,Spirit of Redemption,0,16640,0,0,0,0,0,16031,0,0,0,0,0,0,0,0,0,0,0
