ID,Origin[0],Origin[1],Origin[2],SoundID,OriginFacing,FileDataID,ConversationID
1,-9282.42,-3329.66,116.341,0,4.60767,116919,0
2,1658.58,1662.91,141.234,3358,3.14159,116912,16716
122,10474,813.131,1318.66,3800,3.735,116907,16713
142,-8945.52,-118.786,82.9306,3840,0.191986,116906,16711
162,-5784.35,424.736,426.592,3841,0.925025,116905,0
182,-774.695,-4911.21,19.6127,4080,2.94961,116911,0
202,-2873.26,-266.821,53.9164,4122,3.15905,116910,16714
224,-153.586,-3450.84,139.331,0,3.35103,116920,0
234,-5579.16,-455.776,406.476,3740,4.71239,116904,16712
235,-603.411,-4193.41,41.092,3760,4.67748,116908,16715
243,8099.13,-6942.68,66.7039,9156,1.13446,116902,16718
244,-3963.27,-13938.7,99.6888,9155,5.20108,116903,16720
245,-149.784,-354.238,-77.789,12213,5.34071,116909,0
246,2301.89,-5346.32,88.9573,12938,2.16421,220042,16723
247,-1585.11,2552.59,127.381,0,3.83972,319842,0
248,-1925.52,2559.49,1.67417,0,-1.98968,323399,0
249,-438.542,809.109,259.13,23418,3.14159,372761,0
250,-1085.88,-5513.45,12.111,0,0,116911,0
251,-1085.88,-5513.45,12.111,4080,0,116911,16717
252,-1085.88,-5513.45,12.111,0,0,116911,0
253,-1435.52,1671.13,0.149643,23105,3.10669,378600,16721
277,901.28,778.66,-316.327,23679,3.14159,415008,16726
278,-5183.45,606.648,410.028,0,1.48353,116905,0
279,-5183.45,606.648,410.028,3841,1.48353,116905,16719
288,-8416.85,1364.21,102.208,23106,4.69494,404865,16724
306,0,0,0,0,0,525294,0
307,131.795,-60.7378,61.6589,0,3.1765,525294,0
308,131.795,-60.7378,61.6589,0,3.1765,525294,0
343,1441.09,3371.7,170.698,31699,1.25664,616650,16722
345,963.976,2300.16,299.306,34035,4.71239,645540,0
355,5410.05,4889.69,45.1807,36894,3.14159,801289,0
356,5817.28,5203.9,18.4172,36893,3.14159,801287,0
357,6047.3,5185.92,141.588,0,3.14159,805117,0
358,5552.21,4728.16,62.7931,0,3.14159,805119,0
