ID,Tablename,Object_ID,Flags,PushID
101,BATTLEPAYDELIVERABLE,1205,0,100984
102,BATTLEPAYDELIVERABLE,1232,0,100984
103,BATTLEPAYDELIVERABLE,1233,0,100984
104,BATTLEPAYDELIVERABLE,1234,0,100984
105,ITEM,263199,0,100984
106,ITEM,263200,0,100984
107,ITEM,263201,0,100984
108,ITEM,263204,0,100984
109,ITEM,263207,0,100984
110,ANIMATIONDATA,540,0,100973
111,TIMEEVENTDATA,4873,0,101013
112,TIMEEVENTDATA,4878,0,101013
113,TIMEEVENTDATA,4886,0,101013
114,TIMEEVENTDATA,4891,0,101013
115,TIMEEVENTDATA,4899,0,101013
116,TIMEEVENTDATA,4904,0,101013
117,TIMEEVENTDATA,4912,0,101013
118,TIMEEVENTDATA,4917,0,101013
119,TIMEEVENTDATA,4925,0,101013
120,TIMEEVENTDATA,4930,0,101013
121,TIMEEVENTDATA,4938,0,101013
122,TIMEEVENTDATA,4943,0,101013
123,TIMEEVENTDATA,4951,0,101013
124,TIMEEVENTDATA,4956,0,101013
125,TIMEEVENTDATA,4964,0,101013
126,TIMEEVENTDATA,4969,0,101013
127,TIMEEVENTDATA,5133,0,101013
128,TIMEEVENTDATA,5138,0,101013
129,TIMEEVENTDATA,5159,0,101013
130,TIMEEVENTDATA,5164,0,101013
131,TIMEEVENTDATA,5265,0,101013
132,TIMEEVENTDATA,5270,0,101013
133,TIMEEVENTDATA,5278,0,101013
134,TIMEEVENTDATA,5283,0,101013
135,TIMEEVENTDATA,5291,0,101013
136,TIMEEVENTDATA,5296,0,101013
137,TIMEEVENTDATA,5304,0,101013
138,TIMEEVENTDATA,5309,0,101013
139,TIMEEVENTDATA,5317,0,101013
140,TIMEEVENTDATA,5322,0,101013
141,TIMEEVENTDATA,5330,0,101013
142,TIMEEVENTDATA,5335,0,101013
143,TIMEEVENTDATA,5367,0,101013
144,TIMEEVENTDATA,5372,0,101013
145,TIMEEVENTDATA,5380,0,101013
146,TIMEEVENTDATA,5385,0,101013
147,TIMEEVENTDATA,5393,0,101013
148,TIMEEVENTDATA,5398,0,101013
149,TIMEEVENTDATA,5406,0,101013
150,TIMEEVENTDATA,5411,0,101013
151,TIMEEVENTDATA,5419,0,101013
152,TIMEEVENTDATA,5424,0,101013
153,TIMEEVENTDATA,5432,0,101013
154,TIMEEVENTDATA,5437,0,101013
155,TIMEEVENTDATA,5449,0,101013
156,TIMEEVENTDATA,5454,0,101013
157,TIMEEVENTDATA,5909,0,101013
158,TIMEEVENTDATA,5914,0,101013
159,TIMEEVENTDATA,7457,0,101013
160,TIMEEVENTDATA,7462,0,101013
161,TIMEEVENTDATA,11700,0,101013
162,TIMEEVENTDATA,11705,0,101013
163,TIMEEVENTDATA,11965,0,101013
164,TIMEEVENTDATA,11970,0,101013
165,TIMEEVENTDATA,11991,0,101013
166,TIMEEVENTDATA,11996,0,101013
167,TIMEEVENTDATA,12017,0,101013
168,TIMEEVENTDATA,12022,0,101013
169,TIMEEVENTDATA,12043,0,101013
170,TIMEEVENTDATA,12048,0,101013
171,TIMEEVENTDATA,12056,0,101013
172,TIMEEVENTDATA,12061,0,101013
173,TIMEEVENTDATA,12069,0,101013
174,TIMEEVENTDATA,12074,0,101013
175,TIMEEVENTDATA,14176,0,101013
176,TIMEEVENTDATA,14181,0,101013
177,TIMEEVENTDATA,14310,0,101013
178,TIMEEVENTDATA,14315,0,101013
179,CHARACTERTEMPLATESETS,241,0,101036
180,ITEMEFFECT,176951,0,101024
181,ITEMXITEMEFFECT,12802,0,101024
182,BATTLEPAYDELIVERABLE,700,0,101027
183,SPELLSCRIPT,19229,0,101045
184,TACTENCRYPTION,8040,0,101063
185,TIMEEVENT,2300,0,101063
186,TIMEEVENTDATA,20397,0,101063
187,TIMEEVENTDATA,20398,0,101063
188,TIMEEVENTDATA,20399,0,101063
189,TIMEEVENTDATA,20400,0,101063
190,TIMEEVENTDATA,20401,0,101063
191,TIMEEVENTDATA,20402,0,101063
192,TIMEEVENTDATA,20403,0,101063
193,TIMEEVENTDATA,20404,0,101063
194,TIMEEVENTDATA,20405,0,101063
195,TIMEEVENTDATA,20406,0,101063
196,HOLIDAYS,181,0,101047
197,HOLIDAYS,201,0,101047
198,HOLIDAYS,321,0,101047
199,HOLIDAYS,327,0,101047
200,HOLIDAYS,329,0,101047
201,HOLIDAYS,334,0,101047
202,HOLIDAYS,341,0,101047
203,HOLIDAYS,404,0,101047
204,HOLIDAYS,423,0,101047
205,BATTLEPAYSHOPENTRY,692,0,101057
206,BATTLEPAYSHOPENTRY,694,0,101057
207,BATTLEPAYSHOPENTRY,695,0,101057
208,BATTLEPAYSHOPENTRY,696,0,101057
209,TIMEEVENTDATA,5133,0,101080
210,TIMEEVENTDATA,5138,0,101080
211,TIMEEVENTDATA,5159,0,101080
212,TIMEEVENTDATA,5164,0,101080
213,TIMEEVENTDATA,5304,0,101080
214,TIMEEVENTDATA,5309,0,101080
215,TIMEEVENTDATA,5317,0,101080
216,TIMEEVENTDATA,5322,0,101080
217,TIMEEVENTDATA,5330,0,101080
218,TIMEEVENTDATA,5335,0,101080
219,TIMEEVENTDATA,5367,0,101080
220,TIMEEVENTDATA,5372,0,101080
221,TIMEEVENTDATA,5380,0,101080
222,TIMEEVENTDATA,5385,0,101080
223,TIMEEVENTDATA,5393,0,101080
224,TIMEEVENTDATA,5398,0,101080
225,TIMEEVENTDATA,5406,0,101080
226,TIMEEVENTDATA,5411,0,101080
227,TIMEEVENTDATA,5419,0,101080
228,TIMEEVENTDATA,5424,0,101080
229,TIMEEVENTDATA,5432,0,101080
230,TIMEEVENTDATA,5437,0,101080
231,PRICINGSCRIPT,17,0,101133
232,PRICINGSCRIPTTEXT,42,0,101133
233,PRICINGSCRIPTTEXT,43,0,101133
234,PRICINGSCRIPTTEXT,148,0,101133
