ID,Pos[0],Pos[1],Pos[2],SequenceID,TimeIndex,TransportID
86,0,0,0,0,0,2074
87,0,10.087038,-1.1E-05,0,1033,2074
88,0,16.749023,0.528741,0,1767,2074
89,0,24.745222,1.56538,0,2500,2074
90,0,0,0,0,3333,2074
135,0,0,0,0,0,2093
136,0,0,66.73496,0,4400,2093
137,0,0,66.73496,0,6167,2093
138,0,0,0,0,9967,2093
139,0,0,0,0,11933,2093
165,0,0,0,0,0,2565
166,-10.087038,0,-1.1E-05,0,1333,2565
167,-16.749023,0,0.528741,0,2800,2565
168,-24.745222,0,1.56538,0,4233,2565
169,0,0,0,0,6633,2565
227,0,0,0,0,0,4172
228,0,0,0,0,5000,4172
229,2E-06,-2E-06,-1.754786,0,6100,4172
230,5E-06,-5E-06,-5.176656,0,6933,4172
231,2E-06,-2E-06,-56.811295,0,12867,4172
232,2E-06,-2E-06,-59.846,0,13833,4172
233,2E-06,-2E-06,-61.244316,0,15000,4172
234,2E-06,-2E-06,-61.244316,0,20000,4172
235,0,0,-59.833206,0,21333,4172
236,0,0,-56.73523,0,22233,4172
237,0,0,-5.24749,0,28133,4172
238,0,0,-1.585038,0,28800,4172
239,0,0,0,0,30033,4172
240,0,0,0,0,0,4173
241,0,0,0,0,5000,4173
242,0,0,1.201138,0,5900,4173
243,0,0,4.690253,0,6667,4173
244,-3E-06,2E-06,32.550922,0,10567,4173
245,-3E-06,2E-06,53.467518,0,13100,4173
246,-3E-06,2E-06,59.584812,0,14067,4173
247,-3E-06,2E-06,61.498127,0,15000,4173
248,-3E-06,2E-06,61.498127,0,20000,4173
249,-3E-06,2E-06,59.549297,0,21000,4173
250,-3E-06,2E-06,54.27323,0,21800,4173
251,-3E-06,2E-06,29.10911,0,25267,4173
252,0,0,8.591193,0,27933,4173
253,0,0,1.968553,0,28967,4173
254,0,0,0,0,30000,4173
21641,0,0,0,0,0,128970
21642,0,0,0,0,1333,128970
21643,0.443128,0.536559,-11.749226,0,3333,128970
21644,0.443128,0.536559,-11.749226,0,4667,128970
21645,0,0,0,0,6667,128970
42712,0,0,0,164,0,152614
42713,0,0,0,162,1333,152614
42714,0.443128,0.536558,-12.827268,164,3333,152614
42715,0.443128,0.536558,-12.827268,162,4667,152614
42716,0,0,0,162,6667,152614
42747,0,0,0,0,0,85556
