ID,DifficultyID,CumulativeAura,ProcCategoryRecovery,ProcChance,ProcCharges,SpellProcsPerMinuteID,ProcTypeMask[0],ProcTypeMask[1],SpellID
2650,0,0,0,101,0,0,0,0,43680
2651,0,0,0,101,0,0,0,0,43681
22415,0,0,0,101,0,0,0,0,219003
22416,0,0,0,101,0,0,0,0,219004
115698,0,0,0,100,0,0,-2146819416,0,512
115720,0,0,0,101,0,0,0,0,71
115728,0,0,0,100,0,0,-2146819416,0,113
115730,0,0,0,101,0,0,0,0,99
115732,0,0,0,100,0,0,0,0,10
115742,0,0,0,101,0,0,0,0,116
115761,0,0,0,101,0,0,0,0,133
115762,0,0,0,101,0,0,0,0,143
115763,0,0,0,101,0,0,0,0,145
115783,0,0,0,101,0,0,0,0,611
115801,0,0,0,101,0,0,0,0,89
115808,0,0,0,100,0,0,0,0,589
115813,0,20,0,101,0,0,0,0,96
115841,0,0,0,100,0,0,-2146819416,0,339
115850,0,0,0,100,0,0,0,0,594
115856,0,0,0,101,0,0,0,0,31817
115865,0,0,0,101,0,0,0,0,408
115887,0,0,0,100,0,0,-2146819416,0,122
115901,0,0,0,100,20,0,680,0,602
115930,0,0,0,101,0,0,0,0,853
115995,0,0,0,101,0,0,0,0,783
116074,0,0,0,101,0,0,0,0,605
116085,0,0,0,101,0,0,0,0,837
116104,0,0,0,101,0,0,0,0,1714
116128,0,0,0,100,20,0,680,0,588
116131,0,15,0,101,0,0,0,0,1010
116141,0,0,0,101,0,0,0,0,355
116144,0,0,0,101,0,0,40,0,379
116146,0,0,0,101,0,0,0,0,676
116149,0,3,0,101,0,0,0,0,26025
116183,0,0,0,100,0,0,-2146819416,0,865
116186,0,5,0,101,0,0,0,0,27891
116227,0,0,3500,100,3,0,139944,0,905
116231,0,0,3500,100,3,0,139944,0,324
116235,0,0,0,101,0,0,0,0,1490
116251,0,0,0,101,0,0,0,0,205
116258,0,0,0,101,0,0,0,0,1108
116272,0,0,0,101,0,0,0,0,1735
116363,0,0,20000,5,0,0,131072,0,27561
116364,0,0,0,101,0,0,0,0,1776
116416,0,0,0,101,0,0,0,0,1161
116503,0,0,0,101,0,0,0,0,768
116526,0,0,0,101,0,0,0,0,770
116549,0,0,0,101,0,0,0,0,886
116558,0,0,0,100,0,0,-2146819416,0,1062
116619,0,0,0,40,0,0,20,0,3029
116665,0,0,0,101,0,0,0,0,1160
116686,0,0,0,100,1,0,664232,0,1786
116701,0,5,0,101,0,0,0,0,7386
116706,0,0,0,100,1,0,664232,0,1787
116713,0,0,0,35,0,0,20,0,742
116721,0,0,0,100,1,0,664232,0,1784
116739,0,0,0,101,0,0,0,0,1066
116757,0,5,0,101,0,0,0,0,2819
116760,0,0,3500,100,6,0,172712,0,974
116775,0,0,0,100,1,0,664232,0,1785
116836,0,0,0,101,0,0,0,0,2094
116838,0,0,0,101,0,0,0,0,1130
116902,0,0,0,0,0,0,139944,0,1463
116932,0,0,0,101,0,0,0,0,1777
117013,0,0,0,100,0,0,-2146819416,0,1513
117020,0,0,0,101,0,0,0,0,1098
117042,0,0,0,100,0,0,0,0,970
117073,0,0,0,100,1,0,2,0,1120
117115,0,0,10000,10,0,0,20,0,3582
117150,0,0,16000,10,0,0,40,0,3284
117217,0,0,0,101,0,0,0,0,2855
117271,0,0,4000,25,0,0,40,0,3338
117308,0,0,0,101,0,0,0,0,3043
117332,0,5,0,101,0,0,0,0,2818
117363,0,0,0,101,0,0,0,0,3355
117364,0,3,0,101,0,0,0,0,3356
117386,0,0,0,100,0,0,-2146819416,0,2479
117479,0,100,0,101,0,0,0,0,2766
117480,0,0,0,100,0,0,0,0,2767
117513,0,0,0,30,0,0,0,0,2823
117542,0,20,0,101,0,0,0,0,1834
117587,0,0,0,101,0,0,0,0,2457
117700,0,0,0,30,0,0,20,0,2880
