ID,MaterialResourcesID,TextureType,ModelIndex,ItemDisplayInfoID
64044,22361,2,0,3699
64045,26226,2,0,4934
64046,26226,2,1,4934
64047,23927,2,0,9057
64048,23550,2,0,9060
64049,24158,2,0,9062
64050,24158,2,0,9063
64051,21718,2,0,9070
64052,23864,2,0,9071
64053,23864,2,1,9071
64054,22845,2,0,9073
64055,22307,2,1,9073
64056,24202,2,0,9077
64057,24202,2,1,9077
64059,23421,2,0,3727
64060,24457,2,0,3375
64061,22354,2,0,1136
64062,22356,2,0,1137
64063,23304,2,0,5070
64064,23411,2,0,5072
64065,23409,2,0,5074
64066,15527,2,0,5084
64069,23408,2,0,3405
64070,24572,2,0,1160
64071,20740,2,0,1166
64072,20373,2,0,1170
64073,21162,2,0,2208
64074,21171,2,0,2210
64076,22771,2,0,5153
64077,21970,2,0,5154
64078,22770,2,0,5161
64079,24259,2,0,5163
64080,22743,2,0,5165
64081,24261,2,0,5166
64082,24255,2,0,5170
64083,22787,2,0,5175
64084,22795,2,0,5176
64085,26219,2,0,4324
64086,26219,2,1,4324
64087,22135,2,0,5316
64088,22135,2,1,5316
64089,17298,2,0,5325
64090,20392,2,0,5474
64091,23583,2,0,5494
64092,23583,2,1,5494
64095,26208,2,0,5496
64096,26208,2,1,5496
64097,23940,2,0,5636
64098,23243,2,0,5638
64099,26919,2,0,5639
64101,18610,2,0,5330
64102,23302,2,0,5120
64103,26905,2,0,5122
64104,22804,2,0,5125
64106,22771,2,0,5129
64107,23919,2,0,5136
64109,24273,2,0,5139
64111,22749,2,0,5144
64112,23825,2,0,5506
64113,23825,2,1,5506
64114,22925,2,0,5509
64115,22324,2,0,5511
64116,22324,2,1,5511
64117,22844,2,0,5248
64118,22844,2,1,5248
64119,20419,2,0,5257
64120,23822,2,0,5676
64121,22856,2,1,5676
64122,15843,2,0,5677
64123,22321,2,0,5678
64124,22321,2,1,5678
64125,22754,2,0,5145
64126,22341,2,0,1115
64127,24274,2,0,1121
64128,23045,2,0,1123
64129,21735,2,0,1124
64130,20420,2,0,1126
64131,20414,2,0,1127
64132,21768,2,0,1128
64133,21766,2,0,1129
64134,21720,2,0,1131
64135,23585,2,0,5093
64136,23585,2,1,5093
64137,23597,2,0,5094
64138,23597,2,1,5094
64139,23422,2,0,5098
64140,22808,2,0,5105
64141,23408,2,0,5108
64142,23409,2,0,5111
64143,23611,2,0,5115
64144,23611,2,1,5115
64145,23615,2,0,5116
64146,23615,2,1,5116
64148,23045,2,0,3086
64149,23361,2,0,3092
64150,20543,2,0,3127
64151,21717,2,0,3128
64152,20414,2,0,3135
64153,24461,2,0,3243
64155,15528,2,0,3830
64156,26184,2,0,4593
64157,26184,2,1,4593
64158,26183,2,0,4594
64159,26183,2,1,4594
64160,20537,2,0,4604
64162,21166,2,0,4743
64163,20746,2,0,4759
64164,24297,2,0,5188
64165,22806,2,0,5190
64167,23723,2,0,5194
64169,23729,2,0,5197
64170,23725,2,0,5198
64171,24571,2,0,5199
64172,22341,2,0,5203
64174,23724,2,0,5205
64176,24561,2,0,5208
64177,23724,2,0,5211
64178,23730,2,0,5212
64179,24566,2,0,5215
64181,23727,2,0,5218
64182,18607,2,0,4626
64184,26203,2,0,4886
64185,26203,2,1,4886
64186,23824,2,0,4887
64187,23824,2,1,4887
64188,22362,2,0,8095
64189,26192,2,0,8098
64190,26192,2,1,8098
64192,22971,2,0,8104
64193,22971,2,0,8106
64194,22976,2,0,8107
64196,24567,2,0,5221
64197,20741,2,0,2504
64198,23433,2,0,2509
64200,18604,2,0,4369
64201,24590,2,0,8127
64202,21160,2,0,2552
64203,21160,2,0,2553
64204,20536,2,0,2557
64206,23984,2,0,1926
64207,23308,2,0,1927
64208,24264,2,0,1928
64209,22745,2,0,1929
64210,22773,2,0,1930
64211,25978,2,0,4869
64212,25978,2,1,4869
64213,24499,2,0,2669
64216,21998,2,0,2684
64217,23677,2,0,2698
64218,26900,2,0,2701
64219,23069,2,0,2704
64220,23679,2,0,2705
64221,23680,2,0,2706
64222,24562,2,0,2038
64224,25977,2,0,5414
64225,25977,2,1,5414
64226,24187,2,0,5417
64227,20534,2,0,5422
64228,23085,2,0,2707
64229,24419,2,0,4291
64230,24075,2,0,3573
64231,20484,2,0,2052
64232,23891,2,0,3363
64233,24458,2,0,3367
64234,18340,2,0,3868
64235,18616,2,0,3869
64236,23857,2,0,3871
64237,23857,2,1,3871
64239,23046,2,0,3589
64240,24465,2,0,3889
64241,24274,2,0,5279
64242,23940,2,0,5289
64243,23943,2,0,5290
64244,25171,2,0,5291
64245,23728,2,0,4770
64246,23305,2,0,5554
64248,24569,2,0,5224
64250,23929,2,0,5226
64251,23201,2,0,5228
64252,23928,2,0,5232
64253,23919,2,0,5233
64254,20421,2,0,5239
64255,26215,2,0,5240
64256,26215,2,1,5240
64257,23863,2,0,4903
64258,23863,2,1,4903
64259,24224,2,0,4904
64260,24224,2,1,4904
64262,22257,2,0,4911
64263,24229,2,0,4924
64264,24229,2,1,4924
64265,24223,2,0,4925
64266,24223,2,1,4925
64267,24606,2,0,5569
64268,15527,2,0,5599
64269,22405,2,0,1022
64270,25976,2,0,1057
64271,25976,2,1,1057
64272,25979,2,0,1058
64273,25979,2,1,1058
64274,23853,2,0,1068
64275,23853,2,1,1068
64276,23048,2,0,4386
64278,21167,2,0,4403
64279,21830,2,0,4404
64280,21167,2,0,4405
64282,24228,2,0,4488
64283,24228,2,1,4488
64284,26204,2,0,4491
64285,26204,2,1,4491
64286,20422,2,0,2617
64287,21734,2,0,1494
64288,24076,2,0,1515
64289,22758,2,0,1542
64290,22754,2,0,1544
64291,22756,2,0,1546
64292,21733,2,0,6727
64293,26183,2,0,6729
64294,26183,2,1,6729
64295,23588,2,0,16073
64296,23588,2,1,16073
64297,23556,2,0,4426
64298,22361,2,0,4427
64299,24201,2,0,5762
64300,24201,2,1,5762
64301,22755,2,0,1547
64302,24251,2,0,1550
64303,22761,2,0,1556
64304,24600,2,0,6483
64305,24600,2,0,6487
64306,24601,2,0,6488
64307,24602,2,0,6489
64308,22398,2,0,16498
64309,21833,2,0,2080
64310,23867,2,0,4455
64311,23867,2,1,4455
64312,21659,2,0,4458
64313,23854,2,0,4483
64314,23854,2,1,4483
64315,24189,2,0,5010
64316,23731,2,0,7479
