ID,BattlePetStateID,Value,BattlePetSpeciesID
335,19,500,2
336,2,500000,2
337,20,300,2
338,23,-90,2
1765,18,-200,424
1766,20,100,424
1767,19,100,424
1768,93,1,424
1769,18,-100,406
1770,20,0,406
1771,19,100,406
1772,93,1,406
1773,18,0,414
1774,20,0,414
1775,19,0,414
1785,18,0,445
1786,20,0,445
1787,19,0,445
1789,18,0,443
1790,20,0,443
1791,19,0,443
1805,18,0,434
1806,20,0,434
1807,19,0,434
1821,18,-100,390
1822,20,100,390
1823,19,0,390
1829,18,0,478
1830,20,-100,478
1831,19,100,478
1837,18,0,450
1838,20,-200,450
1839,19,200,450
1853,18,0,397
1854,20,0,397
1855,19,0,397
1877,18,0,464
1878,20,0,464
1879,19,0,464
1885,18,100,430
1886,20,-100,430
1887,19,0,430
1888,93,1,430
1893,18,0,432
1894,20,0,432
1895,19,0,432
1901,18,0,387
1902,20,100,387
1903,19,-100,387
1905,18,0,637
1906,20,0,637
1907,19,0,637
1917,18,0,449
1918,20,0,449
1919,19,0,449
1921,18,0,416
1922,20,0,416
1923,19,0,416
1925,18,100,415
1926,20,0,415
1927,19,-100,415
1928,93,1,415
1945,18,0,530
1946,20,0,530
1947,19,0,530
1953,18,0,536
1954,20,-100,536
1955,19,100,536
1961,18,100,429
1962,20,0,429
1963,19,-100,429
1964,93,1,429
1965,18,-200,393
1966,20,100,393
1967,19,100,393
1968,93,1,393
1969,18,100,423
1970,20,-200,423
1971,19,100,423
1985,18,0,452
1986,20,0,452
1987,19,0,452
2005,18,200,559
2006,20,-100,559
2007,19,-100,559
2013,18,-200,756
2014,20,100,756
2015,19,100,756
2017,18,100,480
2018,20,-100,480
2019,19,0,480
2021,18,100,554
2022,20,0,554
2023,19,-100,554
2025,18,-100,485
2026,20,-100,485
2027,19,200,485
2037,18,-100,476
2038,20,200,476
2039,19,-100,476
2041,18,0,537
2042,20,-100,537
2043,19,100,537
2049,18,0,741
2050,20,0,741
2051,19,0,741
2057,18,200,746
2058,20,-300,746
2059,19,100,746
2061,18,0,745
2062,20,0,745
2063,19,0,745
2065,18,0,742
2066,20,0,742
2067,19,0,742
2069,18,100,732
2070,20,-100,732
2071,19,0,732
2073,18,0,440
2074,20,0,440
2075,19,0,440
2077,18,-300,442
2078,20,100,442
2079,19,200,442
2080,93,1,442
2125,18,100,489
2126,20,-100,489
2127,19,0,489
2129,18,0,457
2130,20,-200,457
2131,19,200,457
2133,18,0,626
2134,20,100,626
2135,19,-100,626
2141,18,0,374
2142,20,0,374
2143,19,0,374
2145,18,-100,447
2146,20,100,447
2147,19,0,447
2149,18,-100,560
2150,20,0,560
2151,19,100,560
2153,18,100,460
2154,20,0,460
2155,19,-100,460
2157,18,0,498
2158,20,-100,498
2159,19,100,498
2165,18,0,500
2166,20,0,500
2167,19,0,500
2173,18,100,557
2174,20,0,557
2175,19,-100,557
2185,18,100,534
2186,20,0,534
2187,19,-100,534
2189,18,0,633
2190,20,0,633
2191,19,0,633
2193,18,0,647
2194,20,0,647
2195,19,0,647
2197,18,0,514
2198,20,0,514
2199,19,0,514
2209,18,-100,648
2210,20,-100,648
2211,19,200,648
2213,18,0,525
2214,20,0,525
2215,19,0,525
2221,18,0,529
2222,20,0,529
2223,19,0,529
2225,18,0,523
2226,20,-200,523
2227,19,200,523
2233,18,100,753
2234,20,0,753
2235,19,-100,753
2245,18,0,678
2246,20,0,678
2247,19,0,678
2253,18,100,722
2254,20,0,722
2255,19,-100,722
2257,18,0,718
2258,20,0,718
2259,19,0,718
2285,18,0,679
2286,20,0,679
2287,19,0,679
2293,18,0,727
2294,20,0,727
2295,19,0,727
2297,18,0,724
2298,20,0,724
