ID,Type,Param,Coeff,SpellProcsPerMinuteID
1,1,1,2.5,1
2,2,4,3.25,1
3,3,520,1.5,1
68,1,3,1,18
151,1,4,1,38
152,1,4,1,39
157,1,4,1,41
158,1,4,1,42
159,1,4,1,43
160,1,4,1,44
167,7,0,-1,50
168,1,4,1,51
169,7,0,-1,51
172,4,260,0.136,51
173,4,259,0.789,51
174,4,261,0.114,51
175,4,71,0.339,51
176,4,72,0.257,51
177,4,103,0.721,51
178,4,251,0.532,51
179,4,252,-0.162,51
180,4,70,0.295,51
181,4,263,-0.191,51
182,4,269,0.087,51
183,4,253,-0.05,51
184,4,254,0.107,51
185,4,255,-0.05,51
188,7,0,-1,54
205,7,0,-1,55
206,4,62,-0.239,55
207,4,63,-0.295,55
208,4,64,0.387,55
209,4,265,-0.375,55
210,4,266,-0.402,55
211,4,267,-0.491,55
212,4,262,0.891,55
213,4,102,0.872,55
214,4,258,-0.067,55
221,1,4,1,57
223,6,528,1,58
224,1,4,1,59
227,6,528,1,61
228,4,102,-0.35,61
229,7,0,-0.75,61
230,2,4,1,62
231,1,4,1,63
232,1,4,1,64
234,1,4,1,66
252,1,1,1,72
253,2,4,1,73
254,3,1152,0.5,74
255,5,72,0.5,75
272,1,4,1,80
273,1,5,1,81
274,4,250,-0.4,51
275,4,104,-0.4,51
276,4,268,-0.4,51
277,4,66,-0.4,51
278,4,73,-0.4,51
279,4,250,-0.4,38
280,4,104,-0.4,38
281,4,268,-0.4,38
282,4,66,-0.4,38
283,4,73,-0.4,38
284,2,4,1,60
285,1,4,1,84
286,4,62,0.25,39
287,4,266,0.25,39
288,4,265,0.1,39
289,4,267,0.15,39
290,4,262,0.05,39
291,4,63,0.2,39
292,4,64,0.2,39
293,4,102,0.1,39
294,4,258,0,39
295,4,71,0.35,38
296,4,253,0,38
297,4,260,0.15,38
298,4,259,0.55,38
299,4,263,0.55,38
300,4,103,0.3,38
301,4,251,0.5,38
302,4,72,0.05,38
303,4,254,0.2,38
304,4,70,0.45,38
305,4,261,0,38
306,4,255,0.15,38
307,4,252,0.05,38
308,4,269,0.2,38
309,4,105,-0.2,35
310,4,270,-0.2,35
311,4,65,0.1,35
312,4,256,0.4,35
313,4,257,0,35
314,4,264,-0.3,35
337,4,72,-0.625,97
338,3,256,-0.4,61
339,4,250,-0.75,39
340,4,104,-0.75,39
341,4,268,-0.75,39
342,4,66,-0.75,39
343,4,73,-0.75,39
344,4,250,-0.75,35
345,4,104,-0.75,35
346,4,268,-0.75,35
347,4,66,-0.75,35
348,4,73,-0.75,35
