SourceText_lang,ID,ItemID,Flags,SourceTypeEnum
,1,1973,0,-1
,4,32566,2,-1
,5,33223,2,-1
,7,38578,2,-1
,9,34480,0,-1
,12,67097,0,-1
,16,68806,0,-1
,17,70161,0,-1
,18,70722,0,-1
,19,72161,0,-1
,20,72231,2,-1
,23,72221,2,-1
,25,72225,2,-1
,29,21540,0,-1
,30,33079,2,-1
,33,64651,0,-1
,34,43499,0,-1
,99,32782,0,-1
,100,34499,2,-1
,101,37254,0,-1
,102,38301,2,-1
,103,44430,0,-1
,109,46709,2,-1
,110,49703,2,-1
,111,49704,2,-1
,112,52201,0,-1
,114,52253,0,-1
,116,64358,0,-1
,117,64361,0,-1
,118,64373,0,-1
,119,64383,0,-1
,120,64456,0,-1
,121,64481,0,-1
,122,64482,0,-1
,123,64646,0,-1
,124,64881,0,-1
,125,66888,4,-1
,126,69895,0,-1
,127,72159,0,-1
,128,79769,0,-1
,131,72224,2,-1
,135,72229,2,-1
,136,72227,2,-1
,147,72220,2,-1
,148,72226,2,-1
,153,72230,2,-1
,161,72233,2,-1
,168,54653,2,-1
,180,54651,2,-1
,181,72223,2,-1
,183,54343,0,-1
,184,54438,0,-1
,185,54437,0,-1
,186,44606,0,-1
,187,45057,0,-1
,188,69776,0,-1
,189,46843,0,-1
,192,34686,0,-1
,193,33927,0,-1
,195,37710,2,-1
,196,23767,0,-1
,198,45021,0,-1
,199,36863,0,-1
,200,45020,0,-1
,202,45063,2,-1
,203,69227,0,-1
,205,44719,0,-1
,208,45019,0,-1
,209,40895,0,-1
,210,33219,2,-1
,212,69777,0,-1
,214,32542,2,-1
,215,54212,2,-1
,217,45018,0,-1
,222,71259,0,-1
,223,63269,0,-1
,225,70159,0,-1
,226,46780,2,-1
,227,35275,0,-1
,228,45014,0,-1
,230,30690,0,-1
,233,71628,0,-1
,234,45015,0,-1
,237,45017,0,-1
,239,17716,0,-1
,241,45011,0,-1
,243,50471,0,-1
,244,45013,0,-1
,245,64997,4,-1
,246,63141,4,-1
,249,45016,0,-1
,250,45984,0,-1
,251,69775,0,-1
,252,69215,0,-1
,253,35227,2,-1
,255,17712,0,-1
,256,18660,0,-1
,257,36862,0,-1
,269,71137,0,-1
,275,75042,0,-1
,283,53057,0,-1
,303,72222,2,-1
,304,72228,2,-1
,343,72232,2,-1
,378,13379,0,-1
,404,69896,0,-1
,455,64488,0,-1
,465,43824,0,-1
,471,54452,2,-1
,473,60854,2,-1
,476,40768,2,-1
,477,48933,2,-1
,480,18986,2,-1
,481,30544,2,-1
,482,18984,2,-1
,483,30542,2,-1
,484,40727,2,-1
,514,37460,0,-1
,515,44820,0,-1
,1441,38506,0,-1
,1442,198647,2,-1
,1443,38233,2,-1
,1444,184871,2,-1
