ID,BeamID,SourceMinDistance,FixedLength,Flags,SourceOffset,DestOffset,SourceAttachID,DestAttachID,SourcePositionerID,DestPositionerID
5208,7656,0,0,2,0,0,34,34,0,0
5377,7693,0,0,0,0,962,-1,-1,0,0
5553,7765,0,0,0,0,962,-1,-1,0,0
5806,7854,0,0,0,1058,0,34,34,0,0
5808,7855,0,0,0,0,0,34,19,0,0
5809,7855,0,0,0,0,0,-1,-1,0,0
5813,7855,0,0,0,0,0,34,34,0,0
5866,13,0,0,2,0,0,38,34,0,0
5868,10,0,0,3,0,0,20,-1,0,0
5892,7886,0,0,1,0,0,-1,19,0,0
5986,7886,0,0,3,0,0,-1,-1,0,0
5987,7886,0,0,6,0,0,34,19,0,0
5990,7967,0,0,3,0,0,-1,-1,0,0
5996,7974,0,0,3,0,0,22,-1,0,0
6101,8011,0,0,1,0,0,19,34,0,0
6109,3,0,0,0,0,1119,34,34,0,0
6112,8014,0,0,1,0,0,21,-1,0,36
6212,8063,0,0,1,0,0,21,-1,0,36
6379,7693,0,0,0,0,962,-1,-1,0,0
6398,8138,0,0,2,0,0,22,34,0,0
6412,8150,0,12,1,0,0,19,34,0,0
6413,8151,0,13,1,0,0,19,34,0,0
6416,8151,0,11,1,0,0,19,34,0,0
6417,8151,1,7,1,0,0,19,34,0,0
6426,7855,0,0,0,0,0,34,17,0,2755
6428,8151,0,13,1,0,0,19,34,0,0
6429,8151,0,11,1,0,0,19,34,0,0
6430,8151,1,7,1,0,0,19,34,0,0
6435,7855,0,0,0,0,0,34,17,0,2755
6436,7855,0,0,0,0,0,34,17,0,2755
6440,7855,0,0,1,0,0,34,17,0,2755
6464,8151,0,13,1,0,0,19,34,0,0
6465,8151,0,11,1,0,0,19,34,0,0
6466,8151,1,7,1,0,0,19,34,0,0
6469,8150,0,0,1,0,0,19,34,0,0
6470,8151,0,0,1,0,0,19,34,0,0
6471,8151,0,0,1,0,0,19,34,0,0
6472,8151,1,0,1,0,0,19,34,0,0
