ID,Name_lang,Flags,UsesPerWeek,MaxCharges,ChargeRecoveryTime,TypeMask
1,Default,0,0,0,0,0
2,Direct Damage - Spell,0,0,0,0,0
4,Item - Combat Cons. (Potion),4,0,0,0,0
11,Item - Food,0,0,0,0,0
12,Healing - Spell,0,0,0,0,0
17,Quick Buff (Resist) - Spell,0,0,0,0,0
18,Damage Over Time - Spell,0,0,0,0,0
19,Quick Damage - Spell,0,0,0,0,0
20,Invulnerability (Other),0,0,0,0,0
21,Quick Buff - Spell,0,0,0,0,0
22,Quick Debuff - Spell,0,0,0,0,0
23,Summoning,0,0,0,0,0
24,Item - Combat Cons. (Aggressive),0,0,0,0,0
25,Quick Heal - Spell,0,0,0,0,0
26,Resurrection (Full),0,0,0,0,0
27,Item - Scroll,0,0,0,0,0
28,Item - Quick Buff,0,0,0,0,0
29,Item - Debuff,0,0,0,0,0
30,Item - Healing,0,0,0,0,0
31,Conjure (Short),0,0,0,0,0
32,Stun,0,0,0,0,0
33,Mez,0,0,0,0,0
34,Root,0,0,0,0,0
35,Direct Damage (AE) - Spell,0,0,0,0,0
36,Debuff - Spell,0,0,0,0,0
37,Invulnerability,0,0,0,0,0
38,Aura,0,0,0,0,0
39,Shapeshift,0,0,0,0,0
40,Melee (Generic),0,0,0,0,0
41,Critical,0,0,0,0,0
42,Snare,0,0,0,0,0
43,Shout,0,0,0,0,0
44,Speed,0,0,0,0,0
45,Totem (Stoneclaw),0,0,0,0,0
46,Healing (Group) - Spell,48,0,0,0,0
47,Combat States,0,0,0,0,0
49,Direct Damage (AE) - Ability,0,0,0,0,0
50,Direct Damage (AE-Cone) - Ability,0,0,0,0,0
51,Quick Debuff (DPS) - Spell,0,0,0,0,0
52,Quick Debuff (DR) - Spell,0,0,0,0,0
54,Quick Buff (DR) - Spell,0,0,0,0,0
55,Quick Buff (DPS) - Spell,32,0,0,0,0
56,Instant Heal - Spell,48,0,0,0,0
57,Quick Heal (Group) - Spell,0,0,0,0,0
58,Instant Heal (Group) - Spell,0,0,0,0,0
59,Item - Drink,0,0,0,0,0
60,Invulnerability (Temp),0,0,0,0,0
61,Energize (Group) - Spell,0,0,0,0,0
62,Energize - Spell,0,0,0,0,0
63,Big Direct Damage - Spell,0,0,0,0,0
64,Minimap Special,0,0,0,0,0
65,Melee (Special),0,0,0,0,0
66,Dodge Maneuver,0,0,0,0,0
67,Block Maneuver,0,0,0,0,0
68,Parry Maneuver,0,0,0,0,0
72,Direct Damage (AE-Persistent) Spell,0,0,0,0,0
73,Martial Arts (Generic),0,0,0,0,0
74,Martial Arts (Special),0,0,0,0,0
75,Detect,0,0,0,0,0
76,Shoot/Throw,0,0,0,0,0
77,Trade - Herbalism,0,0,0,0,0
78,Trade - Mining,0,0,0,0,0
79,Item - Potion (Non-Combat),0,0,0,0,0
82,Taunt/Detaunt,0,0,0,0,0
83,Taming,0,0,0,0,0
84,Taunt (AE),0,0,0,0,0
85,Direct Damage (AE-Chain) - Ability,0,0,0,0,0
86,Pet,0,0,0,0,0
87,Conjure (Long),0,0,0,0,0
88,Silence,0,0,0,0,0
89,Portal,0,0,0,0,0
93,Charm,0,0,0,0,0
94,Item - Summoning,0,0,0,0,0
95,Racial Ability,0,0,0,0,0
96,Racial Ability 2,0,0,0,0,0
97,Secondary - Survival,0,0,0,0,0
98,Big Direct Damage - Spell (2),0,0,0,0,0
99,Instant Spell,0,0,0,0,0
100,Item - Mana Gem,0,0,0,0,0
101,Felhunter,0,0,0,0,0
102,Item - Long Buff,0,0,0,0,0
