ID,QuestID,GroupFinderActivityID
1,83612,458
2,83611,458
3,83610,458
4,83609,458
5,83608,458
6,83607,458
7,83606,458
8,83605,458
9,83604,458
10,83603,458
56,39786,422
57,39787,422
58,39923,423
59,42483,422
61,43312,423
62,43313,423
63,43315,423
64,43331,422
65,43563,423
66,43590,423
67,44557,225
68,44683,225
69,44684,225
70,44685,225
71,44733,225
72,44764,225
173,83602,458
174,83601,458
175,83600,458
176,83599,458
177,52157,657
178,52163,657
179,52166,657
180,52169,657
181,52181,657
182,52196,657
183,52847,657
184,52848,657
185,54896,657
186,54895,657
187,56056,657
188,56057,657
189,58705,657
190,55466,657
191,61813,723
192,61814,723
193,61815,723
194,61816,723
195,64531,723
196,65143,723
197,69930,1146
198,69927,1146
199,69928,1146
200,69929,1146
201,74892,1146
202,75257,1196
205,76367,1146
206,76558,1249
207,81624,1289
208,81653,1289
209,82653,1289
210,82787,1537
211,85488,1599
212,87354,1289
213,85088,1289
214,89293,1712
