ID,Name_lang,Description_lang,CovenantID,Level,Icon,Field_10_2_6_53840_005,UiOrder
1074,Deadly Dagger,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Deadly Dagger appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""You're in Keg Leg's Crew now, swabbie. Here's your dagger, get to plundering!""",23,1,2175564,0,0
1075,Swabbie's Gloves,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Swabbie's Gloves appearance.|n|n""Leather gloves to help you grab the loot.""",23,2,1063260,0,0
1076,Surefooted Boots,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Surefooted Boots appearance.|n|n""Helps you keep your footing on ship or on land.""",23,3,590806,0,0
1077,Quilted Breeches,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Quilted Breeches appearance.|n|n""A new pair of pants to cushion your landing.""",23,4,5489011,0,0
1078,Calcified Claymore,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Calcified Claymore appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""A sword is like a dagger, but larger.""",23,5,2182692,0,0
1231,Spun Cotton Shirt,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Spun Cotton Shirt appearance.|n|nAlso unlocks the Shabby Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger.",23,6,4279080,0,0
1232,Skulker's Cloak,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Skulker's Cloak appearance.|n|n""Some plunderers prefer to stay in the shadows.""",23,7,2124014,0,0
1233,Copper Cannon,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Copper Cannon appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Plundering is easier with a cannon at your side.""",23,8,304333,0,0
1234,Warm Woolen Cap,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Warm Woolen Cap appearance.|n|n""Even the swarthiest pirate gets cold sometimes.""",23,9,1676426,0,0
1235,Silver Tidestallion,"|cFF00ccffDragonflight Mount|r|n|nUnlocks the Silver Tidestallion underwater mount.|n|n""It smells like shrimp.""",23,10,2741477,0,0
1236,Bubbles,"|cFF00ccffDragonflight Pet|r|n|cFF1eff00Plunderstorm Pet|r|n|nUnlocks the Bubbles pet. In Plunderstorm, Da'kash Grimledger can summon your pet for you.|n|n""It followed you home!""",23,11,2027915,0,0
1237,Swindler's Cutouts,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Swindler's Cutouts appearance.|n|n""For those skilled in slight of hand.""",23,12,1026773,0,0
1238,Blacksteel Saber,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Blacksteel Saber appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Forged for swarthy swashbuckling action.""",23,13,960919,0,0
1239,Silent Leathers,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Silent Leathers appearance.|n|n""Sometimes hiding is the best offense.""",23,14,590806,0,0
1240,Handwoven Trousers,"|cFF00ccffDragonflight Appearance|r|n|nUnlocks the Handwoven Trousers appearance.|n|n""A gift from the captain. They're tailor-made just for you!""",23,15,1981728,0,0
1241,Marvelous Multi-Shot,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Marvelous Multi-Shot appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Aim away from face.""",23,16,135628,0,0
1242,Fine Crimson Doublet,"|cFF00ccffDragonflight Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Fine Crimson Doublet appearance.|n|nAlso unlocks the Snazzy Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger.",23,17,5519312,0,0
