ID,Pos[0],Pos[1],Pos[2],Yaw,Pitch,Roll,Scale
962,0,0,200,0,0,0,1
1058,0.75,0,-0.5,0,0,0,1
1073,0,0,0,100,0,0,1
1090,0,0,0,0,0,0,0.5
1091,0,0,0,0,0,0,5
1092,0,0,1,0,0,0,1
1093,10,0,1,0,0,0,1
1096,0,0,0,0,0,180,1
1098,0,0,0,180,0,0,1
1099,0,0,0,0,0,0,1
1100,-50,0,2,0,0,0,3
1112,-0.2,0.01,0,0,350,90,1
1113,0,0,0,0,0,0,1.5
1114,-10,0,0,0,0,0,1.5
1119,1.5,0,2.8,0,0,0,1
1146,0,0,100,0,0,0,1
1147,0,0,10,0,0,0,1
1148,0,0,7,0,0,0,1
1169,0,0,0,0,90,0,1
1181,-0.4,0,0,0,0,0,1
1182,0,0.04,0,0,0,0,1
1194,0,0,0,0,0,0,2
1200,-0.4,0,0,0,0,0,1.1
1209,0.2,0,0.05,0,0,0,1
1211,0,0.1,0,0,0,0,1
1255,0,0,0,0,0,0,0.001
1256,0,0,0,0,0,0,0.1
1257,10,10,0,0,360,0,1
1258,0,0,0,0,0,0,0
1259,0,0,125,0,0,0,0
1263,55,4,0,0,0,0,1
1264,0,4,-1,0,0,0,1
1265,0,-4,-1,0,0,0,1
1266,55,-4,0,0,0,0,1
1267,-25,0,0,0,0,0,1
1273,0,0,0,0,180,0,1
1274,0,0,0,-7,180,0,1
1300,0,0,0,0,0,90,1
1301,0,0,-1.5,0,0,0,0.1
1302,0,0,-4,0,0,0,1.5
1303,0,0,8,0,0,0,0.1
1304,0,0,0,0,0,0,5
1305,0,0,0,0,0,0,0.5
1306,0,0,0,0,0,0,4
1342,-2,0,0,0,0,0,1
1356,-1,0,0,0,0,0,1
1358,0,0,0,0,0,0,1
1359,0,0,0,0,0,0,10
1360,0,0,0,0,0,0,10
