ID,RaceID,HideGeosetGroup,RaceBitSelection,Field_10_0_0_46047_003,HelmetGeosetVisDataID
13176,1,0,0,-1,475
13177,2,0,0,-1,475
13178,3,0,0,-1,475
13179,4,0,0,-1,475
13180,5,0,0,-1,475
13183,8,0,0,-1,475
13184,9,0,0,-1,475
13185,10,0,0,-1,475
13197,22,0,0,32,475
13198,23,0,0,-1,475
13212,1,1,0,-1,475
13213,2,1,0,-1,475
13214,3,1,0,-1,475
13215,4,1,0,-1,475
13216,5,1,0,32,475
13217,6,1,0,-1,475
13218,7,1,0,-1,475
13219,8,1,0,-1,475
13233,22,1,0,-1,475
13234,23,1,0,-1,475
13248,1,2,0,-1,475
13249,2,2,0,-1,475
13250,3,2,0,-1,475
13251,4,2,0,-1,475
13252,5,2,0,32,475
13253,6,2,0,-1,475
13254,7,2,0,-1,475
13255,8,2,0,-1,475
13269,22,2,0,32,475
13270,23,2,0,-1,475
13284,1,3,0,-1,475
13285,2,3,0,-1,475
13286,3,3,0,-1,475
13288,5,3,0,-1,475
13290,7,3,0,-1,475
13293,10,3,0,-1,475
13294,11,3,0,-1,475
13305,22,3,0,-1,475
13306,23,3,0,-1,475
13320,1,7,0,-1,475
13321,2,7,0,-1,475
13322,3,7,0,-1,475
13323,4,7,0,-1,475
13324,5,7,0,-1,475
13325,6,7,0,-1,475
13327,8,7,0,-1,475
13329,10,7,0,-1,475
13330,11,7,0,-1,475
13341,22,7,0,-1,475
13342,23,7,0,-1,475
13356,1,17,0,-1,475
13357,2,17,0,-1,475
13358,3,17,0,-1,475
13359,4,17,0,-1,475
13360,5,17,0,-1,475
13361,6,17,0,-1,475
13362,7,17,0,-1,475
13363,8,17,0,-1,475
13364,9,17,0,-1,475
13365,10,17,0,-1,475
13366,11,17,0,-1,475
13377,22,17,0,-1,475
13378,23,17,0,-1,475
23573,4,34,0,-1,475
23574,6,24,0,-1,475
23575,6,16,0,-1,475
23576,8,40,0,-1,475
23577,9,40,0,-1,475
23578,9,7,0,-1,475
23579,9,41,0,-1,475
23580,11,2,0,32,475
24081,2,35,0,-1,475
24082,3,35,0,-1,475
24083,4,39,0,-1,475
24085,6,39,0,-1,475
24086,6,37,0,-1,475
24087,7,34,0,-1,475
24088,9,35,0,-1,475
24089,11,39,0,-1,475
24307,4,3,0,-1,475
24897,8,35,0,-1,475
26706,11,37,0,-1,475
28316,1,0,0,-1,246
28317,2,0,0,-1,246
28318,3,0,0,-1,246
28319,4,0,0,-1,246
28320,5,0,0,-1,246
28321,7,0,0,-1,246
28322,8,0,0,-1,246
28323,9,0,0,-1,246
28324,10,0,0,-1,246
28325,11,0,0,-1,246
28326,12,0,0,-1,246
28327,13,0,0,-1,246
28328,14,0,0,-1,246
28329,15,0,0,-1,246
28330,18,0,0,-1,246
28331,7,2,0,-1,246
28332,2,3,0,-1,246
28333,1,7,0,-1,246
28334,2,7,0,-1,246
28335,3,7,0,-1,246
28336,5,7,0,-1,246
28337,6,7,0,-1,246
28338,7,7,0,-1,246
28339,9,7,0,-1,246
28340,11,7,0,-1,246
28341,12,7,0,-1,246
28342,13,7,0,-1,246
28343,14,7,0,-1,246
28344,15,7,0,-1,246
28345,18,7,0,-1,246
28346,1,1,0,-1,247
28347,2,1,0,-1,247
28348,3,1,0,-1,247
28349,4,1,0,-1,247
28350,6,1,0,-1,247
28351,7,1,0,-1,247
28352,8,1,0,-1,247
28354,10,1,0,-1,247
28355,11,1,0,-1,247
28356,12,1,0,-1,247
28357,13,1,0,-1,247
28358,14,1,0,-1,247
28359,15,1,0,-1,247
28360,18,1,0,-1,247
28361,1,2,0,-1,247
28362,2,2,0,-1,247
28363,3,2,0,-1,247
28364,4,2,0,-1,247
28365,5,2,0,-1,247
28366,7,2,0,-1,247
28367,8,2,0,-1,247
28369,10,2,0,-1,247
28370,11,2,0,-1,247
28371,12,2,0,-1,247
28372,13,2,0,-1,247
28373,14,2,0,-1,247
28374,15,2,0,-1,247
28375,18,2,0,-1,247
28376,1,3,0,-1,247
28377,2,3,0,-1,247
28378,3,3,0,-1,247
28379,4,3,0,-1,247
28380,6,3,0,-1,247
28381,7,3,0,-1,247
28383,10,3,0,-1,247
28384,11,3,0,-1,247
28385,12,3,0,-1,247
28386,13,3,0,-1,247
28387,14,3,0,-1,247
28388,15,3,0,-1,247
28389,18,3,0,-1,247
28390,1,0,0,-1,248
28391,2,0,0,-1,248
28392,3,0,0,-1,248
28393,4,0,0,-1,248
28394,5,0,0,-1,248
28395,7,0,0,-1,248
28396,8,0,0,-1,248
28397,9,0,0,-1,248
28398,10,0,0,-1,248
28399,11,0,0,-1,248
28400,12,0,0,-1,248
28401,13,0,0,-1,248
28402,14,0,0,-1,248
28403,15,0,0,-1,248
28404,18,0,0,-1,248
28405,1,1,0,-1,248
28406,2,1,0,-1,248
28407,3,1,0,-1,248
28408,4,1,0,-1,248
28409,6,1,0,-1,248
28410,7,1,0,-1,248
28411,8,1,0,-1,248
28413,10,1,0,-1,248
28414,11,1,0,-1,248
28415,12,1,0,-1,248
28416,13,1,0,-1,248
28417,14,1,0,-1,248
28418,15,1,0,-1,248
28419,18,1,0,-1,248
28420,1,2,0,-1,248
28421,2,2,0,-1,248
28422,3,2,0,-1,248
28423,4,2,0,-1,248
28424,5,2,0,-1,248
28425,7,2,0,-1,248
28426,8,2,0,-1,248
28428,10,2,0,-1,248
28429,11,2,0,-1,248
28430,12,2,0,-1,248
28431,13,2,0,-1,248
28432,14,2,0,-1,248
28433,15,2,0,-1,248
28434,18,2,0,-1,248
28435,1,3,0,-1,248
28436,2,3,0,-1,248
28437,3,3,0,-1,248
28438,4,3,0,-1,248
28439,6,3,0,-1,248
28440,7,3,0,-1,248
28442,10,3,0,-1,248
28443,11,3,0,-1,248
28444,12,3,0,-1,248
28445,13,3,0,-1,248
28446,14,3,0,-1,248
28447,15,3,0,-1,248
28448,18,3,0,-1,248
28449,1,7,0,-1,248
28450,2,7,0,-1,248
28451,3,7,0,-1,248
28452,5,7,0,-1,248
28453,6,7,0,-1,248
28454,7,7,0,-1,248
28456,11,7,0,-1,248
28457,12,7,0,-1,248
28458,13,7,0,-1,248
28459,14,7,0,-1,248
28460,15,7,0,-1,248
28461,18,7,0,-1,248
28462,1,0,0,-1,249
28463,2,0,0,-1,249
28464,3,0,0,-1,249
28465,4,0,0,-1,249
28466,5,0,0,-1,249
28467,7,0,0,-1,249
28468,8,0,0,-1,249
28469,9,0,0,-1,249
28470,10,0,0,-1,249
28471,11,0,0,-1,249
28472,12,0,0,-1,249
28473,13,0,0,-1,249
28474,14,0,0,-1,249
28475,15,0,0,-1,249
28476,18,0,0,-1,249
28477,7,2,0,-1,249
