WarningText_lang,ID,SpellID,OverrideCriticalTimeRemaining,Priority,PlayerConditionID,SoundKitID,Field_10_1_5_50199_007
,2,358434,0,0,0,0,0
,4,388446,2000,1,0,0,0
,5,314124,0,0,0,12197,0
,6,251742,0,0,0,183768,0
Impact!,10,1218203,0,1,0,0,0
,11,358608,0,0,0,0,0
,12,387623,0,0,0,0,0
,13,395256,3000,1,0,63968,0
,14,396363,4000,0,0,0,0
,19,369192,10000,0,0,0,0
Corrosion is about to corrupt your mind!,24,407406,5000,0,0,0,0
[DNT] Test Stacks,25,409063,15000,1,0,12202,2
Rolling Rubbish collapsing!,27,461536,5000,0,0,0,0
Your Fate is starting to separate!,28,1224865,0,0,5793,0,15
Crystalline Shockwave will occur soon!,31,1243721,8000,0,0,0,0
Crystal Encasement will occur soon!,32,1227373,6000,0,0,0,0
Alleria is ready to fire!,33,1233602,3000,0,0,0,0
Dread of the Unknown will erupt soon!,34,1225221,3000,0,0,0,0
Soaring Reshii is nearly exhausted!,35,1235114,4000,0,0,0,0
About to be zapped!,39,1246457,0,0,0,0,0
Gravity begins to overwhelm you!,40,1234570,0,0,0,0,8
Alleria is ready to fire!,41,1237623,3000,0,0,0,0
Grasp of Emptiness is expiring!,42,1232470,4000,0,0,0,0
Darkness coils at your back...,43,1249020,3000,0,0,0,0
Oblivion comes for you...,46,1257299,0,0,0,0,0
Doom!,47,1217973,10000,0,0,0,0
"Seek Void, or perish",48,1262972,0,0,0,0,0
"Seek Light, or perish",49,1262983,0,0,0,0,0
Target Locked!,50,1218187,0,0,0,0,0
Your Shadowmark is about to detonate!,51,1270497,4000,0,0,0,0
