Field_11_0_0_54675_000,ID,Field_11_0_0_54675_002,Field_11_1_0_58221_003,Field_11_1_0_58221_004
1,1,4,1,0
2,2,4,1,0
3,3,4,1,0
4,4,4,1,0
1,6,5,1,0
2,7,5,1,0
3,8,5,1,0
4,9,5,1,0
1,11,6,1,0
2,12,6,1,0
3,13,6,1,0
4,14,6,1,0
1,16,7,1,0
2,17,7,1,0
3,18,7,1,0
4,19,7,1,0
1,21,8,1,0
2,22,8,1,0
3,23,8,1,0
4,24,8,1,0
1,26,9,1,0
2,27,9,1,0
3,28,9,1,0
4,29,9,1,0
1,31,10,1,0
2,32,10,1,0
3,33,10,1,0
4,34,10,1,0
1,36,11,1,0
2,37,11,1,0
3,38,11,1,0
4,39,11,1,0
1,41,12,1,0
2,42,12,1,0
3,43,12,1,0
4,44,12,1,0
1,46,13,1,0
2,47,13,1,0
3,48,13,1,0
4,49,13,1,0
1,51,14,1,0
2,52,14,1,0
3,53,14,1,0
4,54,14,1,0
1,56,15,1,0
2,57,15,1,0
3,58,15,1,0
4,59,15,1,0
1,61,16,1,0
2,62,16,1,0
3,63,16,1,0
4,64,16,1,0
1,102,21,1,0
2,103,21,1,0
3,104,21,1,0
4,105,21,1,0
4,174,39,1,0
3,175,39,1,0
2,176,39,1,0
1,177,39,1,0
4,178,40,1,0
3,179,40,1,0
2,180,40,1,0
1,181,40,1,0
4,182,41,1,0
3,183,41,1,0
2,184,41,1,0
1,185,41,1,0
4,186,42,1,0
3,187,42,1,0
2,188,42,1,0
1,189,42,1,0
4,190,43,1,0
3,191,43,1,0
2,192,43,1,0
1,193,43,1,0
4,194,44,1,0
3,195,44,1,0
2,196,44,1,0
1,197,44,1,0
4,198,45,1,0
3,199,45,1,0
2,200,45,1,0
1,201,45,1,0
4,202,32,1,0
3,203,32,1,0
2,204,32,1,0
1,205,32,1,0
4,206,33,1,0
3,207,33,1,0
2,208,33,1,0
1,209,33,1,0
4,210,34,1,0
3,211,34,1,0
2,212,34,1,0
1,213,34,1,0
4,214,35,1,0
3,215,35,1,0
2,216,35,1,0
1,217,35,1,0
4,218,36,1,0
3,219,36,1,0
2,220,36,1,0
1,221,36,1,0
4,222,37,1,0
3,223,37,1,0
2,224,37,1,0
1,225,37,1,0
4,226,38,1,0
3,227,38,1,0
2,228,38,1,0
1,229,38,1,0
2,230,3,6,0
3,231,3,6,0
4,232,3,6,0
5,233,3,6,0
6,234,3,6,0
7,235,3,6,0
8,236,3,6,0
