ID,Name_lang,Description_lang,CategoryID,InventoryIconFileID,SpellWeight,SpellCategory,MaxQty,MaxEarnablePerWeek,Quality,FactionID,Flags[0],Flags[1]
1,Currency Token Test Token 4,Text that describes this item can be found here.,1,133792,0,0,0,0,1,0,0,0
2,Currency Token Test Token 2,,1,0,0,0,0,0,1,0,0,0
4,Currency Token Test Token 5,,3,133790,0,0,0,0,1,0,0,0
42,Badge of Justice,,1,135884,0,0,0,0,4,0,2,0
61,Dalaran Jewelcrafter's Token,Tiffany Cartier's shop in Dalaran will gladly accept these tokens for unique jewelcrafting recipes.,1,134138,0,0,0,0,1,0,0,0
81,Epicurean's Award,"Visit special cooking vendors in Dalaran and the capital cities to to purchase unusual cooking recipes, spices, and even a fine hat!",1,134411,0,0,0,0,1,0,0,0
101,Emblem of Heroism,,22,135947,0,0,0,0,4,0,0,0
102,Emblem of Valor,,22,237547,0,0,0,0,4,0,0,0
103,,,2,0,0,0,0,0,1,0,0,0
104,,,2,0,0,0,0,0,1,0,0,0
121,Alterac Valley Mark of Honor,,2,133308,0,0,100,0,2,0,0,0
122,Arathi Basin Mark of Honor,,2,133282,0,0,100,0,2,0,0,0
123,Eye of the Storm Mark of Honor,,2,136032,0,0,100,0,2,0,0,0
124,Strand of the Ancients Mark of Honor,,2,133276,0,0,0,0,2,0,0,0
125,Warsong Gulch Mark of Honor,,2,134420,0,0,100,0,2,0,0,0
126,Wintergrasp Mark of Honor,,2,133408,0,0,0,0,2,0,0,0
161,Stone Keeper's Shard,,2,134375,0,0,0,0,3,0,0,0
181,Honor Points DEPRECATED2,"If you can read this, you've found a bug. REPORT IT!",2,132484,0,0,0,0,1,0,0,0
201,Venture Coin,,2,133799,0,0,0,0,1,0,0,0
221,Emblem of Conquest,,22,135885,0,0,0,0,4,0,0,0
241,Champion's Seal,Awarded for valiant acts in the Crusader's Coliseum.,1,236246,0,0,0,0,4,0,2,0
301,Emblem of Triumph,,22,135979,0,0,0,0,4,0,0,0
321,Isle of Conquest Mark of Honor,,2,133314,0,0,0,0,2,0,0,0
341,Emblem of Frost,,22,334365,0,0,0,0,4,0,0,0
1900,Arena Points,Arena Points are gained by being victorious in arena combat. You can trade in these arena points for fabulous prizes!,2,4006481,0,0,10000,0,1,0,2097152,0
1901,Honor Points,Honor is gained by killing members of the opposite faction in PvP combat. You can use honor points to purchase special items.,2,0,0,0,75000,0,1,0,2097152,0
