AreaName_lang,ID,WMOID,NameSetID,WMOGroupID,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,UwAmbience,ZoneMusic,UwZoneMusic,IntroSound,UwIntroSound,AreaTableID,Flags
,11550,1175,0,-1,0,11,0,675,0,0,0,0,0,0
,11552,657,0,-1,0,11,0,675,0,0,0,0,0,0
,11553,657,0,23,75,0,50,675,0,0,0,0,0,0
,11554,657,0,24,75,0,50,675,0,0,0,0,0,0
,11555,657,0,25,75,0,50,675,0,0,0,0,0,0
,11556,657,0,26,0,0,0,675,0,0,0,0,0,0
,11557,660,0,-1,0,11,0,675,0,0,0,0,0,0
,11558,660,0,27,0,0,0,675,0,0,0,0,0,0
,11559,653,0,-1,75,11,50,675,204,0,0,0,0,0
,11560,653,0,28,0,0,0,675,0,0,0,0,0,0
,11561,653,0,29,0,0,50,675,0,0,0,0,0,0
,11562,653,0,30,75,0,50,675,0,0,0,0,0,0
,11563,653,0,31,75,0,50,675,0,0,0,0,0,0
,11564,665,0,-1,0,11,0,675,0,0,0,0,0,0
,11565,665,0,32,0,0,0,675,0,0,0,0,0,4
,11566,668,0,-1,75,11,50,675,204,0,0,0,0,0
,11570,668,0,36,0,0,0,675,0,0,0,0,0,0
,11572,671,0,-1,0,11,0,675,0,0,0,0,0,0
,11573,671,0,38,0,0,0,675,0,0,0,0,0,0
,11574,671,0,39,0,0,50,675,0,0,0,0,0,0
,11575,671,0,40,0,0,0,675,0,0,0,0,0,0
,11576,674,0,-1,0,11,0,675,204,0,0,0,0,0
,11577,674,0,41,75,0,50,675,0,0,0,0,0,0
,11578,674,0,42,0,0,0,675,0,0,0,0,0,0
,11579,677,0,-1,0,11,0,675,0,0,0,0,0,0
,11580,677,0,43,0,0,50,675,0,0,0,0,0,0
,11581,677,0,44,0,0,50,675,0,0,0,0,0,0
,11582,63,0,-1,0,11,0,675,0,0,0,0,0,0
,11583,63,0,45,0,0,0,675,0,0,0,0,0,0
,11584,64,0,-1,0,11,0,675,0,0,0,0,0,0
,11585,64,0,46,0,0,0,675,0,0,0,0,0,0
Ahn'Qiraj,11586,1178,0,-1,75,11,150,675,249,0,0,0,3428,0
,11587,1178,0,47,0,0,354,675,0,0,0,0,3428,4
,11589,1178,0,49,0,0,354,675,0,0,0,0,3428,4
,11595,1178,0,55,0,0,0,675,0,0,0,0,3428,4
,11596,1178,0,56,0,0,0,675,0,0,0,0,3428,4
,11597,1178,0,57,0,0,0,675,0,0,0,0,3428,4
,11607,1178,0,67,0,0,0,675,0,0,0,0,3428,4
,11609,1178,0,69,0,0,0,675,0,0,0,0,3428,4
,11611,1178,0,71,0,0,0,675,0,0,0,0,3428,4
,11612,1178,0,72,0,0,0,675,0,0,0,0,3428,4
,11614,1178,0,74,0,0,0,675,0,0,0,0,3428,4
,11615,1178,0,75,0,0,0,675,0,0,0,0,3428,4
,11616,1178,0,76,0,0,0,675,0,0,0,0,3428,4
,11617,1178,0,77,0,0,0,675,0,0,0,0,3428,4
,11621,1178,0,81,0,0,354,675,0,0,469,0,3428,4
,11627,1178,0,87,0,0,0,675,0,0,0,0,3428,4
,11632,1269,0,-1,0,11,0,675,0,0,0,0,0,0
,11633,1269,0,92,0,0,0,675,0,0,0,0,0,0
,11634,1270,0,-1,0,11,0,675,0,0,0,0,0,0
,11635,1270,0,93,0,0,0,675,0,0,0,0,0,0
,11636,1271,0,-1,0,11,0,675,0,0,0,0,0,0
,11637,1271,0,94,0,0,0,675,0,0,0,0,0,0
,11638,629,0,-1,0,11,0,675,0,0,0,0,0,0
,11639,629,0,95,75,0,2985,675,0,0,0,0,0,0
,11640,629,0,96,75,0,2985,675,0,0,0,0,0,0
,11641,629,0,97,75,0,2985,675,0,0,0,0,0,0
,11642,629,0,98,75,0,2985,675,0,0,0,0,0,0
,11643,629,0,99,75,0,2985,675,0,0,0,0,0,0
,11644,629,0,100,75,0,2985,675,0,0,0,0,0,0
,11645,629,0,101,0,0,0,675,0,0,0,0,0,0
,11646,629,0,102,75,0,2985,675,0,0,0,0,0,0
,11647,629,0,103,75,0,2985,675,0,0,0,0,0,0
,11648,629,0,104,75,0,2985,675,0,0,0,0,0,0
