ID,Name_lang,MapID,QuestPOIBlobID,AreaPOIIconEnum
9,Ironband's Excavation Site,0,54097,177
10,Ironbeard's Tomb,0,54124,177
12,Whelgar's Excavation Site,0,54126,177
13,Greenwarden's Fossil Bank,0,54127,177
15,Thoradin's Wall,0,54129,177
18,Witherbark Digsite,0,54132,177
19,Thandol Span,0,54133,177
20,Dun Garok Digsite,0,54134,177
21,Southshore Fossil Field,0,54135,177
22,Aerie Peak Digsite,0,54136,177
23,Shadra'Alor Digsite,0,54137,177
24,Altar of Zul Digsite,0,54138,177
25,Jintha'Alor Lower City Digsite,0,54139,177
26,Jintha'Alor Upper City Digsite,0,54140,177
27,Agol'watha Digsite,0,54141,177
140,TEMPLATE TROLL,0,54828,177
142,TEMPLATE DWARF,0,54830,177
144,Hammertoe's Digsite,0,54832,177
146,Tomb of the Watchers Digsite,0,54834,177
150,Uldaman Entrance Digsite,0,54838,177
152,Sunken Temple Digsite,0,54862,177
154,Misty Reed Fossil Bank,0,54864,177
161,TEMPLATE NIGHT ELF ,0,55348,177
163,Twilight Grove Digsite,0,55350,177
165,Vul'Gol Fossil Bank,0,55352,177
167,Nazj'vel Digsite,1,55354,177
169,Zoram Strand Digsite,1,55356,177
171,Ruins of Ordil'Aran,1,55398,177
173,Ruins of Stardust,1,55400,177
175,Forest Song Digsite,1,55402,177
177,Stonetalon Peak,1,55404,177
179,Ruins of Eldre'Thar,1,55406,177
181,Unearthed Grounds,1,55408,177
183,Bael Modan Digsite,1,55410,177
185,Ruins of Eldarath,1,55412,177
187,Ruins of Arkkoran,1,55414,177
189,Lakeridge Highway Fossil Bank,0,55416,177
191,Slitherblade Shore Digsite,1,55418,177
193,Ethel Rethor Digsite,1,55420,177
195,Valley of Bones,1,55422,177
197,Mannoroc Coven Digsite,1,55424,177
199,Kodo Graveyard,1,55426,177
201,Sargeron Digsite,1,55428,177
203,Red Reaches Fossil Bank,0,55434,177
205,Dreadmaul Fossil Field,0,55436,177
207,Grimsilt Digsite,0,55438,177
209,Pyrox Flats Digsite,0,55440,177
211,Western Ruins of Thaurissan,0,55442,177
213,Eastern Ruins of Thaurissan,0,55444,177
215,Terror Wing Fossil Field,0,55446,177
217,Zul'Mashar Digsite,0,55448,177
219,Quel'Lithien Lodge Digsite,0,55450,177
221,Infectis Scar Fossil Field,0,55452,177
223,Eastern Zul'Kunda Digsite,0,55454,177
225,Western Zul'Kunda Digsite,0,55456,177
227,Bal'lal Ruins Digsite,0,55458,177
229,Balia'mah Digsite,0,55460,177
231,Ziata'jai Digsite,0,55462,177
233,Eastern Zul'Mamwe Digsite,0,55464,177
235,Western Zul'Mamwe Digsite,0,55466,177
237,Savage Coast Raptor Fields,0,55468,177
239,Ruins of Aboraz,0,55470,177
241,Ruins of Jubuwal,0,55472,177
243,Gurubashi Arena Digsite,0,55474,177
245,Nek'mani Wellspring Digsite,0,55476,177
247,Felstone Fossil Field,0,55478,177
249,Northridge Fossil Field,0,55480,177
251,Andorhal Fossil Bank,0,55482,177
259,Wyrmbog Fossil Field,1,55755,177
261,Quagmire Fossil Field,1,55757,177
279,Dire Maul Digsite,1,56327,177
281,Broken Commons Digsite,1,56329,177
283,Ravenwind Digsite,1,56331,177
285,Oneiros Digsite,1,56333,177
287,Solarsal Digsite,1,56335,177
289,Darkmist Digsite,1,56337,177
291,South Isildien Digsite,1,56339,177
293,North Isildien Digsite,1,56341,177
295,Constellas Digsite,1,56343,177
297,Morlos'Aran Digsite,1,56345,177
299,Jaedenar Digsite,1,56347,177
301,Ironwood Digsite,1,56349,177
303,Lake Kel'Theril Digsite,1,56351,177
305,Owl Wing Thicket Digsite,1,56354,177
307,Frostwhisper Gorge Digsite,1,56356,177
309,Fields of Blood Fossil Bank,1,56358,177
313,Nightmare Scar Digsite,1,56362,177
315,Zul'Farrak Digsite,1,56364,177
317,Broken Pillar Digsite,1,56367,177
319,Eastmoon Ruins Digsite,1,56369,177
321,Southmoon Ruins Digsite,1,56371,177
323,Dunemaul Fossil Ridge,1,56373,177
325,Abyssal Sands Fossil Ridge,1,56375,177
327,Lower Lakkari Tar Pits,1,56380,177
329,Upper Lakkari Tar Pits,1,56382,177
331,Terror Run Fossil Field,1,56384,177
333,Screaming Reaches Fossil Field,1,56386,177
335,Marshlands Fossil Bank,1,56388,177
337,Southwind Village Digsite,1,56390,177
339,Gor'gaz Outpost Digsite,530,56392,177
341,Zeth'Gor Digsite,530,56394,177
343,Hellfire Basin Digsite,530,56396,177
345,Hellfire Citadel Digsite,530,56398,177
347,Sha'naar Digsite,530,56400,177
349,Boha'mu Ruins Digsite,530,56402,177
351,Twin Spire Ruins Digsite,530,56404,177
353,Ruins of Enkaat Digsite,530,56406,177
355,Arklon Ruins Digsite,530,56408,177
357,Ruins of Farahlon Digsite,530,56410,177
359,Ancestral Grounds Digsite,530,56412,177
363,Sunspring Post Digsite,530,56416,177
365,Laughing Skull Digsite,530,56418,177
367,Burning Blade Digsite,530,56420,177
369,Halaa Digsite,530,56422,177
371,Grangol'var Village Digsite,530,56424,177
373,Tuurem Digsite,530,56426,177
375,Bleeding Hollow Ruins Digsite,530,56428,177
377,Bonechewer Ruins Digsite,530,56430,177
379,Bone Wastes Digsite,530,56432,177
381,East Auchindoun Digsite,530,56434,177
383,West Auchindoun Digsite,530,56437,177
385,Illidari Point Digsite,530,56439,177
387,Coilskar Point Digsite,530,56441,177
391,Ruins of Baa'ri Digsite,530,56446,177
393,Eclipse Point Digsite,530,56448,177
395,Warden's Cage Digsite,530,56450,177
399,Dragonmaw Fortress,530,56455,177
401,Skorn Digsite,571,56504,177
403,Halgrind Digsite,571,56506,177
405,Wyrmskull Digsite,571,56508,177
407,Shield Hill Digsite,571,56510,177
409,Baleheim Digsite,571,56512,177
411,Nifflevar Digsite,571,56514,177
413,Gjalerbron Digsite,571,56516,177
415,Pit of Narjun Digsite,571,56518,177
417,Moonrest Gardens Digsite,571,56520,177
419,En'kilah Digsite,571,56522,177
421,Kolramas Digsite,571,56524,177
423,Riplash Ruins Digsite,571,56526,177
425,Violet Stand Digsite,571,56528,177
427,Ruins of Shandaral Digsite,571,56530,177
429,Altar of Sseratus Digsite,571,56533,177
431,Zim'Rhuk Digsite,571,56535,177
433,Zol'Heb Digsite,571,56537,177
435,Altar of Quetz'lun Digsite,571,56539,177
437,Talramas Digsite,571,56541,177
439,Voldrune Digsite,571,56543,177
443,Drakil'Jin Ruins Digsite,571,56547,177
445,Brunnhildar Village Digsite,571,56549,177
447,Sifreldar Village Digsite,571,56551,177
449,Valkyrion Digsite,571,56553,177
451,Scourgeholme Digsite,571,56555,177
455,Ymirheim Digsite,571,56560,177
457,Jotunheim Digsite,571,56562,177
459,Njorndar Village Digsite,571,56564,177
461,Ruins of Lar'donir Digsite,1,56566,177
463,Shrine of Goldrinn Digsite,1,56568,177
465,Grove of Aessina Digsite,1,56570,177
467,Sanctuary of Malorne Digsite,1,56572,177
469,Scorched Plain Digsite,1,56574,177
471,Quel'Dormir Gardens Digsite,0,56576,177
473,Nar'shola (Middle Tier) Digsite,0,56578,177
475,Biel'aran Ridge Digsite,0,56580,177
477,Dunwald Ruins Digsite,0,56583,177
479,Thundermar Ruins Digsite,0,56585,177
481,Humboldt Conflagration Digsite,0,56587,177
485,Khartut's Tomb Digsite,1,56591,177
487,Tombs of the Precursors Digsite,1,56593,177
489,Steps of Fate Digsite,1,56595,177
491,Neferset Digsite,1,56597,177
493,Orsis Digsite,1,56599,177
495,Ruins of Ammon Digsite,1,56601,177
497,Ruins of Khintaset Digsite,1,56603,177
499,Temple of Uldum Digsite,1,56605,177
501,Ruins of Ahmtul Digsite,1,56607,177
570,River Delta Digsite,1,60350,177
572,Cursed Landing Digsite,1,60352,177
574,Keset Pass Digsite,1,60354,177
576,Akhenet Fields Digsite,1,60356,177
578,Obelisk of the Stars Digsite,1,60358,177
581,Sahket Wastes Digsite,1,60361,177
583,Schnottz's Landing,1,60363,177
587,Pit of Fiends Digsite,571,60367,177
589,Sands of Nasam,571,60369,177
615,Terrorweb Tunnel Digsite,0,60442,177
617,Plaguewood Digsite,0,60444,177
