Icon,String_lang,Tooltip_lang,DynamicTooltip_lang,ExtendedUI,ID,MapID,AreaID,StateVariable,Type,DynamicIconFileID,DynamicFlashIconFileID,OrderIndex,PhaseUseFlags,PhaseID,PhaseGroupID,ExtendedUIStateVariable[0],ExtendedUIStateVariable[1],ExtendedUIStateVariable[2]
Interface\TargetingFrame\UI-PVP-Horde,%1582w/%1601w,Horde flag captures,Alliance flag has been picked up,,3,489,3277,2338,0,0,0,1,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-FlagCapture,Flag Captures,Number of times you have captured the enemy flag,,,42,489,0,0,2,0,0,1,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-FlagReturn,Flag Returns,Number of times you have returned your flag to your base from the field,,,44,489,0,0,2,0,0,2,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-TowerCapture,Towers Assaulted,Number of times enemy tower banners have been removed,,,61,30,0,0,2,0,0,3,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-GraveyardCapture,Graveyards Assaulted,Number of times enemy graveyard banners have been removed,,,63,30,0,0,2,0,0,1,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-TowerDefend,Towers Defended,Number of times a tower capture has been prevented,,,64,30,0,0,2,0,0,4,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-GraveyardDefend,Graveyards Defended,Number of times a graveyard capture has been prevented,,,65,30,0,0,2,0,0,2,0,0,0,0,0,0
,Secondary Objectives,Number of secondary units activated,,,82,30,0,0,2,0,0,7,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-TowerCapture,Bases Assaulted,Number of times enemy base banners have been removed,,,122,529,0,0,2,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-TowerDefend,Bases Defended,Number of times a base capture has been prevented,,,123,529,0,0,2,0,0,1,0,0,0,0,0,0
,Progress: %2427w,,,CAPTUREPOINT,139,530,3483,2473,1,0,0,0,0,0,0,2474,2475,0
Interface\WorldStateFrame\AllianceTower,Controlled: %2476w,Alliance Forts Controlled,Last Winner: Alliance,,140,530,3483,2490,1,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\HordeTower,Controlled: %2478w,Horde Forts Controlled,Last Winner: Horde,,141,530,3483,2489,1,0,0,0,0,0,0,0,0,0
,Invading Enemies = %2454w,Number of Invading Enemies in the Horde Base,,,142,534,3606,2453,0,0,0,0,0,0,0,0,0,0
,Invading Enemies = %2454w,Number of Invading Enemies in the Horde Base,,,143,534,3606,2486,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,Guards Remaining: %2491w/%2493w,,,,144,530,3518,2503,1,0,0,0,0,0,0,0,0,0
,Progress: %2494w,,,CAPTUREPOINT,145,530,3518,2495,1,0,0,0,0,0,0,2494,2497,0
Interface\TargetingFrame\UI-PVP-Alliance,Guards Remaining: %2491w/%2493w,,,,146,530,3518,2502,1,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\NeutralTower,Time Remaining - %2509w:%2512w%2510w,Time remaining until the Spirit Towers become capturable.,,,147,530,3519,2508,1,0,0,0,0,0,0,0,0,0
,,,,CAPTUREPOINT,148,530,3521,2527,1,0,0,0,0,0,0,2528,2529,0
,,,,CAPTUREPOINT,149,530,3521,2533,1,0,0,0,0,0,0,2534,2535,0
,Medivh's Shield Remaining: %2540w%,,,,150,269,2366,2541,0,0,0,0,0,0,0,0,0,0
,Green Team: %3600w Players Remaining,,,,151,562,0,2547,0,0,0,0,0,0,0,0,0,0
,Gold Team: %3601w Players Remaining,,,,152,562,0,2547,0,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\AllianceTower,West Beacon,Alliance Controlled Beacon,,,153,530,3521,2555,1,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\HordeTower,West Beacon,Horde Controlled Beacon,,,154,530,3521,2556,1,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\NeutralTower,West Beacon,Neutral Controlled Beacon,,,155,530,3521,2557,1,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\AllianceTower,East Beacon,Alliance Controlled Beacon,,,156,530,3521,2558,1,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\HordeTower,East Beacon,Horde Controlled Beacon,,,157,530,3521,2559,1,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\NeutralTower,East Beacon,Neutral Controlled Beacon,,,158,530,3521,2560,1,0,0,0,0,0,0,0,0,0
,Gold Team: %3601w Players Remaining,,,,159,559,0,2577,0,0,0,0,0,0,0,0,0,0
,Green Team: %3600w Players Remaining,,,,160,559,0,2577,0,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\AllianceTower,Towers Controlled: %2621w,Alliance Towers Controlled,,,161,530,3519,2620,1,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\HordeTower,Towers Controlled: %2622w,Horde Towers Controlled,,,162,530,3519,2620,1,0,0,0,0,0,0,0,0,0
,,,,CAPTUREPOINT,163,530,3519,2623,0,0,0,0,0,0,0,2625,2624,0
,,,,CAPTUREPOINT,164,566,0,2718,0,0,0,0,0,0,0,2719,2720,0
,Incendiary Bombs Set = %2436w/5,Number of Incendiary Bombs Placed in Durnholde,,,165,560,2367,2436,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,Bases: %2752w  Victory Points: %2749w/1600,,,,166,566,0,2769,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,Bases: %2753w  Victory Points: %2750w/1600,,,,167,566,0,2770,0,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\AllianceTower,Time Remaining - %2509w:%2512w%2510w,Time remaining until the Spirit Towers become capturable.,,,168,530,3519,2767,1,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\HordeTower,Time Remaining - %2509w:%2512w%2510w,Time remaining until the Spirit Towers become capturable.,,,169,530,3519,2768,1,0,0,0,0,0,0,0,0,0
,Time Rifts Opened: %2784w/18,,,,171,269,2366,2541,0,0,0,0,0,0,0,0,0,0
,Current Wave = %2842w of 8,Current Wave,,,172,534,3606,2842,0,0,0,0,0,0,0,0,0,0
,North Warp-Gate: %2880w%,,,,173,530,3831,2889,0,0,0,0,0,0,0,0,0,0
,South Warp-Gate: %2881w%,,,,174,530,3831,2889,0,0,0,0,0,0,0,0,0,0
,Gold Team: %3601w Players Remaining,,,,175,572,0,3002,0,0,0,0,0,0,0,0,0,0
,Green Team: %3600w Players Remaining,,,,176,572,0,3002,0,0,0,0,0,0,0,0,0,0
,Shield Remaining: %3054w%,Percentage of the shield remaining.,,,177,530,4008,3055,0,0,0,0,0,0,0,0,0,0
,%3082w / 12 Marksmen Remaining,Number of Theramore defenders still alive.,,,178,1,513,3083,0,0,0,0,0,0,0,0,0,0
,Time Until Sacrifice: %3106w Min,Time remaining until prisoners are killed.,,,179,568,3805,3104,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,Reinforcements: %3127w,Alliance Reinforcements,,,180,30,0,3134,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,Reinforcements: %3128w,Horde Reinforcements,,,181,30,0,3133,0,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-FlagCapture2.blp,Flag Captures,Number of times you have captured the flag,,,183,566,0,0,2,0,0,0,0,0,0,0,0,0
,Progress: %3467w,,,CAPTUREPOINT,184,571,0,3466,1,0,0,0,0,0,0,3467,3468,0
,Plagued Crates Revealed = %3480w/5,Number of plagued grain crates revealed.,,,185,595,0,3479,0,0,0,0,0,0,0,0,0,0
,Progress: %2427w,,,CAPTUREPOINT,186,571,0,3501,1,0,0,0,0,0,0,3502,3508,0
,Scourge Wave = %3504w/10,Number of Scourge waves encountered.,,,187,595,0,3504,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,Vehicles: %3490w/%3491w,Horde status,,,188,571,4197,3710,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,Vehicles: %3680w/%3681w,Alliance status,,,189,571,4197,3710,0,0,0,0,0,0,0,0,0,0
,Centrifuge Constructs: %3486w Remaining,,,,190,578,0,3524,0,0,0,0,0,0,0,0,0,0
,Progress: %3537w,,,CAPTUREPOINT,191,607,0,3536,1,0,0,0,0,0,0,3537,3538,0
Interface\TargetingFrame\UI-PVP-Alliance,Attacker,Alliance status,,,192,607,4384,4352,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,Defender,Horde status,,,193,607,4384,4352,0,0,0,0,0,0,0,0,0,0
,End of Round: %3559w:%3560w%3561w,Round ends after this duration,,,194,607,4384,2889,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,Defender,Alliance status,,,196,607,4384,4353,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,Attacker,Horde status,,,197,607,4384,4353,0,0,0,0,0,0,0,0,0,0
,Bonus Time: %3559w:%3560w%3561w,Time left for bonus points,,,198,607,4384,3571,0,0,0,0,0,0,0,0,0,0
,End of Round: %3559w:%3560w%3561w,Round ends after this duration,,,199,607,4384,3565,0,0,0,0,0,0,0,0,0,0
,Forces of the Light Remaining: %3590w,Forces of the Light remaining!,,,200,609,0,3592,0,0,0,0,0,176,0,0,0,0
,Forces of the Scourge Remaining: %3591w,Forces of the Scourge remaining!,,,201,609,0,3592,0,0,0,0,0,176,0,0,0,0
,%3604w minutes until the battle for Light's Hope Chapel begins!,Time remaining until the battle for Light's Hope Chapel begins!,,,202,609,0,3603,1,0,0,0,0,176,0,0,0,0
,The battle for Light's Hope Chapel has begun!,,,,203,609,0,3605,1,0,0,0,0,176,0,0,0,0
,Gold Team: %3601w Players Remaining,,,,204,617,0,3610,0,0,0,0,0,0,0,0,0,0
,Green Team: %3600w Players Remaining,,,,205,617,0,3610,0,0,0,0,0,0,0,0,0,0
,Gold Team: %3601w Players Remaining,,,,206,618,0,3610,0,0,0,0,0,0,0,0,0,0
,Green Team: %3600w Players Remaining,,,,207,618,0,3610,0,0,0,0,0,0,0,0,0,0
,Time Remaining: %3781k,Game ends after this duration,,,208,571,4197,3710,3,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Alliance,Alliance Controlled,,,,210,571,4197,3803,0,0,0,0,0,0,0,0,0,0
Interface\TargetingFrame\UI-PVP-Horde,Horde Controlled,,,,211,571,4197,3802,0,0,0,0,0,0,0,0,0,0
,Next Battle: %4354k,The War for Lake Wintergrasp will resume after this duration.,,,212,571,4197,3801,3,0,0,0,0,0,0,0,0,0
,Prison Seal Integrity: %3815w%,,,,213,608,0,3816,0,0,0,0,0,0,0,0,0,0
,Portals Opened: %3810w/18,,,,214,608,4415,3816,0,0,0,0,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-FlagCapture,Walls Destroyed,Number of times you have destroyed enemy walls.,,,215,571,0,0,2,0,0,1,0,0,0,0,0,0
Interface\WorldStateFrame\ColumnIcon-FlagCapture,Buildings Destroyed,Number of times you have destroyed enemy buildings.,,,216,571,0,0,2,0,0,1,0,0,0,0,0,0
,The battle for Undercity has begun!,The battle for Undercity has begun!,,,217,0,0,3875,1,0,0,0,0,175,0,0,0,0
,%3877w minutes until the battle for the Undercity begins!,Time remaining until the battle for the Undercity begins!,,,218,0,0,3876,1,0,0,0,0,175,0,0,0,0
