ID,LabelID,QuestID
1,2686,64734
2,2703,75277
3,2703,75293
4,2703,75294
5,2703,75310
6,2703,75311
7,2703,75312
8,2703,75317
9,2703,75318
10,2703,75319
11,2703,75330
12,2703,75331
13,2703,75332
14,2703,75347
15,2703,75355
16,2703,75356
17,2703,75378
18,2703,75379
19,2703,75380
20,2703,75385
21,2703,75386
22,2703,75387
23,2703,75394
24,2703,75395
25,2703,75396
26,2703,75409
27,2703,75410
28,2703,75411
29,2703,75412
30,2703,75413
31,2703,75414
32,2703,75437
33,2703,75438
34,2703,75439
35,2703,75463
36,2703,75464
37,2703,75465
38,2703,75468
39,2703,75469
40,2703,75470
41,2703,75472
42,2703,75473
43,2703,75474
44,2703,75481
45,2703,75482
46,2703,75483
47,2703,75485
48,2703,75486
49,2703,75487
50,2705,76269
51,2705,76266
52,2705,76251
53,2705,76246
54,2705,76245
55,2705,76244
56,2705,76162
57,2705,76076
58,2705,75991
59,2705,75990
60,2705,75989
61,2705,75988
62,2705,75987
63,2705,75971
64,2705,75970
65,2705,75657
66,2705,75466
68,2741,76987
69,2741,77513
70,2741,77521
71,2741,77522
72,2741,77523
73,2741,77524
74,2741,76508
75,2741,77288
76,2686,77435
77,2751,77096
78,2751,77097
79,2751,77152
80,2751,77099
81,2751,77155
82,2751,77153
83,2751,76531
84,2751,77095
85,2761,65436
86,2761,65435
87,2762,75162
88,2762,72058
89,2762,72019
90,2762,72008
91,2762,71225
92,2762,70439
93,2762,70209
94,2762,69949
95,2762,67005
118,2764,43162
119,2764,39721
120,2764,39720
121,2764,39719
122,2764,39716
123,2764,29377
124,2764,29376
125,2764,29375
126,2764,29374
127,2764,29371
128,2764,29144
129,2764,29075
130,2764,29054
131,2764,12155
132,2764,12139
133,2764,12135
134,2764,12133
135,2764,11405
136,2764,11404
137,2764,11401
138,2764,11219
139,2764,11131
140,2773,73084
141,2773,73083
142,2773,73082
143,2773,73080
144,2773,73079
145,2773,73078
146,2774,70163
147,2774,70158
148,2774,70060
149,2774,70052
150,2774,69958
151,2774,67742
152,2774,67566
153,2774,67297
154,2774,67096
155,2774,67032
156,2774,67003
157,2774,66947
158,2774,66886
159,2774,66881
160,2774,66878
161,2774,66836
162,2774,66787
163,2774,66778
164,2774,66733
165,2774,66728
166,2774,66726
167,2774,66722
168,2774,66712
169,2774,66692
170,2801,27846
171,2801,27841
172,2801,14177
173,2801,14176
174,2801,14175
175,2801,14174
176,2801,14173
177,2801,14172
178,2801,14171
179,2801,14170
180,2801,14169
181,2801,14168
182,2801,14167
183,2801,14166
184,2801,13952
185,2802,14065
186,2802,14064
187,2802,14062
188,2802,14061
189,2802,14060
190,2802,14059
191,2802,14058
192,2802,14055
193,2802,14054
194,2802,14053
195,2802,14051
196,2802,14048
197,2802,14047
198,2802,14044
199,2802,14043
200,2802,14041
201,2802,14040
202,2802,14037
203,2802,14035
204,2802,14033
205,2802,14030
206,2802,14028
207,2802,14024
208,2802,14023
209,2751,77747
210,2751,77746
211,2751,77745
212,2751,77744
213,2751,77208
214,2751,76591
215,2751,73071
216,2751,56764
217,2751,56748
218,2751,56716
219,2751,56715
220,2751,56714
221,2751,56372
222,2751,56341
223,2751,56322
224,2751,29397
225,2751,29396
226,2751,29394
227,2751,29393
228,2751,13932
229,2751,13931
230,2751,12492
231,2751,12491
232,2751,12421
233,2751,12420
234,2751,12306
235,2751,12278
236,2751,12194
237,2751,12193
238,2751,12192
239,2751,12191
240,2751,12062
241,2751,12022
242,2751,12020
243,2751,11487
244,2751,11486
245,2751,11454
246,2751,11431
247,2751,11419
248,2751,11413
249,2751,11412
250,2751,11409
251,2751,11408
252,2751,11407
253,2751,11400
254,2751,11321
255,2751,11318
256,2751,11294
257,2751,11293
258,2751,11122
259,2751,11120
260,2751,11118
261,2751,11117
262,2741,77203
