Pos[0],Pos[1],PosPreSquish[0],PosPreSquish[1],ID,CurveID,OrderIndex
0,1,0,1,30,11,0
0,1,0,1,34,8,0
0,1,0,1,43,13,0
0,1,0,1,48,16,0
0,1,0,1,106,25,0
0,1,0,1,107,26,0
0,1,0,1,108,27,0
0,1,0,1,109,28,0
0,1,0,1,110,29,0
0,1,0,1,111,30,0
0,1,0,1,112,31,0
0,1,0,1,114,33,0
0,1,0,1,116,32,0
0,1,0,1,117,34,0
0,1,0,1,118,35,0
0,0.46524066,0,0.46524066,120,22,0
0,1,0,1,134,38,0
0,1,0,1,136,18,0
0,1,0,1,139,15,0
0,1,0,1,140,36,0
0,1,0,1,144,39,0
0,1,0,1,146,40,0
0,1,0,1,147,41,0
0,1,0,1,148,42,0
0,1,0,1,300,50,0
0,1,0,1,310,52,0
0,1,0,1,311,54,0
0,1,0,1,317,55,0
0,1,0,1,321,53,0
0,1,0,1,323,57,0
0,1,0,1,324,14,0
0,1,0,1,325,58,0
0,1,0,1,327,60,0
0,1,0,1,336,61,0
0,1,0,1,337,59,0
0,1,0,1,338,17,0
0,1,0,1,340,23,0
0,1,0,1,341,56,0
0,1,0,1,363,65,0
0,1,0,1,379,68,0
0,1,0,1,380,67,0
0,1,0,1,381,69,0
0,1,0,1,382,64,0
0,1,0,1,393,71,0
0,1,0,1,401,73,0
0,1,0,1,406,76,0
0,1,0,1,407,75,0
0,1,0,1,414,77,0
0,1,0,1,439,51,0
0,1,0,1,441,79,0
0,1,0,1,446,66,0
0,1,0,1,447,85,0
0,0,0,0,448,86,0
0,1,0,1,480,12,0
0,1,0,1,481,9,0
0,1,0,1,486,90,0
0,1,0,1,497,91,0
1,0.98930484,1,0.98930484,500,86,1
0,1,0,1,512,92,0
0,1,0,1,513,93,0
0,1,0,1,514,94,0
0,1,0,1,515,95,0
0,1,0,1,519,99,0
0,0,0,0,527,104,0
0,1,0,1,528,105,0
0,0,0,0,529,106,0
1,1,1,1,530,106,1
0,1,0,1,531,107,0
0,1,0,1,539,112,0
0,1,0,1,560,130,0
0,1,0,1,590,160,0
0,1,0,1,591,161,0
0,1,0,1,612,166,0
0,1,0,1,614,168,0
0,1,0,1,619,173,0
0,1,0,1,620,174,0
0,1,0,1,621,175,0
0,1,0,1,622,176,0
0,1,0,1,627,181,0
0,1,0,1,628,182,0
0,1,0,1,629,183,0
0,1,0,1,630,184,0
0,1,0,1,699,217,0
0,1,0,1,738,233,0
0,1,0,1,826,266,0
0,1,0,1,844,276,0
0,1,0,1,845,277,0
0,1,0,1,846,278,0
0,1,0,1,847,279,0
0,1,0,1,848,280,0
0,1,0,1,901,300,0
0,1,0,1,926,312,0
0,1,0,1,927,313,0
0,1,0,1,928,314,0
0,1,0,1,929,315,0
0,1,0,1,959,324,0
0,1,0,1,968,327,0
0,1,0,1,970,329,0
0,1,0,1,971,330,0
0,1,0,1,973,332,0
0,1,0,1,974,333,0
0,1,0,1,975,334,0
0,1,0,1,976,335,0
0,1,0,1,977,336,0
0,1,0,1,978,337,0
0,1,0,1,979,338,0
0,1,0,1,980,339,0
0,1,0,1,982,341,0
0,1,0,1,983,342,0
0,1,0,1,984,343,0
0,1,0,1,985,344,0
0,1,0,1,1017,364,0
0,1,0,1,1018,365,0
0,1,0,1,1021,367,0
0,1,0,1,1026,370,0
0,0,0,0,1035,373,0
0.20363636,1,0.20363636,1,1036,373,1
1,1,1,1,1037,373,2
0,0,0,0,1040,375,0
1,1,1,1,1041,375,1
0,0,0,0,1042,376,0
1,1,1,1,1043,376,1
0,1,0,1,1047,378,0
0,1,0,1,1050,380,0
0,1,0,1,1060,383,0
0,0,0,0,1062,385,0
0.18545455,0.069518745,0.18545455,0.069518745,1063,385,1
0,1,0,1,1064,386,0
0,0,0,0,1065,387,0
1,1,1,1,1066,387,1
0,-6.2831855,0,-6.2831855,1069,388,0
0.64363635,0.828877,0.64363635,0.828877,1070,385,2
1,1,1,1,1071,385,3
0,-6.2831855,0,-6.2831855,1072,389,0
0,1,0,1,1073,390,0
0,1,0,1,1074,391,0
0,0,0,0,1075,392,0
0.094545454,0,0.094545454,0,1076,392,1
1,1,1,1,1077,392,2
0,0,0,0,1078,393,0
0.10181818,0,0.10181818,0,1079,393,1
1,1,1,1,1080,393,2
0,-6.2831855,0,-6.2831855,1089,396,0
0,0.010695159,0,0.010695159,1090,397,0
1,0,1,0,1091,397,1
1,1,1,1,1092,397,2
0,-6.28319,0,-6.28319,1093,398,0
0,1,0,1,1094,399,0
0,0,0,0,1096,401,0
0.021818181,0.95187163,0.021818181,0.95187163,1097,401,1
1,1,1,1,1098,401,2
0,0,0,0,1101,403,0
0.29818183,0.20320857,0.29818183,0.20320857,1102,403,1
0.70181817,0.8128342,0.70181817,0.8128342,1103,403,2
1,1,1,1,1104,403,3
0,0,0,0,1106,404,0
0.20363636,1,0.20363636,1,1107,404,1
1,1,1,1,1108,404,2
0,1,0,1,1109,405,0
0,0,0,0,1149,416,0
0.26181817,0.085561514,0.26181817,0.085561514,1150,416,1
0.7709091,0.7058823,0.7709091,0.7058823,1151,416,2
1,1,1,1,1153,416,3
0,1,0,1,1196,437,0
0,1,0,1,4780,1344,0
1,0,1,0,4781,1344,1
0,1,0,1,4785,1346,0
0.18281938,0.5018657,0.18281938,0.5018657,4786,1346,1
0.5011013,0.19962686,0.5011013,0.19962686,4787,1346,2
1,0,1,0,4788,1346,3
0,1,0,1,4789,1347,0
0.14757709,0.30037314,0.14757709,0.30037314,4790,1347,1
0.3017621,0.10074627,0.3017621,0.10074627,4791,1347,2
1,0,1,0,4792,1347,3
0,1,0,1,4993,1397,0
1,0.49813432,1,0.49813432,4994,1397,1
0,70,0,70,8041,2073,0
0.0990099,70,0.0990099,70,8042,2073,1
0.2,40,0.2,40,8043,2073,2
0.3,27,0.3,27,8044,2073,3
0.4,20,0.4,20,8045,2073,4
0.5,16,0.5,16,8046,2073,5
1,8.3,1,8.3,8047,2073,6
2,4.2,2,4.2,8048,2073,7
3,2.8,3,2.8,8049,2073,8
4,2.11,4,2.11,8050,2073,9
5,1.69,5,1.69,8051,2073,10
10,0.845,10,0.845,8052,2073,11
20,0.423,20,0.423,8053,2073,12
30,0.282,30,0.282,8054,2073,13
40,0.2115,40,0.2115,8055,2073,14
50,0.1692,50,0.1692,8056,2073,15
