ID,ContainerName_lang,ContainerDescription_lang,MinAmount,MaxAmount,ContainerIconID,ContainerQuality,OnLootSpellVisualKitID,CurrencyTypeID
12,Tiny Azerite Splinter,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,1,49,2065629,2,101693,1553
13,Small Azerite Fragment,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,50,99,2065623,2,101693,1553
14,Small Azerite Shard,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,100,149,2065624,2,101693,1553
15,Small Azerite Cluster,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,150,199,2065622,2,101693,1553
16,Glowing Azerite Crystal,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,200,299,2065586,3,101692,1553
17,Glowing Azerite,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,300,399,2065611,3,101692,1553
18,Glowing Azerite Geode,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,400,499,2065610,3,101692,1553
19,Radiant Azerite Fragment,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,500,749,2065617,4,101486,1553
20,Radiant Azerite Core,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,750,999,2065616,4,101486,1553
21,Radiant Azerite Matrix,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,1000,1999,2065619,4,101486,1553
31,Humming Azerite Heart,Grants %d |4Artifact Power:Artifact Power; to your Heart of Azeroth.,2000,30000000,2065618,4,101486,1553
132,7th Legion Commendation,Awards %d reputation with the 7th Legion.,1,199,2065569,2,0,1599
133,Champions of Azeroth Commendation,Awards %d reputation with the Champions of Azeroth.,1,299,2065570,2,0,1579
134,Honorbound Commendation,Awards %d reputation with the Honorbound.,1,199,2065571,2,0,1600
135,Order of Embers Commendation,Awards %d reputation with the Order of Embers.,1,199,2065572,2,0,1592
136,Proudmoore Admiralty Commendation,Awards %d reputation with the Proudmoore Admiralty.,1,199,2065573,2,0,1593
137,Storm's Wake Commendation,Awards %d reputation with Storm's Wake.,1,199,2065574,2,0,1594
138,Tortollan Seekers Commendation,Awards %d reputation with the Tortollan Seekers.,1,299,2065576,2,0,1598
139,Zandalari Empire Commendation,Awards %d reputation with the Zandalari Empire.,1,199,2065579,2,0,1597
140,Talanji's Expedition Commendation,Awards %d reputation with Talanji's Expedition.,1,199,2065575,2,0,1595
141,Voldunai Commendation,Awards %d reputation with the Voldunai.,1,199,2065577,2,0,1596
142,7th Legion Commendation,Awards %d reputation with the 7th Legion.,200,1000000,2065569,3,0,1599
143,Champions of Azeroth Commendation,Awards %d reputation with the Champions of Azeroth.,300,1000000,2065570,3,0,1579
144,Honorbound Commendation,Awards %d reputation with the Honorbound.,200,1000000,2065571,3,0,1600
145,Order of Embers Commendation,Awards %d reputation with the Order of Embers.,200,1000000,2065572,3,0,1592
