ID,PhaseID,PhaseGroupID
1656,171,367
1657,172,367
1658,169,368
1659,170,368
1660,171,368
1661,175,369
1662,176,369
1663,169,370
1664,177,370
1665,169,371
1666,170,371
1667,169,372
1668,170,372
1669,171,372
1670,172,372
1671,173,372
1672,174,372
1673,175,372
1674,176,372
1675,177,372
1676,178,372
1677,169,373
1678,170,373
1679,171,373
1680,172,373
1681,177,373
1682,169,374
1683,173,374
1684,174,374
1685,169,375
1686,176,375
1687,169,376
1688,170,376
1689,171,376
1690,172,376
1691,173,376
1692,174,376
1693,175,376
1694,176,376
1695,177,376
1696,169,377
1697,178,377
1698,171,378
1699,172,378
1700,175,378
1701,176,378
1702,169,379
1703,170,379
1704,171,379
1705,172,379
1706,169,380
1707,170,380
1708,173,380
1709,169,381
1710,170,381
1711,174,381
1712,169,382
1713,170,382
1714,171,382
1715,173,382
1716,174,382
1717,175,382
1718,176,382
1719,177,382
1720,178,382
1721,169,383
1722,172,383
1723,169,384
1724,170,384
1725,171,384
1726,172,384
1727,173,384
1728,174,384
1729,176,384
1730,177,384
1731,169,385
1732,170,385
1733,171,385
1734,172,385
1735,173,385
1736,174,385
1737,175,385
1738,176,385
1739,177,385
1740,178,385
1741,179,385
1742,180,385
1743,181,385
1744,182,385
1745,183,385
1746,184,385
1747,185,385
1748,186,385
1749,187,385
1750,188,385
1751,169,386
1752,170,386
1753,171,386
1754,172,386
1755,173,386
1756,174,386
1757,170,387
1758,171,387
1759,175,387
1760,176,387
1761,169,388
1762,170,388
1763,171,388
1764,172,388
1765,174,388
1766,169,389
1767,170,389
1768,171,389
1769,172,389
1770,175,389
1771,176,389
1772,177,389
1773,169,390
1774,170,390
1775,173,390
1776,174,390
1777,169,391
1778,173,391
1779,170,392
1780,172,392
1781,170,393
1782,171,393
1783,172,393
1784,173,393
1785,174,393
1786,175,393
1787,176,393
1788,177,393
1789,170,394
1790,175,394
1791,169,395
1792,170,395
1793,171,395
1794,172,395
1795,173,395
1796,174,395
1797,175,395
1798,176,395
1799,177,395
1800,179,395
1801,180,395
1802,181,395
1803,182,395
1804,183,395
1805,184,395
1806,185,395
1807,186,395
1808,187,395
1809,188,395
1810,169,396
1811,171,396
1812,169,397
1813,175,397
1814,176,397
1815,169,398
1816,180,398
1817,169,399
1818,181,399
1819,169,400
1820,170,400
1821,171,400
1822,172,400
1823,173,400
1824,175,400
1825,176,400
1826,169,401
1827,170,401
1828,171,401
1829,172,401
1830,173,401
1831,169,402
1832,170,402
1833,171,402
1834,172,402
1835,173,402
1836,175,402
1837,175,403
1838,176,403
1839,177,403
1840,169,404
1841,170,404
1842,171,404
1843,172,404
1844,173,404
1845,174,404
1846,175,404
1847,176,404
1848,171,405
1849,172,405
1850,175,405
1851,169,406
1852,171,406
1853,172,406
1854,173,406
1855,170,407
1856,171,407
1857,169,408
1858,171,408
1859,175,408
1860,170,409
1861,175,409
1862,176,409
1863,169,410
