ID,CreatureID,UiWidgetSetID,Field_9_0_1_34821_002
1,146641,201,4171
2,156030,202,4171
3,149904,205,4171
4,149906,206,4171
5,149902,207,4171
7,156029,238,4171
8,156031,237,4171
9,157226,260,0
10,157645,266,0
11,157650,267,4142
12,157803,268,0
13,157986,279,1727
14,158837,280,0
15,158838,281,0
16,157317,285,0
18,163541,294,0
19,163592,294,0
20,163593,294,0
21,163595,294,0
22,163596,294,0
23,163648,294,0
24,163651,294,0
39,165047,309,0
40,164965,312,4660
42,166701,267,4142
43,166702,267,4142
44,166703,316,4142
45,166704,317,4142
47,155281,319,0
48,165251,320,0
49,159338,282,0
50,167524,322,0
51,168138,360,0
52,168366,361,0
53,168367,362,0
54,168368,363,0
55,168444,364,0
56,165269,368,0
57,168447,365,0
58,168449,366,0
59,168450,367,0
61,186146,710,6640
62,170945,395,0
63,171471,400,0
64,171623,405,0
65,171624,406,0
66,171625,407,0
67,171627,408,0
68,171628,409,0
69,171629,410,0
70,171630,411,0
71,171830,431,0
72,171831,432,0
73,171833,433,0
74,171836,434,0
75,171841,435,0
76,171839,435,0
77,171847,436,0
78,171848,437,0
79,171850,438,0
80,171851,438,0
81,171852,439,0
82,171854,440,0
83,171856,441,0
84,172338,442,0
85,172340,443,0
86,172341,444,0
87,173207,449,0
89,175817,467,0
90,175816,467,0
91,175987,468,0
92,176048,468,0
93,176053,468,0
94,176054,468,0
95,176056,468,0
96,176058,468,0
97,176060,468,0
98,176062,468,0
99,175985,468,0
100,175986,468,0
101,176130,469,0
102,176249,470,0
105,176777,489,0
106,177061,490,0
108,177270,493,0
109,177728,501,0
110,178531,504,0
111,179162,512,4142
112,179969,513,0
114,180064,515,0
116,180182,516,0
117,180960,544,0
118,180975,546,0
119,180976,547,0
120,180987,490,0
121,180983,490,0
122,181038,551,0
123,181050,553,0
125,181120,554,0
127,181089,556,0
129,109096,572,0
130,179358,560,0
132,183426,562,0
136,183715,565,0
141,183979,570,0
142,183637,575,0
143,181059,576,4171
144,185422,578,0
145,185601,579,0
147,187562,582,0
148,187586,583,0
149,187596,585,0
150,187597,584,0
151,187667,586,0
160,187820,620,0
161,192074,621,0
162,192670,630,0
163,194141,637,0
164,195617,645,0
169,195879,658,0
170,195922,660,0
171,195926,661,0
172,193933,664,0
173,193634,670,6489
174,193735,670,6489
175,191951,670,6489
176,192919,670,6489
177,192930,670,6489
178,193706,670,6489
179,193708,670,6489
180,193710,670,6489
184,197016,672,0
185,197027,673,0
186,197170,670,6489
187,192631,683,0
188,197466,670,6489
189,197411,670,6489
190,197079,670,6489
191,197371,670,6489
192,197534,670,6489
193,197596,684,0
194,197883,670,6489
195,197862,670,6489
196,198079,729,6570
197,197288,730,6575
199,190516,687,6575
200,198146,686,6570
208,198494,695,6595
209,198833,705,6626
210,198835,706,6626
211,199431,726,0
212,194342,670,6489
213,199611,728,6679
215,200038,670,6489
