ID,TriggerType,TriggerAsset
61,0,0
62,1,0
63,3,90
64,0,0
138,0,0
140,0,0
142,1,0
144,0,0
147,2,21055
148,0,0
149,0,0
150,0,0
151,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,0,0
165,1,0
169,2,21063
170,2,21065
171,2,21067
172,2,21069
173,2,21071
191,1,0
192,1,0
193,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,0,0
202,1,0
203,1,0
204,0,0
205,0,0
206,1,0
207,0,0
208,0,0
209,1,0
210,1,0
211,1,0
212,0,0
213,0,0
214,0,0
219,0,0
221,0,0
225,0,0
228,0,0
231,0,0
237,0,0
253,0,0
254,0,0
255,0,0
256,0,0
264,1,0
265,1,0
266,1,0
267,0,0
268,0,0
269,0,0
270,0,0
271,4,5
272,4,5
273,4,5
274,4,5
275,4,5
284,0,0
285,2,22735
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,2,22744
293,2,22746
294,0,0
295,0,0
296,0,0
297,0,0
298,1,0
301,0,0
302,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
357,0,0
358,0,0
360,0,0
362,0,0
363,0,0
364,0,0
367,0,0
368,1,0
369,1,0
370,1,0
371,1,0
375,0,0
376,1,0
377,2,21061
378,0,0
379,0,0
382,0,0
383,0,0
384,0,0
386,1,0
387,1,0
388,0,0
399,0,0
400,0,0
401,0,0
403,1,0
404,0,0
405,0,0
406,0,0
407,1,0
411,0,0
412,1,0
413,0,0
414,0,0
415,0,0
416,0,0
427,0,0
428,0,0
429,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,1,0
439,0,0
440,0,0
441,0,0
442,0,0
443,1,0
445,4,130
447,4,90
448,4,150
449,4,170
450,4,320
451,4,90
452,4,90
453,4,150
454,4,150
455,4,210
456,4,240
457,4,240
458,4,240
459,4,270
460,4,300
461,4,300
462,4,300
463,4,300
464,4,360
465,4,390
466,4,390
467,4,390
468,4,400
469,4,440
470,4,480
471,4,480
472,4,480
473,4,480
474,0,0
475,0,0
484,0,0
485,2,28126
486,4,25
489,1,0
490,1,0
491,0,0
492,1,0
530,1,0
751,1,0
752,4,240
884,0,0
885,0,0
886,4,110
888,4,280
889,4,410
890,0,0
891,0,0
894,0,0
895,4,170
905,0,0
912,1,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
1000,0,0
1003,4,2
1004,1,0
1005,1,0
1006,0,0
1007,1,0
1008,1,0
1009,1,0
1015,1,0
1016,0,0
1019,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,0
1025,1,0
1028,0,0
1029,1,0
1030,0,0
1031,1,0
1032,0,0
1034,0,0
1035,1,0
1037,0,0
1038,0,0
1039,0,0
1040,0,0
1041,0,0
1042,0,0
1043,0,0
1047,1,0
1048,0,0
1050,0,0
1054,1,0
1055,1,0
1056,0,0
1139,0,0
1140,0,0
1141,0,0
1142,0,0
1143,0,0
1144,0,0
1145,0,0
1146,0,0
1147,0,0
1148,0,0
1149,0,0
1150,0,0
1151,0,0
1152,0,0
1153,0,0
1154,0,0
1155,0,0
1156,0,0
1157,0,0
1158,0,0
1159,0,0
1160,0,0
1161,0,0
1162,0,0
1163,0,0
1164,0,0
1165,0,0
1167,0,0
1168,0,0
1169,0,0
1170,0,0
1171,0,0
1176,0,0
1177,0,0
1178,4,10
1180,0,0
1185,1,0
1186,0,0
1187,0,0
1189,0,0
1190,1,0
1191,0,0
1195,0,0
1196,1,0
1197,1,0
1198,1,0
1199,1,0
1200,1,0
1201,0,0
1203,1,0
1205,1,0
1206,1,0
1207,0,0
1260,0,0
1264,0,0
1265,0,0
1267,0,0
1268,0,0
1269,0,0
1270,0,0
1271,0,0
1272,0,0
1273,0,0
1279,1,0
1280,0,0
1281,0,0
1282,0,0
1283,0,0
1284,0,0
1285,0,0
1286,0,0
1287,2,31304
1288,2,31306
1289,2,31308
1290,4,10
1291,0,0
1292,0,0
1293,1,0
1294,1,0
1296,0,0
1297,1,0
1298,0,0
1299,0,0
1300,0,0
1301,0,0
1302,0,0
1303,0,0
1304,0,0
1305,0,0
1306,0,0
1308,0,0
1309,0,0
1310,0,0
1311,0,0
1312,0,0
1313,0,0
1314,0,0
1315,1,0
1316,2,31540
1317,2,31542
1318,2,31544
1319,4,10
1320,1,0
1321,0,0
1322,1,0
1323,0,0
1324,2,31627
1325,0,0
1326,1,0
1328,1,0
1329,0,0
1339,0,0
1340,0,0
1343,0,0
1346,0,0
1347,0,0
1349,0,0
1351,0,0
1352,0,0
1353,0,0
1354,0,0
1355,0,0
1356,0,0
1357,0,0
1358,0,0
1359,0,0
1360,0,0
1361,0,0
1362,1,0
1363,0,0
1364,1,0
1365,1,0
1366,1,0
1375,0,0
1386,1,0
1387,1,0
1388,0,0
1389,0,0
1391,0,0
1392,0,0
1393,0,0
1394,0,0
1395,0,0
1396,0,0
1397,0,0
1398,0,0
1399,1,0
1401,0,0
1402,0,0
1403,0,0
1404,0,0
1405,0,0
1406,0,0
1408,1,0
1409,1,0
1410,0,0
1411,0,0
1415,0,0
1416,0,0
1417,0,0
1424,0,0
1425,0,0
1426,0,0
1428,0,0
1429,0,0
1430,0,0
1433,0,0
1438,0,0
1439,0,0
1440,0,0
1442,0,0
1443,0,0
1444,0,0
1445,0,0
1446,1,0
1447,1,0
1450,0,0
1452,0,0
1453,0,0
1454,0,0
1455,0,0
1456,0,0
1457,1,0
1460,0,0
1461,1,0
1462,1,0
1463,0,0
1464,1,0
1466,0,0
1467,0,0
1468,0,0
1471,0,0
1472,0,0
1473,0,0
1474,0,0
1475,0,0
1477,4,5
1478,1,0
1479,0,0
1480,0,0
1481,0,0
1483,0,0
1484,0,0
1485,0,0
1486,0,0
1487,0,0
1488,0,0
1489,0,0
1490,0,0
1491,0,0
1492,0,0
1494,0,0
1495,0,0
1496,0,0
1497,0,0
1498,0,0
1499,0,0
