ID,GlobalStringBaseTag,ActualType,Red,Green,Blue
1,AMMOSLOT,0,255,128,0
41,POWER_TYPE_PYRITE,3,0,202,255
61,POWER_TYPE_STEAM,3,242,242,242
82,POWER_TYPE_VAULT_CRACKING_PROGRESS,0,113,0,103
101,POWER_TYPE_HEAT,3,255,125,0
121,POWER_TYPE_OOZE,3,193,255,0
141,POWER_TYPE_BLOOD_POWER,3,188,0,255
142,POWER_TYPE_WRATH,3,255,176,0
143,POWER_TYPE_ARCANE_ENERGY,3,0,13,233
144,POWER_TYPE_LIFE_ENERGY,3,58,173,139
145,POWER_TYPE_SUN_ENERGY,3,226,107,20
146,POWER_TYPE_SWING_VELOCITY,3,198,182,99
147,POWER_TYPE_SHADOWFLAME_ENERGY,3,143,0,255
148,POWER_TYPE_BLUE_POWER,3,0,240,244
149,POWER_TYPE_PURPLE_POWER,3,225,42,243
150,POWER_TYPE_GREEN_POWER,3,206,255,0
151,POWER_TYPE_ORANGE_POWER,3,250,110,34
153,POWER_TYPE_ENERGY,3,255,255,0
161,POWER_TYPE_ARCANEENERGY,3,189,0,224
162,POWER_TYPE_WIND_POWER,0,255,115,0
163,POWER_TYPE_WIND_POWER,0,242,252,0
164,POWER_TYPE_WIND_POWER,0,0,245,255
165,FUEL,3,249,218,0
166,POWER_TYPE_SUN_POWER,3,255,255,0
169,POWER_TYPE_TWILIGHTENERGY,3,72,0,229
174,POWER_TYPE_VENOM,0,199,63,0
176,POWER_TYPE_ORANGE_POWER,0,250,110,34
177,POWER_TYPE_CONSUMING_FLAME,3,232,73,0
178,POWER_TYPE_PYROCLASTIC_FRENZY,3,255,0,0
179,POWER_TYPE_FLASHFIRE,3,255,242,0
182,POWER_TYPE_REGENERATIVE_BLOOD,3,250,97,14
183,POWER_TYPE_DW_BACK_HEAT,3,255,98,0
