ID,GlobalStringBaseTag,ActualType,Red,Green,Blue
1,AMMOSLOT,0,255,128,0
41,POWER_TYPE_PYRITE,3,0,202,255
61,POWER_TYPE_STEAM,3,242,242,242
82,POWER_TYPE_VAULT_CRACKING_PROGRESS,0,113,0,103
101,POWER_TYPE_HEAT,3,255,125,0
121,POWER_TYPE_OOZE,3,193,255,0
141,POWER_TYPE_BLOOD_POWER,3,188,0,255
142,POWER_TYPE_WRATH,3,255,176,0
143,POWER_TYPE_ARCANE_ENERGY,3,148,108,189
144,POWER_TYPE_LIFE_ENERGY,3,58,173,139
145,POWER_TYPE_SUN_ENERGY,3,226,107,20
146,POWER_TYPE_SWING_VELOCITY,3,198,182,99
147,POWER_TYPE_SHADOWFLAME_ENERGY,3,143,0,255
148,POWER_TYPE_BLUE_POWER,3,0,240,244
149,POWER_TYPE_PURPLE_POWER,3,225,42,243
150,POWER_TYPE_GREEN_POWER,3,206,255,0
151,POWER_TYPE_ORANGE_POWER,3,250,110,34
153,POWER_TYPE_ENERGY,3,255,255,0
161,POWER_TYPE_ARCANEENERGY,3,189,0,224
162,POWER_TYPE_WIND_POWER,0,255,115,0
163,POWER_TYPE_WIND_POWER,0,242,252,0
164,POWER_TYPE_WIND_POWER,0,0,245,255
165,POWER_TYPE_FUEL,3,249,218,0
166,POWER_TYPE_SUN_POWER,3,255,255,0
169,POWER_TYPE_TWILIGHTENERGY,3,72,0,229
174,POWER_TYPE_VENOM,0,199,63,0
176,POWER_TYPE_ORANGE_POWER,0,250,110,34
177,POWER_TYPE_CONSUMING_FLAME,3,232,73,0
178,POWER_TYPE_PYROCLASTIC_FRENZY,3,255,0,0
179,POWER_TYPE_FLASHFIRE,3,255,242,0
181,POWER_TYPE_FEL_ENERGY,3,224,250,0
182,POWER_TYPE_REGENERATIVE_BLOOD,3,250,97,14
183,POWER_TYPE_DW_BACK_HEAT,3,255,98,0
187,POWER_TYPE_JADE_POWER,3,39,147,111
188,POWER_TYPE_COBALT_POWER,3,39,119,247
189,POWER_TYPE_JASPER_POWER,3,252,80,0
190,POWER_TYPE_AMETHYST_POWER,3,124,81,199
191,POWER_TYPE_ARCANE_ENERGY,0,148,73,189
192,POWER_TYPE_RED_POWER,3,255,0,0
196,POWER_TYPE_RED_POWER,0,192,25,25
198,POWER_TYPE_WILLPOWER,3,198,182,99
199,POWER_TYPE_DARK_POWER,3,255,255,255
200,POWER_TYPE_GOLD_POWER,3,223,255,0
201,POWER_TYPE_RESONANCE,0,212,170,55
202,POWER_TYPE_RED_POWER,3,255,0,0
203,SHA_ENERGY,0,225,225,225
206,POWER_TYPE_FOOD,10,179,0,0
211,POWER_TYPE_FURY,3,255,98,0
212,POWER_TYPE_MUTATION_LEVEL,0,192,25,25
213,POWER_TYPE_ANIMA,3,255,53,0
214,POWER_TYPE_MOLTEN_ENERGY,0,244,69,0
215,POWER_TYPE_ANIMA_V2,0,138,0,63
216,POWER_TYPE_VITA,0,0,212,252
217,POWER_TYPE_DEMONIC_FURY,0,176,58,255
