Offset[0],Offset[1],Offset[2],OffsetVariation[0],OffsetVariation[1],OffsetVariation[2],ID,SpellVisualEffectNameID,AttachmentID,PositionerID,Yaw,Pitch,Roll,YawVariation,PitchVariation,RollVariation,Scale,ScaleVariation,StartAnimID,AnimID,EndAnimID,AnimKitID,Flags,LowDefModelAttachID,StartDelay,Field_1_15_4_56400_021,ParentSpellVisualKitID
0,0,0,0,0,0,141,1345,38,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,2689
0,0,0,0,0,0,161,4477,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12940
0,0,-3,0,0,0,183,3669,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12947
0,0,0,0,0,0,184,3306,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12956
5,0,0,0,0,0,203,5601,-1,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12972
2,0,0,0,0,0,204,4562,-1,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12972
8,0,0,0,0,0,205,3039,-1,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12972
0,0,0.2,0,0,0,272,5735,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12913
0,0,-3,0,0,0,278,5531,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12995
0,0,1,0,0,0,280,5393,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12995
0,0,-3,0,0,0,301,3105,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12998
0,0,1,0,0,0,302,5055,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12998
0,0,0,0,0,0,303,5621,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13001
0,0,0.5,0,0,0,306,5623,19,0,0,-3.141593,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13004
0,0,0,0,0,0,307,5623,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13004
0,0,-2,0,0,0,322,328,-1,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13007
0.17,0,-0.5,0,0,0,341,5626,17,0,0,-1.745329,3.141593,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13012
-0.15,0,0.25,0,0,0,361,5628,17,0,0,-0.174533,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13014
0,0,-14,0,0,0,382,5842,19,0,0,-1.5708,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12934
0,0,0,0,0,0,401,3736,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13022
0,0,0,0,0,0,422,5701,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13022
1,0,0,0,0,0,443,5403,22,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12856
2,0,-5,0,0,0,444,5504,-1,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13038
2,0,-5,0,0,0,445,3637,-1,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13038
0,0,-0.25,0,0,0,473,5653,22,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13048
0,0,-0.25,0,0,0,474,5653,21,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13048
0,0,0,0,0,0,479,5659,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13050
0,0,0,0,0,0,480,2966,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13050
0,0,0,0,0,0,481,5656,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13050
0,0,0,0,0,0,482,5658,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13050
0,0,0,0,0,0,483,5657,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13050
0,0,0,0,0,0,501,5665,-1,0,0,0.349066,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13061
2,0,1,0,0,0,521,4295,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13063
2,0,0,0,0,0,522,5668,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13065
0,-0.15,0,0,0,0,541,3663,21,0,0,1.570796,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13080
0,0.15,0,0,0,0,542,3663,22,0,0,1.570796,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13080
0,0,0,0,0,0,561,5690,17,0,0,-1.570796,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13092
0,0,0,0,0,0,562,5690,17,0,0,-1.570796,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13092
0,0,0,0,0,0,581,1862,22,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,11124
0.75,0,0,0,0,0,582,5693,17,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13096
0,0,0,0,0,0,583,5694,40,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13097
-0.35,0,0,0,0,0,609,5700,21,0,0,-1.570796,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13122
0,0,0,0,0,0,611,5700,21,0,0,-1.570796,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13122
0,0,0,0,0,0,612,5700,22,0,0,-1.570796,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13122
-0.35,0,0,0,0,0,613,5700,22,0,0,-1.570796,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13122
0,0,5,0,0,0,615,4877,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13106
2,0,3,0,0,0,617,5693,19,0,0,0.174533,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13107
0,0,0,0,0,0,621,5700,21,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13125
0,0,0,0,0,0,622,5700,21,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13125
0,0,0,0,0,0,623,5700,21,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13125
5,0,0,0,0,0,701,4223,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13155
10,0,0,0,0,0,702,4832,-1,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13155
0,0,0,0,0,0,703,4876,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13156
0,0,0,0,0,0,741,5729,-1,0,0,0.349066,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13170
0,0,0.2,0,0,0,762,5735,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12913
0,0,0.2,0,0,0,763,5733,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12912
0,0,0.2,0,0,0,764,5733,19,0,0,3.141593,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,12912
0,0,0,0,0,0,781,5738,-1,0,0,2.007129,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13179
0,0,0,0,0,0,801,5744,34,0,0,3.141593,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13183
0.35,0,0,0,0,0,802,5744,22,0,0,3.141593,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13184
0,4,-3,0,0,0,830,3046,34,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13189
0,4,-3,0,0,0,833,3046,34,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13189
0,4,-3,0,0,0,834,3046,34,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13189
0,4,-3,0,0,0,835,3046,34,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13189
0,4,-3,0,0,0,836,3046,34,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13189
0,0,0,0,0,0,841,1015,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13202
0,0,0,0,0,0,842,5758,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13210
0,0,0,0,0,0,843,5759,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13205
0,0,0,0,0,0,844,5763,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13209
0,0,0,0,0,0,845,4895,19,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,13203
