ID,TraitDefinitionID
2721,24875
2722,24874
2723,24873
2724,24872
2725,24871
2726,24870
2727,24869
2728,24868
2729,24867
2730,24866
2731,24865
2732,24864
2733,24863
2734,24862
2735,24861
2736,24860
2737,24859
2738,24858
2739,24857
2740,24856
2741,24855
2742,24854
2743,24853
2744,24852
2745,24851
2746,24850
2747,24849
2748,24848
2749,24847
2750,24846
2751,24845
2752,24844
2753,24843
2754,24842
2755,24841
2756,24840
2757,24839
2758,24838
2759,24837
2760,24836
2761,24835
2762,24834
2763,24833
2764,24933
2765,24932
2766,24931
2767,24930
2768,24929
2769,24928
2770,24927
2771,24926
2772,24925
2773,24924
2774,24923
2775,24922
2776,24921
2777,24920
2778,24919
2779,24918
2780,24917
2781,24916
2782,24915
2783,24914
2784,24913
2785,24912
2786,24911
2787,24910
2788,24909
2789,24908
2790,24907
2791,24906
2792,24905
2793,24904
2794,24903
2795,24902
2796,24901
2797,24900
2798,24899
2799,24898
2800,24897
2801,24896
2802,24895
2803,24894
2804,24893
2805,24892
2806,24891
2807,24890
2808,24889
2809,24888
2810,24887
2811,24886
2812,24885
2813,24884
2814,24883
2815,24882
4149,28482
4150,28481
4151,28480
4152,28479
4153,28478
4154,28477
4155,28476
4156,28475
4157,28474
4158,28473
4159,28472
4160,28471
4161,28470
4162,28469
4163,28468
4164,28467
4165,28466
4166,28465
4167,28464
4168,28463
4169,28462
4170,28461
4171,28460
4172,28459
4173,28458
4174,28457
4175,28456
4176,28455
4177,28454
4178,28453
4179,28452
4180,28451
4181,28450
4182,28449
4183,28448
4184,28447
4185,28446
4186,28445
4187,28444
4188,28443
4189,28442
4190,28441
4191,28440
5004,29946
5005,29945
5006,29944
5007,29943
5008,29942
5009,29941
5010,29940
5011,29939
5012,29938
5013,29937
5014,29936
5015,29935
5016,29934
5017,29933
5018,29932
5019,29931
5020,29930
5021,29929
5022,29928
5023,29927
5024,29926
5025,29925
5026,29924
5027,29923
5028,29922
5029,29921
5030,29920
5031,29919
5032,29918
5033,29917
5034,29916
5035,29915
5036,29914
5037,29913
5038,29912
5039,29911
5040,29910
5041,29909
5042,29908
5043,29907
5044,29906
5045,29905
5046,29904
5047,29903
5048,29902
5049,29901
5050,29900
5051,29899
5052,29898
5053,29897
5054,29896
5055,29895
5056,29894
5057,29893
5058,29892
5059,29891
5060,29991
5061,29990
5062,29989
5063,29988
5064,29987
5065,29986
5066,29985
5067,29984
5068,29983
5069,29982
5070,29981
5071,29980
5072,29979
5073,29978
5074,29977
5075,29976
5076,29975
5077,29974
5078,29973
5079,29972
5080,29971
5081,29970
5082,29969
5083,29968
5084,29967
5085,29966
5086,29965
5087,29964
5088,29963
5089,29962
5090,29961
5091,29960
5092,29959
5093,29958
5094,29957
5095,29956
5096,29955
5097,29954
5141,30149
5142,30148
5143,30147
5144,30146
5145,30145
5146,30144
5147,30143
5148,30142
5149,30141
5150,30140
5151,30139
5152,30138
5153,30137
5154,30136
5155,30135
5156,30134
5157,30133
5158,30132
5159,30131
5160,30130
5161,30129
5162,30128
5163,30127
5164,30126
5165,30125
5166,30124
5167,30123
5168,30122
5169,30121
5170,30120
5171,30119
5172,30118
5173,30117
5174,30116
5175,30115
5176,30114
5177,30113
5178,30112
5179,30111
5180,30110
5181,30109
5182,30108
5183,30107
5184,30106
5185,30105
5186,30104
5187,30103
5188,30102
5189,30101
5190,30100
5191,30099
5192,30098
5193,30097
5194,30096
5195,30095
5196,30094
5197,30093
5198,30092
5199,30091
5200,30090
5201,30089
5202,30088
5203,30087
5204,30086
5205,30085
5206,30084
5207,30083
5208,30082
5209,30081
5210,30080
5211,30079
5212,30078
5213,30077
5214,30076
5215,30075
5216,30074
5217,30073
5218,30072
5219,30071
5220,30070
5221,30069
5222,30068
5223,30067
5224,30066
5225,30065
5226,30064
5227,30063
5228,30062
5229,30061
5230,30060
5231,30059
5232,30058
5233,30057
5234,30056
5235,30055
5236,30054
5237,30053
5238,30052
5239,30051
5240,30050
5241,30049
5242,30048
5243,30047
5244,30046
6095,36340
6096,36339
6097,36338
6098,36337
6099,36336
6100,36335
6101,36334
6102,36333
6103,36332
6104,36331
6105,36330
6106,36329
6107,36328
6108,36327
6109,36326
6110,36325
6111,36324
6112,36323
6113,36322
6114,36321
6115,36320
6116,36319
6117,36318
6118,36317
6119,36316
6120,36315
6121,36314
6122,36313
6123,36312
6124,36311
6125,36310
6126,36309
6127,36308
6128,36307
6129,36306
6130,36305
6131,36304
6132,36303
6133,36302
6134,36301
6135,36300
6136,36299
6137,36298
6138,36297
6139,36296
6140,36295
6141,36294
6142,36293
6143,36292
6144,36291
6145,36290
6146,36289
6147,36288
6148,36287
6149,36286
6150,36285
6151,36284
6152,36283
6153,36282
6154,36281
6155,36280
6156,36279
6157,36278
6158,36277
6159,36276
6160,36275
6161,36274
6162,36273
6163,36272
6164,36271
6165,36270
6166,36269
6203,36464
6204,36463
6205,36462
6206,36461
6207,36460
6208,36459
6209,36458
6210,36457
6211,36456
6212,36455
6213,36454
6214,36453
6215,36452
6216,36451
6217,36450
6218,36449
6219,36448
6220,36447
6221,36446
6222,36445
6223,36444
6224,36443
6225,36442
6226,36441
6227,36440
6228,36439
6229,36438
6230,36437
6231,36436
6232,36435
6233,36434
6234,36433
6235,36432
6236,36431
6237,36430
6238,36429
6239,36428
6240,36427
6241,36426
6242,36425
6243,36424
6244,36423
6245,36422
6246,36421
6247,36420
6248,36419
6249,36418
6250,36417
6251,36416
6252,36415
6253,36414
6254,36413
6255,36412
6256,36411
6257,36410
6258,36409
6259,36408
6260,36407
6261,36406
6262,36405
6263,36404
6264,36403
6265,36402
6266,36401
6267,36400
6268,36399
6269,36398
6270,36397
6271,36396
6272,36395
6273,36394
6274,36393
6305,36543
6306,36542
6307,36541
6308,36540
6309,36539
6310,36538
6311,36537
6312,36536
6313,36535
6314,36534
6315,36533
6316,36532
6317,36531
6318,36530
6319,36529
6320,36528
6321,36527
6322,36526
6323,36525
6324,36524
6325,36523
6326,36522
6327,36521
6328,36520
6329,36519
6330,36518
6331,36517
6332,36516
6333,36515
6334,36514
6335,36513
6336,36512
6337,36511
6338,36510
6339,36597
6340,36596
6341,36595
6342,36594
6343,36593
6344,36592
6345,36591
6346,36590
6347,36589
6348,36588
6349,36587
6350,36586
6351,36585
6352,36584
6353,36583
6354,36582
6355,36581
6356,36580
6357,36579
6358,36578
6359,36577
6360,36576
6361,36575
6362,36574
6363,36573
6364,36572
6365,36571
6366,36570
6367,36569
6368,36568
6369,36567
6370,36566
6371,36565
6372,36564
6373,36563
6374,36562
6375,36561
6376,36560
6377,36559
6378,36558
6379,36557
6380,36556
6381,36555
