ID,TreasureID,Field_11_0_0_55000_001,Field_11_0_0_55000_002,NPCCraftingOrderSetID
3,128311,1,0,94
4,128321,1,0,94
5,128331,1,0,94
6,128341,1,0,94
7,128351,1,0,94
8,128311,100,0,20
9,128321,25,0,20
10,128331,10,0,20
11,128341,5,0,20
12,128351,1,0,20
13,128311,100,0,21
14,128321,25,0,21
15,128331,10,0,21
16,128341,5,0,21
17,128351,1,0,21
18,128311,100,0,22
19,128321,25,0,22
20,128331,10,0,22
21,128341,5,0,22
22,128351,1,0,22
23,128312,100,0,29
24,128322,25,0,29
25,128332,10,0,29
26,128342,5,0,29
27,128352,1,0,29
28,128312,100,0,30
29,128322,25,0,30
30,128332,10,0,30
31,128342,5,0,30
32,128352,1,0,30
33,128312,100,0,31
34,128322,25,0,31
35,128332,10,0,31
36,128342,5,0,31
37,128352,1,0,31
38,128313,100,0,38
39,128323,25,0,38
40,128333,10,0,38
41,128343,5,0,38
42,128353,1,0,38
43,128313,100,0,39
44,128323,25,0,39
45,128333,10,0,39
46,128343,5,0,39
47,128353,1,0,39
48,128313,100,0,40
49,128323,25,0,40
50,128333,10,0,40
51,128343,5,0,40
52,128353,1,0,40
53,128314,100,0,47
54,128324,25,0,47
55,128334,10,0,47
56,128344,5,0,47
57,128354,1,0,47
58,128314,100,0,48
59,128324,25,0,48
60,128334,10,0,48
61,128344,5,0,48
62,128354,1,0,48
63,128314,100,0,49
64,128324,25,0,49
65,128334,10,0,49
66,128344,5,0,49
67,128354,1,0,49
68,128335,100,0,56
69,128355,25,0,56
70,128315,10,0,56
71,128345,5,0,56
72,128325,1,0,56
73,128315,100,0,57
74,128325,25,0,57
75,128345,10,0,57
76,128355,5,0,57
77,128335,1,0,57
78,128325,100,0,58
79,128345,25,0,58
80,128355,10,0,58
81,128315,5,0,58
82,128335,1,0,58
83,128316,100,0,65
84,128326,25,0,65
85,128336,10,0,65
86,128346,5,0,65
87,128356,1,0,65
88,128316,100,0,66
89,128326,25,0,66
90,128336,10,0,66
91,128346,5,0,66
92,128356,1,0,66
93,128316,100,0,67
94,128326,25,0,67
95,128336,10,0,67
96,128346,5,0,67
97,128356,1,0,67
98,128317,100,0,74
99,128327,25,0,74
100,128337,10,0,74
101,128347,5,0,74
102,128357,1,0,74
103,128317,100,0,75
104,128327,25,0,75
