ID,AreaID,AreaGroupID
14594,148,6581
14595,16,6582
14597,367,6584
14598,2298,6585
14599,139,6586
14600,2964,6587
14601,3277,6588
14602,2597,6589
14603,440,6590
14604,2677,6591
14605,3358,6592
14606,1977,6593
14607,3419,6594
14608,3428,6595
14609,1377,6596
14610,3456,6597
14611,796,6598
14612,2158,6599
14613,1584,6600
14614,618,6601
14615,2257,6602
14616,1583,6603
14617,28,6604
14618,2717,6605
14619,2557,6583
19617,4078,7263
19618,3562,7264
19619,3873,7265
19620,3758,7266
19621,3919,7267
19622,3633,7268
19623,3930,7269
19624,3943,7270
19625,2366,7271
19626,3697,7272
19627,4092,7273
19628,3483,7274
19629,3822,7275
19630,3523,7276
19631,3456,7277
19632,405,7278
19633,414,7279
19634,403,7280
19635,3845,7281
19636,3606,7282
19637,3607,7283
19638,3769,7284
19639,3780,7285
19640,3786,7286
19641,3796,7287
19642,3657,7288
19643,2302,7289
19644,512,7290
19645,3831,7291
19646,3565,7292
19647,3730,7293
19648,3733,7294
19649,3668,7295
19650,3811,7296
19651,3522,7297
19652,1977,7298
19653,4080,7299
19654,3582,7300
19655,3584,7301
19656,3790,7302
19657,3518,7303
19658,3524,7304
19659,3682,7305
19660,3740,7306
19661,3457,7307
19662,3789,7308
19663,2057,7309
19664,2017,7310
19665,3547,7311
19666,3864,7312
19667,3883,7313
19668,3942,7314
19669,3944,7315
19670,3955,7316
19671,3959,7317
19672,3520,7318
19673,3703,7319
19674,3904,7320
19675,3519,7321
19676,3521,7322
19683,118,7327
19684,150,7327
19685,205,7327
19686,298,7327
19687,299,7327
19688,309,7327
19689,836,7327
19690,881,7327
19691,1016,7327
19692,1017,7327
19693,1018,7327
19694,1020,7327
19695,1021,7327
19696,1022,7327
19697,1023,7327
19698,1024,7327
19699,1025,7327
19700,1036,7327
19701,1037,7327
19702,1038,7327
19703,1039,7327
19704,2103,7327
19705,2104,7327
19706,2365,7327
19707,2402,7327
19708,2,7327
19709,20,7327
19710,26,7327
19711,107,7327
19712,108,7327
19713,109,7327
19714,111,7327
19715,113,7327
19716,115,7327
19717,219,7327
19718,916,7327
19719,917,7327
19720,918,7327
19721,919,7327
19722,920,7327
19723,921,7327
19724,922,7327
19726,2364,7327
19727,190,7327
19728,192,7327
19729,193,7327
19730,195,7327
19731,196,7327
19732,197,7327
19733,198,7327
19734,199,7327
19735,200,7327
19736,201,7327
19737,202,7327
19738,203,7327
19739,813,7327
19740,2297,7327
19741,2298,7327
19742,2620,7327
19743,3197,7327
19745,152,7327
19746,153,7327
19747,154,7327
19748,155,7327
19749,156,7327
19750,157,7327
19751,158,7327
19752,159,7327
19753,160,7327
19754,161,7327
19755,162,7327
19756,163,7327
19757,164,7327
19758,165,7327
19759,166,7327
19760,167,7327
19761,168,7327
19762,169,7327
19763,173,7327
19764,459,7327
19765,810,7327
19766,811,7327
19767,812,7327
19768,2117,7327
19769,2118,7327
19770,2119,7327
19771,2399,7327
19772,307,7327
19773,348,7327
19774,349,7327
19775,350,7327
19776,351,7327
19777,352,7327
19778,353,7327
19779,354,7327
19780,355,7327
19781,356,7327
19782,1880,7327
19783,1881,7327
19784,1882,7327
19785,1883,7327
19786,1884,7327
19787,1885,7327
19788,1886,7327
19789,1887,7327
19790,1917,7327
19791,2400,7327
19792,3317,7327
19793,74,7327
19794,75,7327
19795,76,7327
19796,116,7327
19797,300,7327
19798,657,7327
19799,1777,7327
19800,1778,7327
19801,1779,7327
19802,1780,7327
19803,1797,7327
19804,1798,7327
19805,1817,7327
19806,1978,7327
19807,2403,7327
19808,7,7327
19809,19,7327
19810,35,7327
19811,37,7327
19812,43,7327
19813,99,7327
19814,100,7327
19815,101,7327
19816,102,7327
19817,103,7327
19818,104,7327
19819,105,7327
19820,106,7327
19821,117,7327
19822,122,7327
19823,123,7327
19824,125,7327
19825,126,7327
19826,127,7327
19827,128,7327
19828,129,7327
19829,297,7327
19830,301,7327
19831,302,7327
19832,303,7327
19833,310,7327
19834,311,7327
19835,312,7327
19836,477,7327
19837,1577,7327
19838,1578,7327
19839,1737,7327
19840,1738,7327
19841,1739,7327
19842,1740,7327
19843,1741,7327
19844,1742,7327
19845,1757,7327
19846,1758,7327
19847,1759,7327
19848,1760,7327
19849,2177,7327
19850,2338,7327
19851,2339,7327
19852,3357,7327
19853,1617,7327
19854,172,7327
19855,204,7327
19856,213,7327
19857,226,7327
19858,227,7327
19859,228,7327
19860,229,7327
19861,230,7327
19862,231,7327
19863,232,7327
19864,233,7327
19865,235,7327
19866,236,7327
19867,237,7327
19868,238,7327
19869,239,7327
19870,240,7327
19871,305,7327
19872,306,7327
19873,926,7327
19874,927,7327
19875,928,7327
19876,1338,7327
19877,2398,7327
19878,246,7327
19879,247,7327
19880,1442,7327
19881,1443,7327
19882,1444,7327
19883,1445,7327
19884,1446,7327
19885,1957,7327
19886,1958,7327
19887,1959,7327
19888,2838,7327
19889,68,7327
19890,69,7327
19891,70,7327
19892,71,7327
19893,95,7327
19894,96,7327
19895,97,7327
19896,98,7327
19897,996,7327
19898,997,7327
19899,998,7327
19900,999,7327
19901,1000,7327
19902,1001,7327
19903,1002,7327
19904,2099,7327
19905,142,7327
19906,143,7327
19907,144,7327
19908,145,7327
19909,146,7327
19910,147,7327
19911,149,7327
19912,556,7327
19913,837,7327
19914,838,7327
19915,839,7327
19916,923,7327
19917,924,7327
19918,925,7327
19919,936,7327
19920,2101,7327
19921,271,7327
19922,272,7327
19923,275,7327
19924,285,7327
19925,286,7327
19926,287,7327
19927,288,7327
19928,289,7327
19929,290,7327
19930,294,7327
19931,295,7327
19932,896,7327
19933,1056,7327
19934,1057,7327
19935,2397,7327
19937,9,7327
19938,18,7327
19939,23,7327
19940,24,7327
19941,34,7327
19942,53,7327
19943,54,7327
19945,56,7327
19946,57,7327
19947,59,7327
19948,60,7327
19949,61,7327
19950,62,7327
19951,63,7327
19952,64,7327
19953,80,7327
19954,86,7327
19955,87,7327
19956,88,7327
19957,89,7327
19958,91,7327
19959,92,7327
19960,120,7327
19961,797,7327
19962,798,7327
19963,1019,7327
19964,2258,7327
19966,2260,7327
19967,2261,7327
19968,2262,7327
19969,2263,7327
19970,2264,7327
19971,2265,7327
19972,2266,7327
19973,2267,7327
19974,2268,7327
19975,2269,7327
19976,2270,7327
19977,2271,7327
19978,2272,7327
19979,2273,7327
19980,2274,7327
19981,2275,7327
19982,2276,7327
19983,2277,7327
19984,2278,7327
19985,2279,7327
19986,2299,7327
19987,2619,7327
19988,2621,7327
19989,2622,7327
19990,2623,7327
19991,2624,7327
19992,2625,7327
19993,2626,7327
19994,2627,7327
19995,4067,7327
19996,13,7327
19997,32,7327
19998,42,7327
19999,93,7327
20000,94,7327
20001,121,7327
20002,241,7327
20003,242,7327
20004,243,7327
20005,244,7327
20006,245,7327
20007,492,7327
20008,536,7327
20009,576,7327
20010,799,7327
20011,856,7327
20012,1097,7327
20013,1098,7327
20014,2098,7327
20015,2161,7327
20016,77,7327
20017,131,7327
20018,132,7327
20019,133,7327
20020,134,7327
20021,135,7327
20022,136,7327
20023,137,7327
20024,138,7327
20025,189,7327
20026,211,7327
20027,212,7327
20028,716,7327
20029,800,7327
20030,801,7327
20031,802,7327
20032,803,7327
20033,804,7327
20034,805,7327
20035,806,7327
20036,807,7327
20037,808,7327
20038,809,7327
20039,2102,7327
20040,2558,7327
20041,2559,7327
20042,2560,7327
20043,2561,7327
20044,2562,7327
20045,2563,7327
20046,2697,7327
20047,2837,7327
20048,2937,7327
20049,2938,7327
20050,249,7327
20051,250,7327
20052,251,7327
20053,252,7327
20054,253,7327
20055,254,7327
20056,255,7327
20057,2417,7327
20058,2418,7327
20059,2419,7327
20060,2420,7327
20061,2421,7327
20062,72,7327
20063,73,7327
20064,1437,7327
20065,1438,7327
20066,1439,7327
20067,1440,7327
20068,1441,7327
20069,1457,7327
20070,2517,7327
20071,337,7327
20072,338,7327
20073,339,7327
20074,340,7327
20075,341,7327
20076,342,7327
20077,343,7327
20078,344,7327
20079,345,7327
20080,346,7327
20081,347,7327
20082,1517,7327
20083,1877,7327
20084,1878,7327
20085,1879,7327
20086,1897,7327
20087,1898,7327
20088,313,7327
20089,314,7327
20090,315,7327
20091,316,7327
20092,317,7327
20093,318,7327
20094,320,7327
20095,321,7327
20096,322,7327
20097,323,7327
20098,324,7327
20099,325,7327
20100,326,7327
20101,327,7327
20102,328,7327
20103,333,7327
20104,334,7327
20105,335,7327
20106,336,7327
20107,880,7327
20108,1837,7327
20109,1857,7327
20110,1858,7327
20111,2401,7327
20112,277,7327
20113,278,7327
20114,279,7327
20115,280,7327
20116,281,7327
20117,282,7327
20118,283,7327
20119,284,7327
20120,1339,7327
20121,1357,7327
20122,1677,7327
20123,1678,7327
20124,1679,7327
20125,1680,7327
20126,1681,7327
20127,1682,7327
20128,1683,7327
20129,1684,7327
20130,2839,7327
20131,3486,7327
20132,1,7327
20133,3,7327
20134,4,7327
20135,8,7327
20136,10,7327
20137,11,7327
20138,12,7327
20139,21,7327
20140,25,7327
20141,28,7327
20143,33,7327
20144,36,7327
20145,38,7327
20146,40,7327
