Title_lang,Subtitle_lang,InstructionText_lang,SubIcon_lang,TitleTooltip_lang,SubtitleTooltip_lang,EventToastID,PlayerConditionID,UiTextureAtlasMemberID,UiTextureKitID,EventType,DisplayType,EventAsset,Field_9_1_0_38312_011,IconFileID,UiWidgetSetID,ExtraUiWidgetSetID,TitleTooltipUiWidgetSetID,SubtitleTooltipUiWidgetSetID,ShowSoundKitID,HideSoundKitID,Field_10_2_5_52554_021
Level %d,You've Reached,,,,,1,117398,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,Dungeon Unlocked!,,,,,2,117398,12015,0,2,3,0,0,0,0,0,0,0,0,0,0
,New Ability Unlocked!,,,,,3,117398,12014,0,1,3,0,0,0,0,0,0,0,0,0,0
,Raid Unlocked!,,,,,4,92737,12015,0,3,3,0,0,0,0,0,0,0,0,0,0
,New Stage,,,,,5,0,0,5554,14,6,0,0,0,0,0,0,0,0,0,0
,,,,,,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
,Level Up,,,,,8,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0
,New Ability Available!,,,,,9,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
You have captured,,,,,,10,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0
%s%s,,,,,,11,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
Area Looting,Feature Unlocked!,Looting a corpse will now also loot all nearby corpses.,Area Loot Unlocked,,,12,90425,12015,0,15,3,0,0,1022948,0,0,0,0,183581,0,0
Skoldus Hall,Floor %19812w,,,,,14,79354,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Twisting Corridors,Floor %19812w,,,,,15,79355,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Fracture Chambers,Floor %19812w,,,,,16,79363,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
The Soulforges,Floor %19812w,,,,,17,79365,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Coldheart Interstitia,Floor %19812w,,,,,18,79368,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
