ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,RaidOffset,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,Field_1_15_4_56400_021,Flags[0],Flags[1],Flags[2]
0,Azeroth,Eastern Kingdoms,,,,,1,0,0,0,4,-1,-1,-1,0,1,0,-1,0,0,804940,0,16858641,1310720,130
1,Kalimdor,Kalimdor,,,,,1,0,0,0,3,-1,-1,-1,0,1,0,-1,0,0,804935,0,16858641,1310720,130
13,test,Test Dungeon,,,,,2,1,0,13649,61,-1,-1,-1,0,1,0,-1,0,0,0,0,411057731,393216,2
25,ScottTest,Scott Test,,,,,2,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,67073,8,2
29,TEST_01,CashTest,,,,,2,1,0,0,0,-1,-1,-1,0,1,0,-1,10,0,0,0,67073,8,2
30,PVPZone01,Alterac Valley,"Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.",,,1,3,0,0,104,-1,-1,-1,0,1,0,-1,0,0,0,0,16858641,262152,130
33,Shadowfang,Shadowfang Keep,,,,,1,1,0,0,204,-1,-1,-1,0,1,0,0,10,0,0,0,16858641,262144,130
34,StormwindJail,Stormwind Stockade,,,,,2,1,0,717,194,-1,-1,-1,0,1,0,0,10,0,0,0,67073,0,130
35,StormwindPrison,<unused>StormwindPrison,,,,,2,0,0,717,23,-1,-1,-1,0,1,0,0,0,0,0,0,67073,8,2
36,DeadminesInstance,Deadmines,,,,,1,1,0,0,142,-1,-1,-1,0,1,0,0,10,0,0,0,16858641,262144,130
37,PVPZone02,Azshara Crater,Crush the Alliance!,Defend yourself from the onslaught of the Horde!,,,1,0,0,0,25,-1,-1,-1,0,1,0,-1,0,0,0,0,16858641,262152,2
42,Collin,Collin's Test,,,,,2,0,0,0,0,-1,-1,-1,0,1,0,-1,0,0,0,0,67073,8,2
43,WailingCaverns,Wailing Caverns,,,,,2,1,0,718,143,-1,-1,-1,0,1,0,1,10,0,0,0,67073,0,130
44,Monastery,<unused> Monastery,,,,,2,1,0,0,42,-1,-1,-1,0,1,0,0,10,0,0,0,67073,8,2
47,RazorfenKraulInstance,Razorfen Kraul,,,,,1,1,0,0,188,-1,-1,-1,0,1,0,1,10,0,0,0,16858641,262144,130
48,Blackfathom,Blackfathom Deeps,,,,,2,1,0,719,196,-1,-1,-1,0,1,0,1,10,0,0,0,67073,0,130
70,Uldaman,Uldaman,,,,,2,1,0,1337,144,-1,-1,-1,0,1,0,0,10,0,0,0,67073,0,130
90,GnomeragonInstance,Gnomeregan,,,,,2,1,0,721,193,-1,-1,-1,0,1,0,0,10,0,0,0,67073,0,130
109,SunkenTemple,Sunken Temple,,,,,2,1,0,1477,191,-1,-1,-1,0,1,0,0,20,0,0,0,67073,0,130
129,RazorfenDowns,Razorfen Downs,,,,,1,1,0,0,145,-1,-1,-1,0,1,0,1,10,0,0,0,16858641,262144,130
169,EmeraldDream,Emerald Dream,,,,,1,2,0,0,0,-1,-1,-1,0,1,0,-1,40,0,0,0,16858641,262152,2
189,MonasteryInstances,Scarlet Monastery,,,,,1,1,0,0,190,-1,-1,-1,0,1,0,0,10,0,0,0,16858641,262144,130
209,TanarisInstance,Zul'Farrak,,,,,1,1,0,0,146,-1,-1,-1,0,1,0,1,10,0,0,0,16858641,262144,130
229,BlackRockSpire,Blackrock Spire,,,,,2,1,0,1583,189,-1,-1,-1,0,1,0,0,10,0,0,0,67073,0,130
230,BlackrockDepths,Blackrock Depths,,,,,2,1,0,1584,103,-1,-1,-1,0,1,0,0,5,0,0,0,67073,0,130
249,OnyxiaLairInstance,Onyxia's Lair,,,,,2,2,0,2159,61,-1,-1,-1,0,1,68400,1,40,0,0,0,67073,128,130
269,CavernsOfTime,Caverns of Time,,,,,1,1,0,0,4,-1,-1,-1,0,1,0,0,10,0,0,0,16858641,262144,2
289,SchoolofNecromancy,Scholomance,,,,,1,1,0,0,102,-1,-1,-1,0,1,0,0,5,0,0,0,16858641,262144,130
309,Zul'gurub,Zul'Gurub,,,,,1,2,0,1977,161,-1,-1,-1,0,1,68400,0,20,0,0,0,16858641,262144,130
329,Stratholme,Stratholme,,,,,1,1,0,0,101,-1,-1,-1,0,1,0,0,5,0,0,0,16858641,262144,130
349,Mauradon,Maraudon,,,,,2,1,0,2100,81,-1,-1,-1,0,1,0,1,10,0,0,0,67073,0,130
369,DeeprunTram,Deeprun Tram,,,,,2,0,0,2257,205,-1,-1,-1,0,1,0,0,0,0,0,0,67073,1048584,130
389,OrgrimmarInstance,Ragefire Chasm,,,,,2,1,0,2437,195,-1,-1,-1,0,1,0,1,10,0,0,0,67073,0,130
409,MoltenCore,Molten Core,,,,,2,2,0,2717,192,-1,-1,-1,0,1,0,0,40,0,0,0,67073,128,130
429,DireMaul,Dire Maul,,,,,2,1,0,2557,82,-1,-1,-1,0,1,0,1,5,0,0,0,67073,0,130
449,AlliancePVPBarracks,Alliance PVP Barracks,,,,,2,0,0,2918,181,-1,-1,-1,0,1,0,0,0,0,0,0,67073,1048576,2
450,HordePVPBarracks,Horde PVP Barracks,,,,,2,0,0,2917,182,-1,-1,-1,0,1,0,0,0,0,0,0,67073,1048576,2
451,development,Development Land,,,,,1,0,0,0,21,-1,-1,-1,0,1,0,0,0,0,0,0,16858641,262152,2
469,BlackwingLair,Blackwing Lair,,,,,1,2,0,2677,141,-1,-1,-1,0,1,0,0,40,0,0,0,16858641,262272,130
