ID,ParamLabel[0],ParamLabel[1],ParamLabel[2],ParamLabel[3],ParamLabel[4],ParamLabel[5],BattlePetVisualID,ParamTypeEnum[0],ParamTypeEnum[1],ParamTypeEnum[2],ParamTypeEnum[3],ParamTypeEnum[4],ParamTypeEnum[5]
22,Points,MorePoints,EvenMorePoints,,,,0,0,0,0,0,0,0
23,Points,Accuracy,Variance,,,,37,0,0,0,0,0,0
24,Points,Accuracy,IsPeriodic,OverrideIndex,,,38,0,0,0,0,0,0
25,BaseChanceToSucceed,IncreasePerToss,,,,,0,0,0,0,0,0,0
26,Unused,Accuracy,Duration,TickDownFirstRound,,,49,0,0,0,0,0,0
27,Points,Accuracy,PointsIncreasePerUse,PointsMax,StateToTriggerMaxPoints,,38,0,0,0,0,0,0
28,Unused,Accuracy,Duration,TickDownFirstRound,,,49,0,0,0,0,0,0
29,Points,Accuracy,RequiredCasterState,RequiredTargetState,IsPeriodic,,38,0,0,0,0,0,0
31,State,StateValue,,,,,0,0,0,0,0,0,0
32,Points,Accuracy,ChainFailure,,,,37,0,0,0,0,0,0
33,Points,Accuracy,IsPeriodic,,,,38,0,0,0,0,0,0
43,,,,,,,0,0,0,0,0,0,0
44,Points,Accuracy,,,,,37,0,0,0,0,0,0
45,Points,Accuracy,Boost,,,,38,0,0,0,0,0,0
49,Chance,unused,,,,,0,0,0,0,0,0,0
50,ChainFailure,Accuracy,Duration,MaxAllowed,CasterState,TargetState,94,0,0,0,0,0,0
52,ChainFailure,Accuracy,Duration,,,,50,0,0,0,0,0,0
53,Percentage,Accuracy,,,,,37,0,0,0,0,0,0
54,ChainFailure,Accuracy,Duration,MaxAllowed,,,51,0,0,0,0,0,0
55,,,,,,,0,0,0,0,0,0,0
56,,,,,,,0,0,0,0,0,0,0
57,,,,,,,0,0,0,0,0,0,0
58,,,,,,,0,0,0,0,0,0,0
59,Points,Accuracy,IsPeriodic,,,,38,0,0,0,0,0,0
61,Points,Accuracy,RequiredCasterState,RequiredTargetState,Variance,,37,0,0,0,0,0,0
62,Points,Accuracy,IsPeriodic,,,,38,0,0,0,0,0,0
