ID,BoundingBox[0],BoundingBox[1],BoundingBox[2],BoundingBox[3],BoundingBox[4],BoundingBox[5],Height
2,0,0,0,0,0,0,7.13892
3,-5.5,-5.5,0,5.5,5.5,7,7.000002
4,-2.5,-5.5,0,2.5,5.5,7,7.000002
5,-11.5,-11.5,0,11.5,11.5,11,11.000003
6,-23.5,-23.5,0,23.5,23.5,11,11.000003
7,-11.5,-5.5,0,11.5,5.5,7,7.000002
8,-11.5,-11.5,-1,11.5,11.5,14.0001,14.0001
160,-17.5,-17.5,0,17.5,17.5,11,11.000003
161,-11.5,-11.5,0,11.5,11.5,7,7.000007
162,-5.5,-11.5,0,11.5,11.5,7,7.000007
163,-5.5,-5.5,0,11.5,11.5,7,7.000007
164,-12.1,-12.1,0,12.1,12.1,11,11.000005
165,-18.2,-18.2,0,18.2,18.2,11,11.000005
166,-24.1,-24.1,0,24.1,24.1,11,11.000022
171,-30,-27.5,-2,30,27.5,50,52
172,-35,-30,-1,35,30,50,50
173,-40,-32.5,-2,40,32.5,50,52
177,-2.5,-5.5,0,2.5,5.5,7,7.000002
179,-11.5,-11.5,0,11.5,11.5,12,12.000098
180,-11.5,-11.5,-1,11.5,11.5,14,14
187,-11.7,-12.5,-0.3,12.2,12.5,9.7,9.743144
202,-23.6,-23.6,-1,23.6,23.6,36.7,35.694138
219,-12,-11.7,-0.7,11.6,11.7,17.7,17.699389
233,-24.1076,-24.8202,-1.1284,24.1076,24.8201,62.9981,62.998074
255,-24.1076,-24.8202,-1.1284,24.1076,24.8201,62.9981,62.998074
