ID,SoundBusID,PlayerConditionID,PlaybackLimit,Volume,Priority,PriorityPenalty
2,4,48728,20,1,20,0
3,191,48728,5,0.2,160,30
4,224,48728,2,0.1,190,30
6,22,48728,5,0.75,230,30
7,209,48728,20,0.75,210,30
8,211,48728,25,0.75,200,0
9,12,48728,40,0.65,140,30
10,184,48728,15,0.85,180,30
11,186,48728,6,0.6,200,30
12,19,48728,3,0.75,225,30
13,8,48728,10,0.55,60,0
15,4,48729,20,1,20,0
16,191,48729,15,0.35,160,0
17,224,48729,3,0.1,190,0
19,22,48729,5,0.75,230,30
20,209,48729,20,0.75,210,30
21,211,48729,25,0.75,200,0
22,12,48729,40,0.65,140,0
23,184,48729,15,0.85,180,0
24,186,48729,6,0.65,200,0
25,19,48729,1,0.75,225,0
26,8,48729,10,0.65,60,0
28,544,48729,10,1,180,0
29,544,48728,10,1,180,30
30,16,48729,40,1,140,0
31,16,48728,40,1,140,30
32,552,48728,3,0.1,160,0
33,552,48729,3,0.2,160,0
34,551,48728,40,0.3,140,0
35,553,48728,1,0,220,0
36,554,48728,2,0.1,220,0
38,556,48728,3,0.1,230,30
39,557,48728,8,0.15,100,0
40,558,48728,8,0.25,180,0
41,559,48728,3,0.1,180,0
42,560,48728,2,0.05,200,0
43,561,48728,3,0.3,220,0
207,226,48728,3,0.6,130,0
208,185,48728,20,1,55,0
209,11,48728,30,0.85,60,0
210,14,48728,80,0.95,55,0
211,5,48728,50,0.9,50,0
213,551,48729,40,0.3,140,0
214,12,69327,100,0.85,140,0
215,224,69327,3,0.3,190,0
216,191,69327,20,0.5,160,0
217,16,69327,10,0.5,140,0
224,551,99902,40,0.6,60,0
225,552,99902,3,0.4,180,0
226,8,99902,10,0.55,80,0
227,554,99902,2,0.4,220,0
229,558,99902,15,0.7,60,0
230,559,99902,8,0.7,60,0
231,560,99902,2,0.2,200,0
232,5,99902,50,0.85,50,0
233,553,99902,10,0.2,190,0
234,553,48729,3,0.05,220,0
235,9,99902,5,0.5,140,0
236,9,48728,20,0.5,140,0
237,9,48729,20,0.5,140,0
238,7,99902,5,0.3,180,0
239,225,99902,5,0.5,140,0
240,664,99902,100,0.9,55,0
241,672,99902,15,0.85,55,0
242,671,99902,20,0.9,55,0
243,667,99902,2,0.4,140,0
244,665,99902,5,0.5,90,0
245,666,99902,10,0.2,190,0
246,673,99902,3,0.6,65,0
248,688,99902,15,0.5,70,0
249,685,99902,10,0.4,100,0
250,11,99902,50,1,50,0
251,543,99902,50,1,50,0
253,554,48729,2,0.1,220,0
255,556,48729,3,0.1,230,30
256,558,48729,8,0.35,180,0
257,559,48729,3,0.15,180,0
258,560,48729,2,0.05,200,0
259,5,48729,50,0.9,50,0
260,16,112408,1,0.4,140,30
261,191,112408,2,0.35,160,0
262,224,112408,1,0.1,190,0
264,22,112408,2,0.75,230,30
265,12,112408,20,0.5,140,0
266,184,112408,5,0.6,180,0
267,186,112408,2,0.5,200,0
