ID,ProfessionEffectTypeEnumID,Amount,ModifiedCraftingReagentSlotID
1,0,1,0
2,26,1,0
6,0,5,0
7,26,5,0
8,26,10,0
9,26,15,0
10,26,25,0
11,2,5,0
12,2,10,0
13,2,15,0
14,2,25,0
15,4,10,0
16,4,15,0
17,4,25,0
18,4,50,0
19,3,10,0
20,3,15,0
21,3,25,0
22,3,50,0
23,5,10,0
24,5,15,0
25,5,25,0
26,5,50,0
27,7,60,0
28,7,40,0
29,7,20,0
30,7,10,0
31,14,20,0
32,14,15,0
33,14,10,0
34,14,5,0
35,8,0,94
36,8,0,91
37,8,0,124
38,8,0,93
39,8,0,92
41,8,0,111
44,7,5,0
45,14,1,0
46,4,5,0
47,3,5,0
48,26,1,0
49,5,5,0
50,2,1,0
57,21,100,0
58,21,75,0
59,21,50,0
60,21,25,0
61,21,10,0
62,21,5,0
63,30,25,0
64,30,20,0
65,30,15,0
66,30,10,0
67,30,5,0
68,30,1,0
70,0,25,0
71,0,10,0
72,0,30,0
73,8,0,185
74,8,0,184
81,20,25,0
82,14,25,0
84,12,74,0
85,0,100,0
87,0,3,0
88,0,4,0
89,21,5,0
90,21,10,0
91,21,25,0
92,30,5,0
93,30,10,0
94,30,25,0
95,18,25,0
96,18,50,0
97,18,15,0
98,18,10,0
99,18,5,0
100,0,15,0
101,2,1,0
103,18,50,0
105,7,1,0
106,6,1,0
107,3,1,0
108,5,1,0
109,4,1,0
110,10,1,0
111,10,5,0
112,10,15,0
113,14,50,0
114,7,100,0
115,8,0,182
116,8,0,181
117,8,0,125
120,18,20,0
126,7,1100,0
127,18,100,0
133,8,0,221
134,8,0,202
136,8,0,230
138,8,0,226
139,8,0,224
140,23,30,0
141,24,15,0
142,8,0,223
146,25,1,0
147,25,5,0
148,25,10,0
149,13,2,0
150,25,20,0
151,25,0.5,0
152,25,2.5,0
153,21,1,0
154,8,0,233
162,26,50,0
163,26,50,0
164,26,100,0
165,2,55,0
166,2,110,0
167,7,45,0
168,7,90,0
169,30,12,0
170,30,25,0
171,21,12,0
172,21,25,0
173,14,20,0
174,14,40,0
175,18,25,0
176,14,1,0
177,12,1,0
178,0,2,0
180,8,0,243
182,24,1,0
183,24,5,0
184,24,10,0
185,24,25,0
186,24,50,0
187,24,100,0
188,0,8,0
189,27,5,0
190,27,10,0
191,27,15,0
192,14,1,0
194,14,5,0
195,14,10,0
196,26,5,0
197,26,10,0
198,26,15,0
199,26,25,0
203,0,20,0
204,8,0,284
205,8,0,283
206,8,0,286
207,8,0,287
208,26,1,0
209,14,5,0
210,14,10,0
212,25,2,0
213,25,3,0
214,7,15,0
215,8,0,340
216,8,0,312
217,8,0,334
218,8,0,282
219,8,0,346
220,8,0,352
221,8,0,353
222,8,0,347
223,8,0,311
224,8,0,312
225,8,0,317
226,8,0,333
227,3,25,0
228,12,20,0
229,8,0,358
230,27,1,0
231,26,3,0
232,26,7,0
233,27,2,0
234,27,3,0
235,30,1,0
236,30,5,0
237,30,10,0
238,30,15,0
239,28,50,0
240,28,50,0
241,28,5,0
242,28,5,0
243,0,50,0
244,0,40,0
245,28,5,0
246,28,3,0
247,26,2,0
248,7,30,0
249,8,0,361
250,8,0,359
251,8,0,280
252,24,75,0
253,8,0,367
254,28,30,0
255,28,12,0
256,28,1,0
257,25,50,0
258,28,2,0
259,28,5,0
260,28,10,0
261,28,10,0
262,28,15,0
263,28,29,0
264,28,25,0
265,28,65,0
266,28,35,0
267,28,94,0
268,28,45,0
269,28,127,0
270,28,55,0
271,28,163,0
272,28,65,0
273,28,350,0
