ID,BattlePetAbilityID,OrderIndex,TurnTypeEnum,EventTypeEnum,BattlePetVisualID
10,7,1,0,255,22
205,70,1,0,255,0
206,71,1,0,255,75
207,72,1,0,255,0
208,73,1,0,255,0
209,73,2,0,255,0
210,74,1,0,255,0
211,74,2,0,255,0
214,77,1,0,255,643
215,78,1,0,255,0
217,80,1,0,255,0
219,81,1,0,255,0
220,81,2,0,255,0
221,81,3,0,255,0
222,82,1,0,255,0
223,83,1,0,255,0
225,85,1,0,255,108
227,87,1,0,255,0
239,97,1,0,255,0
254,110,1,0,255,109
255,111,1,0,255,523
256,112,1,0,255,17
257,113,1,0,255,516
258,114,1,0,255,542
259,115,1,0,255,520
260,116,1,0,255,358
261,117,1,0,255,138
262,118,1,0,255,531
263,119,1,0,255,640
264,120,1,0,255,96
265,121,1,0,255,328
266,122,1,0,255,479
267,123,1,0,255,36
268,124,1,0,255,578
269,124,2,0,255,578
270,124,3,0,255,578
271,125,1,0,255,0
277,132,1,0,255,0
278,133,0,1,1,0
279,134,1,0,255,0
280,86,1,0,255,0
281,135,1,0,255,644
295,149,1,0,255,13
296,150,1,0,255,14
297,151,1,0,255,347
298,152,1,0,255,309
299,153,1,0,255,0
301,155,1,0,255,32
302,156,1,0,255,324
304,158,1,0,255,202
305,159,1,0,255,31
306,159,2,0,255,125
310,160,1,0,255,339
311,161,1,0,255,0
312,162,1,0,255,87
313,163,1,0,255,90
314,163,2,0,255,90
315,163,3,0,255,90
316,164,1,0,255,0
317,165,1,0,255,618
318,166,1,0,255,42
319,167,1,0,255,146
320,168,1,0,255,308
321,169,1,0,255,433
322,169,2,0,255,434
323,170,1,0,255,200
324,170,2,0,255,201
327,172,1,0,255,174
328,173,1,0,255,584
329,174,1,0,255,0
330,175,1,0,255,0
331,175,2,0,255,0
332,175,3,0,255,289
333,176,1,0,255,287
334,177,1,0,255,43
335,178,1,0,255,567
336,179,1,0,255,372
344,184,1,0,255,124
345,185,1,0,255,0
346,186,1,0,255,625
347,187,1,0,255,0
348,188,1,0,255,40
349,189,1,0,255,226
350,190,1,0,255,221
354,193,1,0,255,93
355,194,1,0,255,87
356,195,1,0,255,0
357,196,1,0,255,0
358,197,1,0,255,592
359,198,1,0,255,90
360,198,2,0,255,90
361,198,3,0,255,90
367,202,1,0,255,86
369,204,1,0,255,98
370,205,1,0,255,0
371,206,1,0,255,99
373,208,1,0,255,591
374,209,1,0,255,97
377,210,1,0,255,70
378,211,1,0,255,0
379,212,1,0,255,342
380,213,1,0,255,105
381,214,1,0,255,141
382,215,1,0,255,0
383,216,1,0,255,41
384,217,1,0,255,0
385,217,2,0,255,0
386,217,3,0,255,0
387,217,4,0,255,0
388,217,5,0,255,101
389,218,1,0,255,100
390,219,1,0,255,631
391,220,1,0,255,0
392,221,1,0,255,227
393,222,1,0,255,0
394,223,1,0,255,633
395,224,1,0,255,0
396,225,1,0,255,67
397,226,1,0,255,388
398,227,1,0,255,632
399,228,1,0,255,182
401,230,1,0,255,606
402,231,1,0,255,220
403,232,1,0,255,609
404,233,1,0,255,608
405,234,1,0,255,0
406,235,1,0,255,0
413,239,1,0,255,0
416,242,1,0,255,0
422,246,1,0,255,0
423,246,2,0,255,0
424,246,3,0,255,0
425,247,1,0,255,614
427,249,1,0,255,612
428,250,1,0,255,62
429,251,1,0,255,0
430,252,1,0,255,63
431,253,1,0,255,91
432,254,1,0,255,143
433,255,1,0,255,574
434,256,1,0,255,451
436,258,1,0,255,214
437,259,1,0,255,369
