Name_lang,Filename,Name_male_lang,Name_female_lang,PetNameToken,Description_lang,RoleInfoString_lang,DisabledString_lang,Hyphenated_name_male_lang,Hyphenated_name_female_lang,CreateScreenFileDataID,SelectScreenFileDataID,IconFileDataID,LowResScreenFileDataID,Flags,StartingLevel,SpellTextureBlobFileDataID,ArmorTypeMask,Field_5_5_0_61411_018,Field_5_5_0_61411_019,Field_5_5_0_61411_020,Field_5_5_0_61411_021,Field_5_5_0_61411_022,Field_5_5_0_61411_023,Field_5_5_0_61411_024,Field_5_5_0_61411_025,Field_5_5_0_61411_026,CinematicSequenceID,DefaultSpec,ID,HasStrengthAttackBonus,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet,ClassColorR,ClassColorG,ClassColorB,RolesMask,DamageBonusStat,HasRelicSlot
Warrior,WARRIOR,Warrior,,PET,,,,Warrior,Warrior,0,0,626008,0,50,1,791568,113,0,0,0,0,0,0,0,0,5000,0,71,1,1,0,1,1,0,2,4,0,0,0,10,0,0
Paladin,PALADIN,Paladin,,PET,,,,Paladin,Paladin,0,0,626003,0,58,1,791563,2289,0,0,0,0,0,0,0,0,5000,0,70,2,1,0,0,0,0,2,10,0,0,0,14,0,1
Hunter,HUNTER,Hunter,,PET,,,,Hunter,Hunter,0,0,626000,0,278,1,791560,41,0,0,0,0,0,0,0,0,5000,0,253,3,1,0,2,2,1,1,9,0,0,0,8,1,0
Rogue,ROGUE,Rogue,,PET,,,,Rogue,Rogue,0,0,626005,0,2,1,791565,37,0,0,0,0,0,0,0,0,5000,0,259,4,1,0,3,1,2,1,8,0,0,0,8,1,0
Priest,PRIEST,Priest,,PET,,,,Priest,Priest,0,0,626004,0,2,1,791564,35,0,0,0,0,0,0,0,0,5000,0,256,5,0,0,0,0,0,1,6,0,0,0,12,0,0
Death Knight,DEATHKNIGHT,Death Knight,,PET,"Death Knights are a hero class, which means they start at a higher level. Death Knights are a melee class with an emphasis on causing diseases and using dark magic.",Roles: |cffffffffTank or Melee Damage|r,,Death Knight,Death Knight,236082,236082,135771,1560617,122,8,791558,3121,0,0,0,0,0,0,0,0,5000,165,251,6,1,5,6,0,0,2,15,196,30,58,10,9,1
Shaman,SHAMAN,Shaman,,PET,,,,Shaman,Shaman,0,0,626006,0,26,1,791566,2665,0,0,0,0,0,0,0,0,5000,0,262,7,1,0,0,0,2,1,11,0,0,0,12,1,1
Mage,MAGE,Mage,,PET,,,,Mage,Mage,0,0,626001,0,2,1,791561,35,0,0,0,0,0,0,0,0,5000,0,62,8,0,0,0,0,0,1,3,0,0,0,8,0,0
Warlock,WARLOCK,Warlock,,DEMON,,,,Warlock,Warlock,0,0,626007,0,6,1,791567,35,0,0,0,0,0,0,0,0,5000,0,265,9,0,0,0,0,0,1,5,0,0,0,8,0,0
Monk,MONK,,,PET,,,,Monk,Monk,0,0,626002,0,514,1,791562,37,0,0,0,0,0,0,0,0,5000,0,268,10,1,0,3,1,2,1,53,0,0,0,14,0,0
Druid,DRUID,Druid,,PET,,,,Druid,Druid,0,0,625999,0,10,1,791559,2341,0,0,0,0,0,0,0,0,5000,0,102,11,0,0,0,0,0,1,7,0,0,0,14,0,1
