ID,PlayerLevelToItemLevelCurveID,Minlevel,Maxlevel,Bonus[0],Bonus[1],Bonus[2],Bonus[3],Bonus[4],Bonus[5],Bonus[6],Bonus[7],Bonus[8],Bonus[9],StatID[0],StatID[1],StatID[2],StatID[3],StatID[4],StatID[5],StatID[6],StatID[7],StatID[8],StatID[9]
1,0,0,80,5259,7888,5259,0,0,0,0,0,0,0,4,7,32,-1,-1,-1,-1,-1,-1,-1
2,0,0,80,6554,5362,3193,0,0,0,0,0,0,0,3,32,31,-1,-1,-1,-1,-1,-1,-1
3,0,0,80,5259,7888,5259,0,0,0,0,0,0,0,3,7,32,-1,-1,-1,-1,-1,-1,-1
4,0,0,80,6666,4767,3900,0,0,0,0,0,0,0,3,32,31,-1,-1,-1,-1,-1,-1,-1
5,0,0,80,7150,5850,4766,30121,0,0,0,0,0,0,7,5,32,45,-1,-1,-1,-1,-1,-1
6,0,0,80,5067,7601,2700,70282,0,0,0,0,0,0,7,5,32,45,-1,-1,-1,-1,-1,-1
7,0,0,80,6666,6666,4445,0,0,0,0,0,0,0,4,7,32,-1,-1,-1,-1,-1,-1,-1
8,0,0,80,5259,5259,7889,0,0,0,0,0,0,0,3,32,7,-1,-1,-1,-1,-1,-1,-1
9,0,0,80,5259,7889,5259,0,0,0,0,0,0,0,5,7,32,-1,-1,-1,-1,-1,-1,-1
10,0,0,80,7266,4106,4789,0,0,0,0,0,0,0,3,31,7,-1,-1,-1,-1,-1,-1,-1
11,0,0,80,5259,7889,5259,0,0,0,0,0,0,0,5,7,32,-1,-1,-1,-1,-1,-1,-1
12,0,0,10,5000,5000,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
13,0,0,10,10000,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
14,0,0,15,6500,6500,10000,10000,10000,10000,0,0,0,0,38,39,40,41,42,43,0,0,0,0
15,0,0,10,4200,5200,6200,0,0,0,0,0,0,0,40,41,42,0,0,0,0,0,0,0
16,0,0,80,5259,7889,5259,0,0,0,0,0,0,0,5,7,32,-1,-1,-1,-1,-1,-1,-1
21,0,0,10,5000,6000,7000,8000,9000,0,0,0,0,0,12,13,14,15,16,0,0,0,0,0
41,0,0,10,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,4,5,6,7,12,13,14,15,16
42,0,0,10,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,17,18,19,20,21,22,23,24,25,26
43,0,0,10,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,27,28,29,30,31,32,33,34,35,36
102,0,0,15,10000,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
103,0,0,0,10000,0,0,0,0,0,0,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,0,0,80,10000,0,0,0,0,0,0,0,0,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,0,0,0,10000,0,0,0,0,0,0,0,0,0,13,-1,-1,-1,-1,-1,-1,-1,-1,-1
221,0,0,80,4844,7266,4106,3193,0,0,0,0,0,0,4,7,32,36,-1,-1,-1,-1,-1,-1
222,0,0,80,5259,3506,5259,0,0,0,0,0,0,0,3,44,7,-1,-1,-1,-1,-1,-1,-1
223,0,0,80,4859,5732,2519,0,0,0,0,0,0,0,7,5,32,-1,-1,-1,-1,-1,-1,-1
224,0,0,80,9688,4844,3193,6159,0,0,0,0,0,0,38,3,31,7,-1,-1,-1,-1,-1,-1
241,0,0,80,10000,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
251,0,0,80,6666,0,0,0,0,0,0,0,0,0,36,-1,-1,-1,-1,-1,-1,-1,-1,-1
271,0,0,80,6666,0,0,0,0,0,0,0,0,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
291,0,0,0,23252,0,0,0,0,0,0,0,0,0,38,-1,-1,-1,-1,-1,-1,-1,-1,-1
292,0,0,80,5259,7888,5258,0,0,0,0,0,0,0,3,7,35,-1,-1,-1,-1,-1,-1,-1
293,0,0,80,7266,4789,4106,0,0,0,0,0,0,0,4,7,35,-1,-1,-1,-1,-1,-1,-1
294,0,0,80,4106,7266,3193,0,0,0,0,0,0,0,3,32,35,-1,-1,-1,-1,-1,-1,-1
295,0,0,80,6666,6666,3554,70282,0,0,0,0,0,0,7,35,6,45,-1,-1,-1,-1,-1,-1
296,0,0,80,7888,5259,5258,30121,0,0,0,0,0,0,7,31,35,45,-1,-1,-1,-1,-1,-1
297,0,0,80,5259,0,0,0,0,0,0,0,0,0,35,-1,-1,-1,-1,-1,-1,-1,-1,-1
298,0,0,80,6667,0,0,0,0,0,0,0,0,0,35,-1,-1,-1,-1,-1,-1,-1,-1,-1
299,0,0,80,6667,0,0,0,0,0,0,0,0,0,35,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,0,0,80,5259,7888,5258,0,0,0,0,0,0,0,4,7,35,-1,-1,-1,-1,-1,-1,-1
301,0,0,80,4444,6666,4444,4444,0,0,0,0,0,0,5,7,32,35,-1,-1,-1,-1,-1,-1
302,0,0,80,6666,6666,4444,0,0,0,0,0,0,0,3,7,35,-1,-1,-1,-1,-1,-1,-1
303,0,0,80,5259,7889,5259,0,0,0,0,0,0,0,5,7,35,-1,-1,-1,-1,-1,-1,-1
304,0,0,80,6666,6666,4767,0,0,0,0,0,0,0,3,7,35,-1,-1,-1,-1,-1,-1,-1
