ID,SkillLineID,MinSkill,Flags
1,2757,1,0
2,2829,1,0
3,2831,1,0
4,2823,1,0
5,2517,1,0
6,2518,1,0
7,2519,1,0
8,2520,1,0
9,2521,1,0
10,2522,1,0
11,2523,1,0
12,2524,1,0
13,2828,1,0
14,2756,1,0
15,2507,1,0
16,2508,1,0
17,2509,1,0
18,2510,1,0
19,2511,1,0
20,2512,1,0
21,2513,1,0
22,2514,1,0
23,2834,1,0
24,2834,1,0
25,2834,1,0
26,2834,1,0
27,2834,1,0
28,2834,1,0
35,2827,0,0
36,2828,1,0
37,2828,1,0
38,2828,1,0
39,2828,1,0
40,2832,1,0
41,2832,1,0
44,2825,1,6
45,2825,1,6
46,2829,1,0
48,0,0,0
49,2829,1,0
50,2521,1,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,2871,1,0
67,2878,1,0
68,2871,1,0
69,2879,1,0
70,2879,1,0
71,2871,1,4
72,2871,1,2
73,2877,1,0
74,2877,1,0
75,2882,1,0
76,2882,1,0
77,2882,1,0
78,2882,1,0
79,2882,1,0
80,2882,1,0
81,2873,1,0
82,2873,1,0
83,0,1,0
84,2873,1,0
85,2873,1,0
86,2874,1,0
87,2875,0,3
88,2875,1,0
89,2875,0,1
90,2870,999,0
91,2883,1,0
92,2878,1,0
93,2878,1,0
94,2878,1,0
95,2878,1,0
96,2873,1,0
97,2873,1,0
98,2873,1,0
99,2873,1,0
