OffsetPos[0],OffsetPos[1],OffsetPos[2],OffsetRot[0],OffsetRot[1],OffsetRot[2],ID,ComponentType,ExteriorComponentID
9.2805,3.4694,-0.5611,0,0,0,2503,11,141
-9.4556,-3.5084,-0.5611,0,0,180,2504,11,141
9.2805,-3.4555,-0.5611,0,0,0,2505,11,141
0.0778,10.8889,-0.5611,0,0,-90,2506,11,141
0.0778,-10.9945,-0.5611,0,0,90,2507,11,141
-9.4556,3.4694,-0.5611,0,0,180,2508,11,141
5.3805,3.4694,4.1639,0,0,0,2509,12,141
5.3611,-3.4555,4.1444,0,0,0,2510,12,141
0.0778,7.0028,4.1722,0,0,-90,2511,12,141
-5.3722,3.4167,4.1444,0,0,180,2512,12,141
-5.3917,-3.5084,4.1639,0,0,180,2513,12,141
0.0417,-6.9833,4.1722,0,0,90,2514,12,141
9.2805,3.4694,-0.5611,0,0,0,2515,11,142
-9.4556,-3.5084,-0.5611,0,0,180,2516,11,142
9.2805,-3.4555,-0.5611,0,0,0,2517,11,142
0.0778,10.8889,-0.5611,0,0,-90,2518,11,142
0.0778,-10.9945,-0.5611,0,0,90,2519,11,142
-9.4556,3.4694,-0.5611,0,0,180,2520,11,142
5.3805,3.4694,4.1639,0,0,0,2521,12,142
5.3611,-3.4555,4.1444,0,0,0,2522,12,142
0.0778,7.0028,4.1722,0,0,-90,2523,12,142
-5.3722,3.4167,4.1444,0,0,180,2524,12,142
-5.3917,-3.5084,4.1639,0,0,180,2525,12,142
0.0417,-6.9833,4.1722,0,0,90,2526,12,142
12.5694,-3.8889,4.9361,0,0,0,2543,12,144
2.2417,6.3389,4.9361,0,0,0,2545,12,144
7.1861,0.6973,4.9361,0,0,-90,2546,12,144
-10.1222,-6.0306,4.9361,0,0,180,2547,12,144
-10.1222,5.9111,4.9361,0,0,180,2548,12,144
7.1861,-8.5694,4.9361,0,0,90,2549,12,144
-3.9722,-12.1638,4.9361,0,0,90,2550,12,144
6.1056,6.0833,0,0,0,0,2551,11,144
-3.9583,-16.0222,0,0,0,90,2553,11,144
16.3417,-3.9277,0,0,0,0,2554,11,144
-3.9583,15.9361,0,0,0,-90,2555,11,144
7.2389,4.6,0,0,0,-90,2556,11,144
7.2389,4.6,0,0,0,-90,2557,11,145
-5.3194,16.0333,0,0,0,-90,2559,11,145
16.3417,-3.9277,0,0,0,0,2560,11,145
-3.9583,-16.0222,0,0,0,90,2561,11,145
-13.9695,-6.0306,0,0,0,180,2562,11,145
-3.9722,-12.1638,4.9361,0,0,90,2563,12,145
7.1861,-8.5694,4.9361,0,0,90,2564,12,145
6.1056,6.0833,0,0,0,0,2565,11,145
-10.1222,5.9111,4.9361,0,0,180,2566,12,145
-10.1222,-6.0306,4.9361,0,0,180,2567,12,145
7.1861,0.6973,4.9361,0,0,-90,2568,12,145
2.2417,6.3389,4.9361,0,0,0,2569,12,145
-3.9722,12.0833,4.9361,0,0,-90,2570,12,145
12.5694,-3.8889,4.9361,0,0,0,2571,12,145
12.8222,8.8556,0,0,0,0,2597,11,147
22.1861,-11.9195,0,0,0,0,2598,11,147
4.8972,-23.7667,0,0,0,90,2599,11,147
