ID,X,Y,Z,QuestPOIBlobID
182167,-5698,-4046,0,54097
182168,-5647,-4030,0,54097
182169,-5581,-3986,0,54097
182170,-5509,-3897,0,54097
182171,-5514,-3811,0,54097
182172,-5577,-3776,0,54097
182173,-5623,-3767,0,54097
182174,-5682,-3765,0,54097
182175,-5747,-3783,0,54097
182176,-5786,-3844,0,54097
182177,-5791,-3890,0,54097
182178,-5775,-4007,0,54097
182233,-2852,-2312,0,54124
182234,-2803,-2301,0,54124
182235,-2758,-2281,0,54124
182236,-2734,-2232,0,54124
182237,-2741,-2193,0,54124
182238,-2786,-2130,0,54124
182239,-2835,-2103,0,54124
182240,-2884,-2106,0,54124
182241,-2929,-2155,0,54124
182242,-2939,-2204,0,54124
182243,-2936,-2267,0,54124
182244,-2915,-2298,0,54124
182245,-3690,-3233,0,54127
182246,-3588,-3226,0,54127
182247,-3498,-3184,0,54127
182248,-3431,-3115,0,54127
182249,-3386,-3017,0,54127
182250,-3386,-2923,0,54127
182251,-3400,-2863,0,54127
182252,-3512,-2818,0,54127
182253,-3637,-2912,0,54127
182254,-3857,-3080,0,54127
182255,-3867,-3125,0,54127
182256,-3805,-3198,0,54127
182317,-1676,-3553,0,54132
182318,-1600,-3521,0,54132
182319,-1594,-3427,0,54132
182320,-1673,-3154,0,54132
182321,-1714,-3101,0,54132
182322,-1808,-3034,0,54132
182323,-1882,-3028,0,54132
182324,-1958,-3116,0,54132
182325,-1964,-3181,0,54132
182326,-1967,-3272,0,54132
182327,-1935,-3404,0,54132
182328,-1741,-3541,0,54132
182341,-2472,-2577,0,54133
182342,-2423,-2549,0,54133
182343,-2395,-2511,0,54133
182344,-2378,-2438,0,54133
182345,-2378,-2403,0,54133
182346,-2430,-2354,0,54133
182347,-2479,-2364,0,54133
182348,-2538,-2406,0,54133
182349,-2570,-2448,0,54133
182350,-2577,-2504,0,54133
182351,-2556,-2553,0,54133
182352,-2528,-2574,0,54133
182353,-1177,-1309,0,54134
182354,-1116,-1268,0,54134
182355,-1091,-1157,0,54134
182356,-1099,-1116,0,54134
182357,-1144,-1063,0,54134
182358,-1218,-1038,0,54134
182359,-1268,-1038,0,54134
182360,-1329,-1042,0,54134
182361,-1411,-1071,0,54134
182362,-1440,-1129,0,54134
182363,-1423,-1165,0,54134
182364,-1255,-1293,0,54134
182389,228,-2383,0,54136
182390,316,-2345,0,54136
182391,329,-2263,0,54136
182392,316,-2140,0,54136
182393,248,-1974,0,54136
182394,170,-1922,0,54136
182395,33,-1896,0,54136
182396,1,-1964,0,54136
182397,-1,-2033,0,54136
182398,33,-2176,0,54136
182399,37,-2182,0,54136
182400,163,-2357,0,54136
182413,-265,-3592,0,54138
182414,-183,-3586,0,54138
182415,-157,-3507,0,54138
182416,-47,-3407,0,54138
182417,-53,-3316,0,54138
182418,-138,-3264,0,54138
182419,-206,-3251,0,54138
182420,-342,-3267,0,54138
182421,-381,-3293,0,54138
182422,-401,-3342,0,54138
182423,-404,-3420,0,54138
182424,-323,-3563,0,54138
182425,-300,-4265,0,54139
182426,-216,-4216,0,54139
182427,-170,-4167,0,54139
182428,-167,-4092,0,54139
182429,-167,-3959,0,54139
182430,-291,-3959,0,54139
182431,-398,-3979,0,54139
182432,-453,-4027,0,54139
182433,-485,-4092,0,54139
182434,-492,-4161,0,54139
182435,-495,-4222,0,54139
182436,-417,-4255,0,54139
182461,449,-3495,0,54141
182462,488,-3449,0,54141
182463,511,-3407,0,54141
182464,530,-3345,0,54141
182465,495,-3280,0,54141
182466,443,-3257,0,54141
182467,378,-3238,0,54141
182468,326,-3244,0,54141
182469,287,-3319,0,54141
182470,300,-3378,0,54141
182471,342,-3449,0,54141
182472,407,-3491,0,54141
183756,-472,-3975,0,54140
183757,-144,-3930,0,54140
183758,-125,-3872,0,54140
183759,-118,-3784,0,54140
183760,-239,-3738,0,54140
183761,-317,-3732,0,54140
183762,-453,-3764,0,54140
183763,-560,-3826,0,54140
183764,-703,-3927,0,54140
183765,-736,-4021,0,54140
183766,-716,-4073,0,54140
183767,-508,-4251,0,54140
185317,-6381,-3474,0,54832
185318,-6336,-3455,0,54832
185319,-6323,-3390,0,54832
185320,-6336,-3350,0,54832
185321,-6357,-3329,0,54832
185322,-6399,-3311,0,54832
185323,-6433,-3311,0,54832
185324,-6473,-3327,0,54832
185325,-6491,-3356,0,54832
185326,-6499,-3392,0,54832
185327,-6491,-3450,0,54832
185328,-6444,-3468,0,54832
185341,-6743,-3539,0,54834
185342,-6690,-3529,0,54834
185343,-6654,-3455,0,54834
185344,-6690,-3395,0,54834
185345,-6774,-3322,0,54834
185346,-6808,-3303,0,54834
185347,-7026,-3245,0,54834
185348,-7076,-3269,0,54834
185349,-7084,-3343,0,54834
185350,-7063,-3390,0,54834
185351,-7002,-3440,0,54834
185352,-6840,-3521,0,54834
185353,-6011,-3374,0,54838
185354,-5974,-3319,0,54838
185355,-5969,-3256,0,54838
185356,-5990,-3196,0,54838
185357,-6029,-3133,0,54838
185358,-6090,-3127,0,54838
185359,-6119,-3154,0,54838
185360,-6150,-3209,0,54838
185361,-6158,-3253,0,54838
185362,-6150,-3298,0,54838
185363,-6121,-3340,0,54838
185364,-6079,-3361,0,54838
185449,-10747,-4332,0,54864
185450,-10712,-4293,0,54864
185451,-10725,-4250,0,54864
185452,-10766,-4192,0,54864
185453,-10792,-4173,0,54864
185454,-10991,-4057,0,54864
185455,-11023,-4047,0,54864
185456,-11073,-4068,0,54864
185457,-11088,-4117,0,54864
185458,-11071,-4165,0,54864
185459,-11045,-4188,0,54864
185460,-10787,-4332,0,54864
185461,-251,-1262,0,54135
185462,-164,-1242,0,54135
185463,-93,-1171,0,54135
185464,-118,-1046,0,54135
185465,-538,-685,0,54135
185466,-617,-635,0,54135
185467,-708,-610,0,54135
185468,-846,-618,0,54135
185469,-929,-680,0,54135
185470,-912,-793,0,54135
185471,-459,-1179,0,54135
185472,-368,-1229,0,54135
186981,-10459,-572,0,55350
186982,-10408,-567,0,55350
186983,-10374,-521,0,55350
186984,-10362,-456,0,55350
186985,-10358,-403,0,55350
186986,-10383,-334,0,55350
186987,-10459,-304,0,55350
186988,-10533,-325,0,55350
186989,-10600,-403,0,55350
186990,-10605,-465,0,55350
186991,-10582,-507,0,55350
186992,-10531,-544,0,55350
187017,-10978,-248,0,55352
187018,-10946,-225,0,55352
187019,-10935,-126,0,55352
187020,-10939,-62,0,55352
187021,-10953,-32,0,55352
187022,-10990,-2,0,55352
187023,-11018,-4,0,55352
187024,-11064,-43,0,55352
187025,-11087,-78,0,55352
