ID,ClassID,SexID,OutfitID,PetDisplayID,PetFamilyID,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],ItemID[17],ItemID[18],ItemID[19],ItemID[20],ItemID[21],ItemID[22],ItemID[23],RaceID
1,1,0,0,0,0,38,39,40,0,49778,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,6125,139,140,6948,12282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,1,0,0,0,0,38,39,40,0,12282,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,1,0,0,0,0,49778,6120,6121,6122,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,2,0,0,0,0,6117,6118,43,0,2361,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,4,0,0,0,0,2092,49,48,47,0,50055,28979,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9,4,0,0,0,0,49,47,48,28979,2092,0,50055,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,8,0,0,0,0,56,1395,55,35,6096,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,5,0,0,0,0,6098,52,53,51,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,9,0,0,0,0,57,6097,1396,35,59,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,1,1,0,0,0,38,39,40,0,49778,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,3,0,0,0,0,127,6126,6948,12282,0,2508,2102,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
16,3,0,0,0,0,127,6126,6127,0,12282,6948,2101,2504,0,2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,4,0,0,0,0,2105,120,121,25861,2092,0,50055,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,7,0,0,0,0,154,153,6948,0,36,0,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,9,0,0,0,0,6129,1396,59,35,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
21,3,0,0,0,0,148,147,129,0,12282,0,2102,2508,2516,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,3
22,5,0,0,0,0,6098,53,52,51,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,3,0,0,0,0,12282,148,147,129,0,2504,2101,2512,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,4
26,5,0,0,0,0,3661,6119,52,51,53,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
27,1,0,0,0,0,6125,139,0,2361,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29,7,0,0,0,0,154,153,6948,36,0,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
30,1,0,0,0,0,6125,139,140,49778,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
31,4,0,0,0,0,2092,2105,120,121,0,50055,28979,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
32,5,0,0,0,0,6144,53,52,35,0,0,51,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
33,9,0,0,0,0,6129,1396,59,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
34,8,0,0,0,0,6140,1395,6096,35,55,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
36,2,1,0,0,0,45,43,44,6948,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,4,1,0,0,0,49,47,48,28979,2092,0,50055,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,5,1,0,0,0,6098,52,53,51,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,8,1,0,0,0,56,1395,55,35,6096,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,9,1,0,0,0,57,6097,1396,35,59,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,1,1,0,0,0,6125,139,140,6948,12282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
42,3,1,0,0,0,127,6126,6127,0,12282,6948,2101,2504,0,2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
43,4,1,0,0,0,2105,120,121,25861,2092,0,50055,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
45,7,1,0,0,0,154,153,6948,0,36,0,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
46,9,1,0,0,0,6129,1396,59,35,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
47,1,1,0,0,0,38,39,40,0,12282,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
48,2,1,0,0,0,6117,6118,43,0,2361,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
49,3,1,0,0,0,148,147,129,0,12282,0,2102,2508,2516,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,3
50,5,1,0,0,0,6098,53,52,51,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
53,1,1,0,0,0,49778,6120,6121,6122,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
54,3,1,0,0,0,12282,148,147,129,0,2504,2101,2512,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,4
55,4,1,0,0,0,2092,49,48,47,0,50055,28979,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
56,5,1,0,0,0,3661,6119,52,51,53,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
58,1,1,0,0,0,6125,139,140,49778,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
59,4,1,0,0,0,2092,2105,120,121,0,50055,28979,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
60,5,1,0,0,0,6144,53,52,35,0,0,51,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
61,8,1,0,0,0,6140,1395,6096,35,55,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
62,9,1,0,0,0,6129,1396,59,35,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
63,1,1,0,0,0,6125,139,0,2361,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
64,3,1,0,0,0,127,6126,6948,12282,0,2508,2102,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
66,7,1,0,0,0,154,153,6948,36,0,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
79,2,0,0,0,0,45,43,44,6948,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
284,11,0,0,0,0,35,6139,6124,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
285,11,1,0,0,0,35,6139,6124,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
286,11,0,0,0,0,3661,6123,6124,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
287,11,1,0,0,0,3661,6123,6124,0,0,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
