CastOffset[0],CastOffset[1],CastOffset[2],ImpactOffset[0],ImpactOffset[1],ImpactOffset[2],ID,SpellVisualEffectNameID,SoundEntriesID,Attachment,DestinationAttachment,CastPositionerID,ImpactPositionerID,FollowGroundHeight,FollowGroundDropSpeed,FollowGroundApproach,Flags,SpellMissileMotionID,AnimKitID,SpellVisualMissileSetID
0,0,0,0,0,0,11611,675,3013,-1,34,0,0,0,0,0,0,0,0,9803
0,0,0,0,0,0,11612,675,0,-1,34,0,0,0,0,0,0,0,0,9804
0,0,0,0,0,0,11613,408,3012,-1,34,0,0,0,0,0,0,0,0,9805
0,0,0,0,0,0,11614,399,0,-1,20,0,0,0,0,0,0,0,0,9806
0,0,0,0,0,0,11615,675,3134,-1,34,0,0,0,0,0,0,0,0,9807
0,0,0,0,0,0,11616,2042,3015,-1,34,0,0,0,0,0,0,0,0,9808
0,0,0,0,0,0,11617,258,0,-1,19,0,0,0,0,0,0,0,0,9809
0,0,0,0,0,0,11618,1547,3014,-1,34,0,0,0,0,0,0,0,0,9810
0,0,0,0,0,0,11619,1524,3013,-1,34,0,0,0,0,0,0,0,0,9811
0,0,0,0,0,0,11620,1783,0,-1,34,0,0,0,0,0,0,501,0,9812
0,0,0,0,0,0,11621,362,0,-1,34,0,0,0,0,0,0,0,0,9813
0,0,0,0,0,0,11622,3403,0,-1,34,0,0,0,0,0,0,101,0,9814
0,0,0,0,0,0,11623,188,0,-1,34,0,0,0,0,0,2,0,0,9815
0,0,0,0,0,0,11624,3493,0,-1,34,0,0,0,0,0,2,0,0,9816
0,0,0,0,0,0,11625,224,0,-1,34,0,0,0,0,0,2,0,0,9817
0,0,0,0,0,0,11626,4807,0,-1,34,0,0,0,0,0,2,0,0,9818
0,0,0,0,0,0,11627,362,0,-1,34,0,0,0,0,0,2,0,0,9819
0,0,0,0,0,0,11628,363,0,-1,34,0,0,0,0,0,0,0,0,9820
0,0,0,0,0,0,11629,675,3134,-1,34,0,0,0,0,0,0,0,0,9821
0,0,0,0,0,0,11631,1179,0,-1,34,0,0,0,0,0,0,0,0,9823
0,0,0,0,0,0,11632,2998,0,-1,34,0,0,0,0,0,0,0,0,9824
