ID,RaceID,BannerColor,CrestTextureID,ModelBackgroundTextureID,MaleCreatureDisplayID,FemaleCreatureDisplayID,Ui_unlockAchievementID,Ui_unlockSecondaryAchievementID
2,27,12880639,6728,6724,82708,82709,9,9
4,28,13959168,6726,6722,82733,82731,9,9
5,29,8323765,6729,6725,82736,82735,9,9
6,30,16774843,6727,6884,82729,82730,9,9
107,34,16747264,7729,27454,87992,87993,9,9
108,36,9710640,7730,7742,86343,86342,9,9
109,31,15580710,8944,8943,89631,89632,9,9
110,32,43405,8929,8928,89783,89784,9,9
117,37,1101760311,9767,9775,94370,94371,9,9
118,35,1097809210,9768,9776,94257,94256,9,9
135,84,-1870336,27455,27454,121634,121635,40307,0
136,85,-1870336,27455,27454,121634,121635,40307,0
