ID,BattlePetAbilityID,RequiredLevel,SlotEnum,BattlePetSpeciesID
137,7,0,0,354
169,70,0,0,354
170,71,0,0,354
171,72,0,0,354
172,73,0,0,354
208,771,1,0,122
209,772,2,1,122
210,773,4,2,122
235,765,1,0,189
236,766,2,1,189
252,119,1,0,244
253,362,2,1,244
254,113,4,2,244
267,85,0,0,354
268,125,0,0,444
269,132,0,0,444
270,134,0,0,444
275,157,1,0,462
277,149,6,2,462
278,150,5,1,462
298,113,1,0,175
299,173,2,1,175
300,409,4,2,175
301,112,10,0,175
302,178,15,1,175
303,179,20,2,175
310,110,1,0,94
311,194,2,1,94
312,160,4,2,94
313,193,10,0,94
314,197,15,1,94
315,198,20,2,94
319,384,1,0,116
320,204,2,1,116
321,208,4,2,116
322,202,10,0,116
323,206,15,1,116
324,209,20,2,116
325,210,1,0,249
326,212,2,1,249
328,120,10,0,249
329,214,15,1,249
330,218,20,2,249
331,219,1,0,248
332,223,2,1,248
333,226,4,2,248
334,221,10,0,248
335,225,15,1,248
337,118,1,0,106
338,123,2,1,106
339,233,4,2,106
340,228,10,0,106
341,230,15,1,106
342,232,20,2,106
354,118,1,0,375
355,124,2,1,375
356,122,4,2,375
357,186,10,0,375
358,273,15,1,375
359,214,20,2,375
361,227,20,2,248
363,110,1,0,202
364,348,2,1,202
365,345,4,2,202
367,247,15,1,202
368,206,20,2,202
375,347,10,0,202
376,349,1,0,411
377,347,2,1,411
378,352,4,2,411
379,492,10,0,411
380,350,15,1,411
381,354,20,2,411
382,356,1,0,207
383,165,2,1,207
384,359,4,2,207
385,355,10,0,207
386,357,15,1,207
387,124,20,2,207
394,110,1,0,278
395,165,2,1,278
396,364,4,2,278
397,360,10,0,278
398,362,15,1,278
399,366,20,2,278
400,367,1,0,286
401,369,2,1,286
402,364,4,2,286
403,160,10,0,286
404,371,15,1,286
405,159,20,2,286
406,110,1,0,528
407,347,2,1,528
408,202,4,2,528
412,349,1,0,166
413,375,2,1,166
414,376,4,2,166
415,377,10,0,166
416,283,15,1,166
417,163,20,2,166
418,378,1,0,400
419,339,2,1,400
420,383,4,2,400
421,380,10,0,400
422,382,15,1,400
423,250,20,2,400
427,116,1,0,256
428,278,2,1,256
429,386,4,2,256
430,202,10,0,256
431,279,15,1,256
432,387,20,2,256
433,384,1,0,389
434,389,2,1,389
435,390,4,2,389
436,202,10,0,389
437,392,15,1,389
438,278,20,2,389
439,393,1,0,56
440,347,2,1,56
441,170,4,2,56
442,122,10,0,56
443,256,15,1,56
444,169,20,2,56
445,394,1,0,212
446,396,2,1,212
448,398,10,0,212
449,303,15,1,212
450,400,20,2,212
452,402,4,2,212
453,394,1,0,291
454,268,2,1,291
455,405,4,2,291
456,753,10,0,291
457,298,15,1,291
458,404,20,2,291
459,406,1,0,500
460,409,2,1,500
461,407,4,2,500
462,178,10,0,500
463,392,15,1,500
464,282,20,2,500
465,424,1,0,380
466,357,2,1,380
467,411,4,2,380
468,412,10,0,380
469,283,15,1,380
470,541,20,2,380
477,118,1,0,535
478,414,2,1,535
479,418,4,2,535
480,413,10,0,535
481,416,15,1,535
482,419,20,2,535
483,110,1,0,186
484,122,2,1,186
485,422,4,2,186
486,421,10,0,186
487,420,15,1,186
488,394,20,2,186
489,118,1,0,115
490,419,2,1,115
491,423,4,2,115
492,424,10,0,115
493,426,15,1,115
494,276,20,2,115
536,429,1,0,240
537,436,2,1,240
538,364,4,2,240
539,437,10,0,240
540,347,15,1,240
541,621,20,2,240
542,429,1,0,242
543,440,2,1,242
544,364,4,2,242
545,441,10,0,242
546,442,15,1,242
547,536,20,2,242
554,452,1,0,213
555,453,2,1,213
556,456,4,2,213
557,455,10,0,213
558,457,15,1,213
559,459,20,2,213
560,114,1,0,342
561,460,2,1,342
562,751,4,2,342
563,113,10,0,342
564,463,15,1,342
565,461,20,2,342
566,114,1,0,292
567,763,2,1,292
568,751,4,2,292
569,421,10,0,292
570,323,15,1,292
571,273,20,2,292
572,113,1,0,93
573,256,2,1,93
574,471,4,2,93
575,472,10,0,93
576,468,15,1,93
577,650,20,2,93
578,228,1,0,157
579,474,2,1,157
580,468,4,2,157
581,473,10,0,157
582,475,15,1,157
583,476,20,2,157
584,477,1,0,117
585,206,2,1,117
586,120,4,2,117
587,478,10,0,117
588,414,15,1,117
589,481,20,2,117
590,482,1,0,308
591,593,2,1,308
592,473,4,2,308
593,297,10,0,308
594,323,15,1,308
595,513,20,2,308
602,484,1,0,229
603,486,2,1,229
604,489,4,2,229
605,360,10,0,229
606,488,15,1,229
607,490,20,2,229
715,493,1,0,374
716,253,2,1,374
718,541,10,0,374
796,110,1,0,626
797,357,2,1,626
798,186,4,2,626
805,367,1,0,386
806,364,2,1,386
807,159,4,2,386
823,499,1,0,628
824,162,2,1,628
825,212,4,2,628
854,420,1,0,138
855,506,2,1,138
856,507,4,2,138
857,504,10,0,138
858,162,15,1,138
859,508,20,2,138
866,356,1,0,629
867,511,2,1,629
868,310,4,2,629
869,509,10,0,629
870,123,15,1,629
871,513,20,2,629
923,112,1,0,471
924,389,2,1,471
925,208,4,2,471
977,112,1,0,646
978,524,2,1,646
979,642,4,2,646
992,160,4,2,2
993,184,2,0,462
994,188,3,2,462
995,298,4,1,462
1008,1938,1,0,666
1009,1738,2,1,666
1010,466,4,2,666
1011,1937,10,0,666
1012,647,15,1,666
1013,1936,20,2,666
1021,539,4,2,374
1022,497,15,1,374
1023,163,20,2,374
1026,414,4,2,249
1041,111,1,0,107
1047,111,1,0,214
1048,111,1,0,216
1049,111,1,0,217
1050,111,1,0,225
1051,111,1,0,226
1052,788,1,0,228
1054,111,1,0,280
1055,111,1,0,281
1056,111,1,0,282
1057,111,1,0,283
1058,111,1,0,294
1059,111,1,0,296
1061,113,1,0,329
1062,406,1,0,513
1063,713,1,0,514
1064,219,1,0,515
1065,115,1,0,320
1066,429,1,0,57
1068,115,1,0,196
1069,429,1,0,347
1070,860,1,0,255
1071,115,1,0,59
1072,393,1,0,268
1073,115,1,0,180
1076,115,1,0,131
1080,119,1,0,146
1086,420,1,0,241
1087,112,1,0,245
1092,420,1,0,309
1093,420,1,0,311
1096,420,1,0,331
1097,420,1,0,332
1098,420,1,0,336
1099,420,1,0,344
