ID,CharacterLoadoutID,ItemID
19767,1558,45
19768,1558,43
19769,1558,44
19770,1558,6948
19771,1558,2361
19772,1558,159
19773,1558,2070
19774,1559,49
19775,1559,47
19776,1559,48
19777,1559,2947
19778,1559,2092
19779,1559,2070
19780,1559,6948
19781,1560,6098
19782,1560,52
19783,1560,53
19784,1560,51
19785,1560,36
19786,1560,159
19787,1560,2070
19788,1560,6948
19789,1561,56
19790,1561,1395
19791,1561,55
19792,1561,35
19793,1561,6096
19794,1561,2070
19795,1561,159
19796,1561,6948
19797,1562,57
19798,1562,6097
19799,1562,1396
19800,1562,2092
19801,1562,59
19802,1562,4604
19803,1562,159
19804,1562,6948
19805,1563,6125
19806,1563,139
19807,1563,140
19808,1563,6948
19809,1563,12282
19810,1563,117
19811,1564,127
19812,1564,6126
19813,1564,6127
19814,1564,159
19815,1564,37
19816,1564,6948
19817,1564,2101
19818,1564,2504
19819,1564,117
19820,1564,2512
19821,1565,2105
19822,1565,120
19823,1565,121
19824,1565,3111
19825,1565,2092
19826,1565,117
19827,1565,6948
19828,1566,154
19829,1566,153
19830,1566,6948
19831,1566,36
19832,1566,117
19833,1566,159
19834,1567,6129
19835,1567,1396
19836,1567,59
19837,1567,2092
19838,1567,6948
19839,1567,117
19840,1567,159
19841,1568,38
19842,1568,39
19843,1568,40
19844,1568,12282
19845,1568,6948
19846,1568,117
19847,1569,6117
19848,1569,6118
19849,1569,43
19850,1569,2361
19851,1569,4540
19852,1569,159
19853,1569,6948
19854,1570,148
19855,1570,147
19856,1570,129
19857,1570,37
19858,1570,159
19859,1570,2102
19860,1570,2508
19861,1570,2516
19862,1570,117
19863,1570,6948
19864,1571,6098
19865,1571,53
19866,1571,52
19867,1571,51
19868,1571,36
19869,1571,159
19870,1571,4540
19871,1571,6948
19872,1572,25
19873,1572,6120
19874,1572,6121
19875,1572,6122
19876,1572,2362
19877,1572,117
19878,1572,6948
19879,1573,2092
19880,1573,148
19881,1573,147
19882,1573,129
19883,1573,159
19884,1573,2504
19885,1573,2101
19886,1573,2512
19887,1573,117
19888,1573,6948
19889,1574,2092
19890,1574,49
19891,1574,48
19892,1574,47
19893,1574,4540
19894,1574,2947
19895,1574,6948
19896,1575,36
19897,1575,6119
19898,1575,52
19899,1575,51
19900,1575,53
19901,1575,2070
19902,1575,159
19903,1575,6948
19904,1576,6125
19905,1576,139
19906,1576,140
19907,1576,25
19908,1576,2362
19909,1576,4604
19910,1576,6948
19911,1577,2092
19912,1577,2105
19913,1577,120
19914,1577,121
19915,1577,4604
19916,1577,2947
19917,1577,6948
19918,1578,6144
19919,1578,53
19920,1578,52
19921,1578,36
19922,1578,4604
19923,1578,159
19924,1578,51
19925,1578,6948
19926,1579,6140
19927,1579,1395
19928,1579,6096
19929,1579,35
19930,1579,55
19931,1579,4604
19932,1579,159
19933,1579,6948
19934,1580,6129
19935,1580,1396
19936,1580,59
19937,1580,2092
19938,1580,4604
19939,1580,159
19940,1580,6948
19941,1581,6125
19942,1581,139
19943,1581,2361
19944,1581,6948
19945,1581,4540
19946,1582,127
19947,1582,6126
19948,1582,6948
19949,1582,37
19950,1582,159
19951,1582,2508
19952,1582,2102
19953,1582,2516
19954,1582,117
19955,1583,154
19956,1583,153
19957,1583,6948
19958,1583,36
19959,1583,4604
19960,1583,159
19961,1584,35
19962,1584,6139
19963,1584,6124
19964,1584,159
19965,1584,4536
19966,1584,6948
19967,1585,3661
19968,1585,6123
19969,1585,6124
19970,1585,159
19971,1585,4536
19972,1585,6948
19973,1586,2092
19974,1586,49
19975,1586,48
19976,1586,47
19977,1586,4540
19978,1586,3111
19979,1586,6948
19980,1587,49
19981,1587,48
19982,1587,47
19983,1587,2092
19984,1587,2947
19985,1587,117
19986,1587,6948
19987,1588,56
19988,1588,1395
19989,1588,6096
19990,1588,55
19991,1588,35
19992,1588,4536
19993,1588,159
19994,1588,6948
