ID,Fallback,BehaviorTier,BehaviorID,Flags[0],Flags[1]
0,147,0,0,3,0
1,0,0,1,1056770,0
2,0,0,2,65546,0
3,0,0,3,0,0
4,0,0,4,3,0
5,0,0,5,2,0
6,1,0,6,1081379,0
7,0,0,7,0,0
8,25,0,8,8454144,0
9,8,0,9,8454147,0
10,9,0,10,10551299,0
11,0,0,11,0,0
12,0,0,12,0,0
13,4,0,13,17,0
14,0,0,14,65667,0
15,0,0,15,65536,0
16,0,0,16,18941955,0
17,16,0,17,2166787,0
18,17,0,18,2166787,0
19,18,0,19,2166791,0
20,8,0,20,18944003,0
21,8,0,21,2166787,0
22,8,0,22,2166787,0
23,8,0,23,2166787,0
24,8,0,24,2166787,0
25,0,0,25,16844931,0
26,25,0,26,69763,0
27,25,0,27,69763,0
28,27,0,28,69763,0
29,0,0,29,196739,0
30,8,0,30,2162691,0
31,0,0,31,536936459,0
32,16,0,32,536936459,0
33,32,0,33,536936458,0
34,0,0,34,65536,0
35,0,0,35,65536,0
36,8,0,36,2166784,0
37,38,0,37,3,0
38,40,0,38,2,0
39,0,0,39,3,0
40,41,0,40,3,0
41,0,0,41,3,0
42,4,0,42,10,0
43,42,0,43,8,0
44,42,0,44,8,0
45,42,0,45,26,0
46,0,0,46,196611,0
47,0,0,47,196610,0
48,0,0,48,327811,0
49,0,0,49,327683,0
50,0,0,50,11,0
51,52,0,51,536936587,0
52,31,0,52,536936587,0
53,54,0,53,536936459,0
54,33,0,54,536936459,0
55,16,0,55,536936451,0
56,0,0,56,69762,0
57,17,0,57,6361091,0
58,18,0,58,6361091,0
59,87,0,59,2162690,0
60,0,0,60,67651,0
61,0,0,61,1073809475,0
62,0,0,62,67651,0
63,123,0,63,1073809473,0
64,0,0,64,67651,0
65,0,0,65,67651,0
66,0,0,66,67651,0
67,0,0,67,1073809475,0
68,0,0,68,1073809475,0
69,0,0,69,1073743939,0
70,0,0,70,67651,0
71,100,0,71,2115,0
72,0,0,72,2115,0
73,0,0,73,67651,0
74,0,0,74,65603,0
75,0,0,75,2115,0
76,0,0,76,1073809475,0
77,0,0,77,1073809475,0
78,0,0,78,67651,0
79,0,0,79,1073743939,0
80,0,0,80,1073809475,0
81,0,0,81,67651,0
82,0,0,82,1073809475,0
83,0,0,83,67651,0
84,0,0,84,1073809475,0
85,17,0,85,2166790,0
86,19,0,86,2166788,0
87,88,0,87,2166787,0
88,16,0,88,2166791,0
89,0,0,89,65539,0
90,0,0,90,65536,0
91,0,0,91,33554443,0
92,0,0,92,0,0
93,0,0,93,0,0
94,0,0,94,3,0
95,16,0,95,2097155,0
96,0,0,96,2114,0
97,96,0,97,2146,0
98,96,0,98,2130,0
99,0,0,99,10306,0
100,99,0,100,1073774699,0
101,99,0,101,16466,0
102,0,0,102,73,0
103,0,0,103,73,0
104,0,0,104,73,0
105,0,0,105,196610,0
106,0,0,106,327682,0
107,16,0,107,1141442563,0
108,111,0,108,67700867,0
109,0,0,109,196611,0
110,0,0,110,327683,0
111,0,0,111,67698691,0
112,111,0,112,67698690,0
113,0,0,113,1073809475,0
114,0,0,114,2050,0
115,114,0,115,2082,0
116,114,0,116,2066,0
117,87,0,117,18941952,0
118,57,0,118,23136259,0
119,4,0,119,66,0
120,0,0,120,67,0
121,14,0,121,131,0
122,0,0,122,65538,0
123,128,0,123,1073809506,0
124,52,0,124,536936459,0
125,31,0,125,536936459,0
126,0,0,126,4099,0
127,0,0,127,2,0
128,0,0,128,1073807434,0
129,128,0,129,1073811538,0
130,0,0,130,65539,0
131,1,0,131,1048579,0
132,131,0,132,1048611,0
133,0,0,133,1073811523,0
134,0,0,134,1073811523,0
135,42,0,135,32770,0
136,62,0,136,69699,0
137,14,0,137,195,0
138,63,0,138,1073807425,0
139,0,0,139,2,0
140,114,0,140,3,0
141,115,0,141,2,0
142,0,0,142,2,0
143,5,0,143,0,0
144,0,0,144,2,0
145,0,0,145,0,0
146,148,0,146,19,0
147,146,0,147,35,0
148,146,0,148,19,0
149,148,0,149,35,0
150,148,0,150,0,0
151,150,0,151,32,0
152,150,0,152,16,0
153,0,0,153,65539,0
154,0,0,154,65539,0
155,0,0,155,65539,0
156,0,0,156,65539,0
157,0,0,157,0,0
158,0,0,158,3,0
159,0,0,159,3,0
160,0,0,160,0,0
161,0,0,161,2,0
162,0,0,162,0,0
163,0,0,163,0,0
164,0,0,164,0,0
165,0,0,165,0,0
166,0,0,166,0,0
167,0,0,167,0,0
168,0,0,168,0,0
169,0,0,169,3,0
170,19,0,170,2097154,0
171,19,0,171,2097154,0
172,16,0,172,2097154,0
173,19,0,173,2097154,0
174,16,0,174,2097154,0
175,30,0,175,2097154,0
176,812,0,176,2097154,0
177,19,0,177,2097154,0
178,58,0,178,2097154,0
179,826,0,179,2097154,0
180,0,0,180,2,0
181,19,0,181,3,0
182,0,0,182,3,0
183,0,0,183,2,0
184,0,0,184,2,0
185,0,0,185,67651,0
186,0,0,186,67651,0
187,5,0,187,1,0
188,50,0,188,35,0
189,50,0,189,16,0
190,0,0,190,0,0
191,159,0,191,0,0
192,0,0,192,3,0
193,0,0,193,2,0
194,0,0,194,2,0
195,0,0,195,1073807427,0
196,1,0,196,66,0
197,69,0,197,66,0
198,0,0,198,0,0
199,61,0,199,65603,0
200,0,0,200,3,0
201,0,0,201,3,0
202,0,0,202,3,0
203,115,0,203,3,0
204,0,0,204,0,0
205,0,0,205,0,0
206,0,0,206,0,0
207,0,0,207,0,0
208,60,0,208,65603,0
209,84,0,209,65603,0
210,113,0,210,65603,0
211,69,0,211,2115,0
212,16,0,212,2101255,0
213,0,0,213,65539,0
214,0,0,214,65539,0
215,0,0,215,65539,0
216,0,0,216,65539,0
217,0,0,217,65539,0
218,0,0,218,65539,0
219,0,0,219,65539,0
220,0,0,220,65539,0
221,0,0,221,65539,0
222,0,0,222,65539,0
223,119,0,223,66,0
224,127,0,224,3,0
225,0,0,225,67587,0
226,0,0,226,2,0
227,0,0,227,2,0
228,0,0,228,2,0
229,376,3,0,3,0
230,1,3,1,1056771,0
231,229,3,2,65546,0
232,229,3,3,0,0
233,229,3,4,2,0
234,229,3,5,2,0
235,6,3,6,1081378,0
236,229,3,7,0,0
237,254,3,8,8454144,0
238,237,3,9,8454147,0
239,238,3,10,10551299,0
240,229,3,11,0,0
241,229,3,12,0,0
242,233,3,13,16,0
243,229,3,14,65667,0
244,229,3,15,65536,0
245,229,3,16,18941955,0
246,245,3,17,2166787,0
247,246,3,18,2166787,0
248,247,3,19,2166785,0
249,237,3,20,18939907,0
250,237,3,21,2162688,0
251,237,3,22,2162688,0
252,237,3,23,2162688,0
253,237,3,24,2162691,0
254,229,3,25,16844931,0
255,254,3,26,69763,0
256,254,3,27,69763,0
257,254,3,28,69763,0
258,229,3,29,196739,0
259,237,3,30,2162688,0
260,229,3,31,65547,0
261,245,3,32,536936459,0
262,261,3,33,536936458,0
263,229,3,34,65536,0
264,229,3,35,65536,0
265,237,3,36,2162688,0
266,267,3,37,1,0
267,269,3,38,2,0
268,229,3,39,3,0
269,229,3,40,3,0
270,229,3,41,2,0
271,233,3,42,10,0
272,229,3,43,8,0
273,229,3,44,8,0
274,271,3,45,26,0
275,229,3,46,196610,0
276,229,3,47,196610,0
277,229,3,48,327811,0
278,229,3,49,327682,0
279,229,3,50,11,0
280,281,3,51,536936587,0
281,260,3,52,536936587,0
282,283,3,53,536936458,0
283,262,3,54,536936458,0
284,245,3,55,536936451,0
285,229,3,56,69762,0
286,246,3,57,6361091,0
287,247,3,58,6361091,0
288,316,3,59,2162690,0
289,229,3,60,67587,0
290,229,3,61,67587,0
291,229,3,62,67587,0
292,352,3,63,67585,0
293,229,3,64,67587,0
294,229,3,65,67587,0
295,229,3,66,65537,0
296,229,3,67,67587,0
297,229,3,68,67587,0
298,229,3,69,2051,0
299,229,3,70,67587,0
300,329,3,71,2051,0
301,229,3,72,2051,0
302,229,3,73,67587,0
303,229,3,74,65539,0
304,229,3,75,2051,0
305,229,3,76,67585,0
306,229,3,77,67587,0
307,229,3,78,67587,0
308,229,3,79,2051,0
309,229,3,80,67585,0
310,229,3,81,67587,0
311,229,3,82,67587,0
312,229,3,83,67587,0
313,229,3,84,67587,0
314,246,3,85,2166790,0
315,248,3,86,2166788,0
316,317,3,87,2166787,0
317,245,3,88,2166791,0
318,229,3,89,65536,0
319,229,3,90,65536,0
320,229,3,91,33554443,0
321,229,3,92,0,0
322,229,3,93,0,0
323,229,3,94,3,0
324,245,3,95,2097155,0
325,229,3,96,2051,0
326,325,3,97,2083,0
327,325,3,98,2067,0
328,229,3,99,10242,0
329,328,3,100,32811,0
330,328,3,101,16402,0
331,229,3,102,9,0
332,229,3,103,9,0
333,229,3,104,9,0
334,229,3,105,196610,0
335,229,3,106,327682,0
336,245,3,107,67700739,0
337,340,3,108,67700866,0
338,229,3,109,196611,0
339,229,3,110,327683,0
340,229,3,111,67698691,0
341,340,3,112,67698690,0
342,229,3,113,67587,0
343,229,3,114,2050,0
344,343,3,115,2082,0
345,343,3,116,2066,0
346,316,3,117,18941952,0
347,286,3,118,23136258,0
348,233,3,119,2,0
349,229,3,120,2,0
350,229,3,121,130,0
351,229,3,122,65538,0
352,357,3,123,67618,0
353,281,3,124,536936458,0
354,260,3,125,536936458,0
355,229,3,126,4099,0
356,229,3,127,2,0
357,229,3,128,65546,0
358,357,3,129,69650,0
359,229,3,130,65539,0
360,230,3,131,1048579,0
361,360,3,132,1048611,0
362,229,3,133,69635,0
363,229,3,134,69635,0
364,271,3,135,32770,0
365,291,3,136,69635,0
366,243,3,137,129,0
367,292,3,138,65537,0
368,229,3,139,2,0
369,229,3,140,3,0
370,344,3,141,2,0
371,229,3,142,2,0
372,234,3,143,0,0
373,229,3,144,2,0
374,229,3,145,0,0
375,377,3,146,16,0
376,375,3,147,32,0
377,375,3,148,16,0
378,377,3,149,32,0
379,377,3,150,0,0
380,379,3,151,32,0
381,379,3,152,16,0
382,229,3,153,65536,0
383,229,3,154,65536,0
384,229,3,155,65536,0
385,229,3,156,65536,0
386,229,3,157,0,0
387,229,3,158,3,0
388,229,3,159,3,0
389,229,3,160,0,0
390,229,3,161,0,0
391,229,3,162,0,0
392,229,3,163,0,0
393,229,3,164,0,0
394,229,3,165,0,0
395,229,3,166,0,0
396,229,3,167,0,0
397,229,3,168,0,0
398,229,3,169,3,0
399,229,3,170,2097154,0
400,229,3,171,2097154,0
401,229,3,172,2097154,0
402,229,3,173,2097154,0
403,229,3,174,2097154,0
404,229,3,175,2097154,0
405,813,3,176,2097154,0
406,248,3,177,2097154,0
407,287,3,178,2097154,0
408,827,3,179,2097154,0
409,229,3,180,2,0
410,229,3,181,3,0
411,229,3,182,3,0
412,229,3,183,2,0
413,229,3,184,3,0
414,229,3,185,67585,0
415,229,3,186,67587,0
416,234,3,187,1,0
417,279,3,188,35,0
418,279,3,189,16,0
419,229,3,190,0,0
420,388,3,191,0,0
421,229,3,192,3,0
422,229,3,193,2,0
423,229,3,194,2,0
424,229,3,195,65539,0
425,230,3,196,2,0
426,298,3,197,2,0
427,229,3,198,0,0
428,290,3,199,65539,0
429,229,3,200,3,0
430,229,3,201,3,0
431,229,3,202,3,0
432,344,3,203,3,0
433,229,3,204,0,0
434,229,3,205,0,0
435,229,3,206,0,0
436,229,3,207,0,0
437,289,3,208,65539,0
438,313,3,209,65539,0
439,342,3,210,65539,0
440,298,3,211,2051,0
441,245,3,212,2101251,0
442,229,3,213,65539,0
443,229,3,214,65539,0
444,229,3,215,65539,0
445,229,3,216,65539,0
446,229,3,217,65539,0
447,229,3,218,65539,0
448,229,3,219,65539,0
449,229,3,220,65539,0
450,229,3,221,65539,0
451,229,3,222,65539,0
452,348,3,223,2,0
453,356,3,224,3,0
454,229,3,225,67587,0
455,229,3,226,3,0
456,229,3,227,3,0
457,229,3,228,3,0
458,5,0,458,3,0
459,5,0,459,3,0
460,5,0,460,3,0
461,234,3,458,3,0
462,234,3,459,3,0
463,234,3,460,3,0
464,0,0,464,3,0
465,229,3,464,3,0
466,1,0,466,1056770,0
467,1,0,467,1056802,0
468,6,0,468,1056770,0
469,466,3,466,1048578,0
470,467,3,467,1048578,0
471,468,3,468,1056770,0
472,468,0,472,1081379,0
473,471,3,472,1056803,0
474,14,0,474,1073743875,0
475,243,3,474,2051,0
476,0,0,476,65667,0
477,0,0,477,65539,0
478,0,0,478,69635,0
479,0,3,476,65667,0
480,0,3,477,65538,0
481,0,3,478,69635,0
482,85,0,482,2166790,0
483,314,3,482,2166786,0
484,91,0,484,33619979,0
485,320,3,484,33619971,0
486,0,0,486,2048,0
487,0,0,487,2051,0
488,0,3,486,2051,0
489,0,3,487,2051,0
490,0,0,490,2051,0
491,0,3,490,2051,0
492,226,0,492,3,0
493,228,0,493,3,0
494,455,3,492,3,0
495,457,3,493,3,0
496,0,0,496,2051,0
497,0,0,497,2051,0
498,0,3,496,2051,0
499,0,3,497,2051,0
500,484,0,500,33619979,0
501,485,3,500,33619971,0
502,0,0,502,2051,0
503,0,0,503,2051,0
504,0,3,502,2051,0
505,0,3,503,2051,0
506,0,0,506,2115,0
507,229,3,506,3,0
508,16,0,508,18941955,0
509,245,3,508,18941955,0
510,117,0,510,18941952,0
511,346,3,510,18941952,0
512,20,0,512,18944003,0
513,249,3,512,18944003,0
514,25,0,514,16846979,0
515,254,3,514,16846979,0
516,118,0,516,23136259,0
517,347,3,516,23136259,0
518,0,0,518,1073809475,0
519,229,3,518,67651,0
520,0,0,520,1073809475,0
521,229,3,520,67651,0
522,0,0,522,1073809475,0
523,229,3,522,67651,0
524,42,0,524,10,0
525,271,3,524,10,0
526,524,0,526,10,0
527,525,3,526,10,0
528,45,0,528,10,0
529,274,3,528,10,0
530,524,0,530,10,0
531,525,3,530,10,0
532,41,0,532,3,0
533,270,3,532,3,0
534,45,0,534,10,0
535,274,3,534,10,0
536,43,0,536,8,0
537,272,3,536,8,0
538,44,0,538,8,0
539,273,3,538,8,0
540,42,0,540,10,0
541,271,3,540,10,0
542,540,0,542,10,0
543,541,3,542,10,0
544,540,0,544,10,0
545,541,3,544,10,0
546,534,0,546,10,0
547,535,3,546,10,0
548,532,0,548,3,0
549,548,3,548,3,0
550,534,0,550,522,0
551,550,3,550,522,0
552,322,0,552,8,0
553,272,3,552,8,0
554,321,0,554,8,0
555,273,3,554,8,0
556,540,0,556,522,0
557,271,3,556,522,0
558,556,0,558,522,0
559,557,3,558,522,0
560,556,0,560,522,0
561,560,3,560,522,0
562,550,0,562,522,0
563,562,3,562,522,0
564,37,0,564,3,0
565,564,3,564,3,0
566,532,0,566,3,0
567,533,3,566,3,0
568,39,0,568,3,0
569,268,3,568,3,0
570,187,0,570,1,0
571,416,3,570,1,0
572,568,0,572,3,0
573,572,3,572,3,0
574,570,0,574,1,0
575,574,3,574,1,0
