ID,MapID,ObjectID,PlayerConditionID,ValueFalse,ValueTrue
66,2601,825712,119772,1000,1000
67,2601,825731,119775,1000,1000
68,2601,825732,119775,1000,1000
69,2601,825733,119778,1000,1000
70,2601,825734,119775,1000,1000
71,2601,825735,119778,1000,1000
72,2601,825736,119775,1000,1000
73,2601,825737,119778,1000,1000
74,2601,825738,119775,1000,1000
75,2601,825739,119775,1000,1000
76,2601,825740,119775,1000,1000
77,2601,825741,119774,1000,1000
78,2601,825742,119776,1000,1000
79,2601,825743,119772,1000,1000
80,2601,825744,119772,1000,1000
81,2601,825745,119772,1000,1000
82,2601,825746,119772,1000,1000
83,2601,825747,119772,1000,1000
84,2601,825748,119774,1000,1000
85,2601,825749,119773,1000,1000
86,2601,825750,119774,1000,1000
87,2601,825751,119773,1000,1000
88,2601,825752,119774,1000,1000
89,2601,825753,119773,1000,1000
90,2601,825754,119778,1000,1000
91,2601,825755,119778,1000,1000
92,2601,825756,119778,1000,1000
93,2601,825884,119777,1000,1000
94,2601,825885,119779,1000,1000
95,2601,825886,119780,1000,1000
97,2601,826043,119773,1000,1000
98,2601,826044,119773,1000,1000
99,2601,826045,119773,1000,1000
100,2601,826046,119773,1000,1000
101,2601,826047,119773,1000,1000
102,2601,826048,119774,1000,1000
103,2601,826049,119774,1000,1000
104,2601,826050,119773,1000,1000
105,2601,826051,119773,1000,1000
106,2601,826052,119774,1000,1000
107,2601,826053,119774,1000,1000
108,2601,826054,119773,1000,1000
109,2601,826055,119775,1000,1000
110,2601,826056,119775,1000,1000
111,2601,826057,119775,1000,1000
112,2601,826058,119775,1000,1000
113,2254,827118,81017,100,100
164,2601,830191,120490,1000,1000
165,2601,830183,120490,1000,1000
166,2601,830187,120490,1000,1000
167,2601,830188,120490,1000,1000
168,2601,830184,120490,1000,1000
169,2601,830189,120490,1000,1000
170,2601,830190,120490,1000,1000
171,2601,830192,120490,1000,1000
172,2601,830182,120490,1000,1000
173,2601,830198,120490,1000,1000
174,2601,830196,120490,1000,1000
175,2601,830203,120490,1000,1000
176,2601,830194,120490,1000,1000
178,2601,830201,120490,1000,1000
179,2601,830193,120490,1000,1000
180,2601,830202,120490,1000,1000
181,2601,830195,120490,1000,1000
182,2601,830204,120490,1000,1000
183,2601,830197,120490,1000,1000
184,2601,830200,120490,1000,1000
185,2601,830205,119773,1000,1000
186,2601,830206,119773,1000,1000
187,2601,830207,119773,1000,1000
188,2601,830208,119773,1000,1000
189,2601,830209,119773,1000,1000
190,2601,830210,119773,1000,1000
191,2601,830211,119773,1000,1000
192,2601,830212,119773,1000,1000
193,2601,830213,119773,1000,1000
194,2601,830214,119773,1000,1000
195,2601,830215,119773,1000,1000
196,2601,830216,119773,1000,1000
197,2601,830217,119773,1000,1000
198,2601,830218,119773,1000,1000
199,2601,830219,119773,1000,1000
200,2601,830220,119773,1000,1000
201,2601,830221,119773,1000,1000
202,2601,830222,119773,1000,1000
203,2601,830223,119773,1000,1000
204,2601,830224,119773,1000,1000
205,2601,830225,119773,1000,1000
206,2601,830226,119773,1000,1000
207,2601,830227,119773,1000,1000
208,2601,830228,119773,1000,1000
210,2709,830233,17848,7,8
211,2709,824672,95517,1000,1000
212,2709,825477,28905,0,0
213,2709,830230,25758,1000,1000
214,2709,825484,16488,1,1
215,2709,827618,86377,666,666
216,2709,824673,95542,1000,1000
247,2601,830495,120490,1000,1000
248,2601,830496,120490,1000,1000
249,2601,830497,120490,1000,1000
475,2709,837340,95517,1000,1000
476,2709,830753,101740,1000,1000
477,2709,837813,89446,1000,1000
478,2709,837814,89446,1000,1000
479,2709,837815,89446,555,666
480,2709,837816,89446,1000,1000
570,2552,842020,117044,1000,1000
571,2552,842021,117044,1000,1000
572,2552,842022,117044,1000,1000
573,2552,842023,117044,1000,1000
574,2552,842024,117044,1000,1000
575,2552,842025,117044,1000,1000
576,2552,842026,117044,1000,1000
577,2552,842027,117044,1000,1000
578,2552,842028,117044,1000,1000
579,2552,842029,117044,1000,1000
580,2552,842030,117044,1000,1000
581,2552,842031,117044,1000,1000
582,2552,842032,117044,1000,1000
583,2552,842033,117044,1000,1000
584,2552,842034,117044,1000,1000
585,2552,842035,117044,1000,1000
586,2552,842036,117044,1000,1000
587,2552,842037,117044,1000,1000
588,2552,842038,117044,1000,1000
590,2552,842040,117044,1000,1000
592,2552,842042,117044,1000,1000
593,2552,842043,117044,1000,1000
595,2552,842045,117044,1000,1000
596,2552,842046,117044,1000,1000
597,2552,842047,117044,1000,1000
598,2552,842048,117044,1000,1000
599,2552,842049,117044,1000,1000
600,2552,842050,117044,1000,1000
602,2552,842052,117044,1000,1000
603,2552,842053,117044,1000,1000
604,2552,842054,117044,1000,1000
605,2552,842055,117044,1000,1000
606,2552,842056,117044,1000,1000
607,2552,842057,117044,1000,1000
608,2552,842058,117044,1000,1000
609,2552,842059,117044,1000,1000
610,2552,842060,117044,1000,1000
611,2552,842061,117044,1000,1000
