ID,SoundKitID,FileDataID,Frequency,Volume,PlayerConditionID
822,745,568598,1,1,0
823,745,569142,1,1,0
824,745,569099,1,1,0
825,745,568581,1,1,0
826,745,569683,1,1,0
2179,1483,568516,1,1,0
2180,1483,569544,1,1,0
2181,1483,568188,1,1,0
2182,1483,569513,1,1,0
2183,1483,568529,1,1,0
2212,1506,569544,1,1,0
2213,1506,568188,1,1,0
2214,1506,569513,1,1,0
2215,1506,568529,1,1,0
3540,2523,53492,1,1,0
3541,2523,53493,1,1,0
3542,2523,53494,1,1,0
3543,2524,53486,1,1,0
3544,2524,53488,1,1,0
3545,2524,53489,1,1,0
3546,2524,53487,1,1,0
3547,2524,53490,1,1,0
3548,2524,53491,1,1,0
3549,2525,53541,1,1,0
3550,2525,53542,1,1,0
3551,2525,53543,1,1,0
3552,2525,53544,1,1,0
3553,2525,53545,1,1,0
3554,2525,53546,1,1,0
3555,2526,53302,1,1,0
3556,2526,53303,1,1,0
3557,2526,53300,1,1,0
3558,2526,53304,1,1,0
3559,2526,53299,1,1,0
3560,2527,53577,1,1,0
3561,2527,53578,1,1,0
3562,2527,53579,1,1,0
3563,2527,53582,1,1,0
3564,2527,53583,1,1,0
3565,2528,53682,1,1,0
3566,2528,53681,1,1,0
3567,2528,53683,1,1,0
3568,2528,53680,1,1,0
3569,2529,53812,1,1,0
3570,2529,53813,1,1,0
3571,2529,53814,1,1,0
3572,2529,53815,1,1,0
3573,2530,53457,1,1,0
3574,2530,53453,1,1,0
3575,2530,53456,1,1,0
3576,2530,53454,1,1,0
3577,2530,53455,1,1,0
3578,2532,53206,1,1,0
3579,2532,53207,1,1,0
3580,2532,53208,1,1,0
3581,2532,53209,1,1,0
3582,2532,53202,1,1,0
3583,2532,53204,1,1,0
3584,2532,53205,1,1,0
3585,2532,53203,1,1,0
3586,2532,772731,1,1,0
3587,2532,772730,1,1,0
3588,2533,53495,1,1,0
3589,2533,53496,1,1,0
3590,2533,53497,1,1,0
3591,2533,53498,1,1,0
3592,2534,53489,1,1,0
3593,2534,53490,1,1,0
3594,2534,53491,1,1,0
3595,2535,53541,1,1,0
3596,2535,53542,1,1,0
3597,2535,53543,1,1,0
3598,2535,53544,1,1,0
3599,2535,53545,1,1,0
3600,2535,53546,1,1,0
3601,2536,53302,1,1,0
3602,2536,53303,1,1,0
3603,2536,53300,1,1,0
3604,2536,53301,1,1,0
3605,2536,53304,1,1,0
3606,2536,53299,1,1,0
3607,2537,53580,1,1,0
3608,2537,53579,1,1,0
3609,2537,53582,1,1,0
3610,2537,53578,1,1,0
3611,2537,53581,1,1,0
3612,2537,53577,1,1,0
3613,2537,53583,1,1,0
3614,2538,53682,1,1,0
3615,2538,53681,1,1,0
3616,2538,53683,1,1,0
3617,2538,53680,1,1,0
3618,2539,53812,1,1,0
3619,2539,53813,1,1,0
3620,2539,53814,1,1,0
3621,2539,53815,1,1,0
3622,2540,53457,1,1,0
3623,2540,53453,1,1,0
3624,2540,53456,1,1,0
3625,2540,53454,1,1,0
3626,2540,53455,1,1,0
3627,2541,53211,1,1,0
4174,2901,53200,1,1,0
4175,2901,53198,1,1,0
4176,2902,53197,1,1,0
4387,2990,53234,1,1,0
4752,3347,565408,1,1,0
4761,3358,222766,1,1,0
4818,3402,53201,1,1,0
4976,3740,222759,1,1,0
4977,3760,222763,1,1,0
5011,3800,222762,1,1,0
5014,3840,222761,1,1,0
5015,3841,222760,1,1,0
5028,3900,53183,1,1,0
5029,3920,53184,1,1,0
5030,3920,53185,1,1,0
5031,3920,53186,1,1,0
5038,4000,558086,1,1,0
5039,4000,566236,2,1,0
5040,4000,566236,3,1,0
5041,4000,566236,2,1,0
5042,4000,566236,1,1,0
5093,4080,222765,1,1,0
5100,4122,222764,1,1,0
5223,4434,53187,1,1,0
5224,4454,53250,1,1,0
5237,4514,53253,1,1,0
5239,4516,53748,1,1,0
5240,4516,53749,1,1,0
5241,4516,53750,1,1,0
5242,4516,53751,1,1,0
5243,4516,53752,1,1,0
5244,4516,53753,1,1,0
5245,4517,53224,1,1,0
5246,4536,53224,1,1,0
5277,4754,53432,1,1,0
5278,4754,53433,1,1,0
5279,4754,53434,1,1,0
5280,4755,53435,1,1,0
5281,4755,53436,1,1,0
