ID,Offset[0],Offset[1],Offset[2],ObjectEffectGroupID,TriggerType,EventType,EffectRecType,EffectRecID,Attachment,ObjectEffectModifierID
52,10,0,85,34,1,1,1,15285,0,0
228,0,0,0,157,2,0,1,12176,0,0
229,0,0,0,158,2,0,1,13810,0,0
230,0,0,0,159,2,0,1,13812,0,0
231,0,0,0,160,2,0,1,12178,0,0
232,0,0,0,161,2,0,1,12181,0,0
233,0,0,0,162,1,0,1,12177,0,0
234,0,0,0,163,1,0,1,12177,0,0
235,0,0,0,164,2,0,1,12181,0,0
236,0,0,0,165,1,0,1,12175,0,0
237,0,0,0,166,1,0,1,12174,0,0
238,0,0,0,167,2,0,1,12171,0,0
239,0,0,0,168,2,0,1,12171,0,0
240,0,0,0,169,2,0,1,12171,0,0
241,0,0,0,161,1,0,1,12173,0,0
242,0,0,0,164,1,0,1,12173,0,0
243,0,0,0,157,1,0,1,12173,0,0
244,0,0,0,163,2,0,1,12176,0,0
245,0,0,0,162,2,0,1,12178,0,0
246,0,0,0,170,2,0,1,12172,0,0
247,0,0,0,170,1,0,1,12173,0,0
248,0,0,0,171,2,0,1,12172,0,0
250,0,0,0,168,1,0,1,12173,0,0
251,0,0,0,167,1,0,1,12173,0,0
252,0,0,0,165,2,0,1,12194,0,0
253,0,0,0,166,2,0,1,12172,0,0
254,0,0,0,172,1,0,1,12174,0,0
255,0,0,0,172,2,0,1,12171,0,0
256,0,0,0,173,2,0,1,12194,0,0
258,0,0,0,175,1,0,1,13809,0,0
260,0,0,0,176,1,0,1,13807,0,0
265,0,0,0,181,2,0,1,12301,0,0
266,0,0,0,182,2,0,1,12302,0,0
267,0,0,0,183,2,0,1,12303,0,0
268,0,0,0,184,2,0,1,12304,0,0
269,0,0,0,185,2,0,1,12308,0,0
270,0,0,0,186,2,0,1,12315,0,0
271,0,0,0,187,2,0,1,12315,0,0
272,0,0,0,188,2,0,1,12315,0,0
273,0,0,0,189,2,0,1,12304,0,0
274,0,0,0,190,1,0,1,12314,0,0
275,0,0,0,191,1,0,1,12313,0,0
276,0,0,0,192,2,0,1,12315,0,0
277,0,0,0,187,1,0,1,12310,0,0
278,0,0,0,188,1,0,1,12311,0,0
279,0,0,0,193,2,0,1,12315,0,0
280,0,0,0,194,2,0,1,12308,0,0
281,0,0,0,195,2,0,1,12303,0,0
282,0,0,0,196,2,0,1,12308,0,0
283,0,0,0,197,1,0,1,13891,0,0
284,0,0,0,198,1,0,1,13892,0,0
285,0,0,0,199,2,0,1,13894,0,0
286,0,0,0,200,2,0,1,13895,0,0
287,0,0,0,200,1,0,1,14719,0,0
290,0,0,0,158,1,0,1,14719,0,0
291,0,0,0,202,2,0,1,13883,0,0
292,0,0,0,203,1,0,1,13881,0,0
293,0,0,0,204,2,0,1,13885,0,0
294,0,0,0,204,1,0,1,14719,0,0
295,0,0,0,205,1,0,1,13880,0,0
296,0,0,0,206,1,0,1,13884,0,0
303,0,0,0,221,1,0,1,16003,0,0
304,0,0,0,222,1,0,1,12179,0,0
323,0,0,0,241,1,0,1,13882,0,0
324,0,0,0,242,1,0,1,13886,0,0
325,0,0,0,243,2,0,1,13814,0,0
326,0,0,0,244,1,0,1,13815,0,0
327,0,0,0,245,1,0,1,13816,0,0
329,0,0,0,247,2,0,1,13818,0,0
330,0,0,0,246,1,0,1,14720,0,0
331,0,0,0,243,1,0,1,14720,0,0
332,0,0,0,247,1,0,1,14720,0,0
343,0,0,0,261,1,0,1,13893,0,0
344,0,0,0,262,1,0,1,13896,0,0
346,0,0,0,263,1,0,1,13808,0,0
347,0,0,0,264,1,0,1,13813,0,0
348,0,0,0,265,1,0,1,13897,0,0
349,0,0,0,266,1,0,1,13898,0,0
350,0,0,0,267,1,0,1,13899,0,0
351,0,0,0,268,1,0,1,13900,0,0
352,0,0,0,269,2,0,1,13901,0,0
353,0,0,0,270,2,0,1,13902,0,0
354,0,0,0,270,1,0,1,14719,0,0
355,0,0,0,267,2,0,1,13902,0,0
356,0,0,0,266,2,0,1,13902,0,0
384,0,0,0,246,2,0,1,13817,0,0
443,0,0,0,321,2,0,1,12748,0,0
463,0,0,0,341,1,0,1,15378,0,0
464,0,0,0,342,1,0,1,15381,0,0
465,0,0,0,343,2,0,1,15380,0,0
466,0,0,0,344,1,0,1,15382,0,0
467,0,0,0,345,1,0,1,15383,0,0
468,0,0,0,346,2,0,1,15379,0,0
469,0,0,0,346,1,0,1,14719,0,0
523,0,0,0,361,2,0,1,15830,0,0
524,0,0,0,361,1,0,1,14720,0,0
525,0,0,0,362,2,0,1,15831,0,0
526,0,0,0,362,1,0,1,14719,0,0
527,0,0,0,363,1,0,1,15832,0,0
528,0,0,0,364,1,0,1,15833,0,0
529,0,0,0,364,2,0,1,15831,0,0
530,0,0,0,365,2,0,1,15830,0,0
543,0,0,0,381,2,0,1,15277,0,0
563,10,0,85,33,2,0,1,12176,0,121
564,0,0,0,401,1,0,1,15276,0,0
565,0,0,0,402,3,0,1,15275,0,0
566,10,0,85,403,3,0,1,15286,0,0
567,10,0,85,404,2,0,1,15879,0,0
568,10,0,85,403,2,0,1,15287,0,123
569,10,0,85,34,2,0,1,15287,0,124
571,0,0,0,405,1,0,1,10998,0,0
583,0,27,0,421,2,0,1,15902,0,141
