ID,ModelFileID,Flags,Animscale,Pushscale,Size_variation_min,Size_variation_max,Rotation_variation_min,Rotation_variation_max,TerrainColorGradingRampID
1,218809,0,1,1,0.67,1.33,0,360,0
2,218810,0,1,1,0.67,1.33,0,360,0
3,218811,0,1,1,0.67,1.33,0,360,0
4,218812,0,1,1,0.67,1.33,0,360,0
5,218813,0,1,1,0.67,1.33,0,360,0
6,218814,0,1,1,0.67,1.33,0,360,0
7,218815,0,1,1,0.67,1.33,0,360,0
8,218816,0,1,1,0.67,1.33,0,360,0
9,218817,0,1,1,0.67,1.33,0,360,0
10,218818,0,1,1,0.67,1.33,0,360,0
11,218819,0,1,1,0.67,1.33,0,360,0
12,218820,0,0,0,0.67,1.33,0,360,0
13,218821,0,0,0,0.67,1.33,0,360,0
14,218811,0,1,1,0.67,1.33,0,360,0
15,219169,0,1,1,0.67,1.33,0,360,0
16,219168,0,1,1,0.67,1.33,0,360,0
17,219167,0,1,1,0.67,1.33,0,360,0
18,219166,0,1,1,0.67,1.33,0,360,0
19,219164,0,0,0,0.67,1.33,0,360,0
20,219163,0,0,0,0.67,1.33,0,360,0
21,219162,0,0,0,0.67,1.33,0,360,0
22,219161,0,0,0,0.67,1.33,0,360,0
23,219160,0,0,0,0.67,1.33,0,360,0
24,219159,0,1,1,0.67,1.33,0,360,0
25,219158,0,1,1,0.67,1.33,0,360,0
26,219157,0,1,1,0.67,1.33,0,360,0
27,219156,0,1,1,0.67,1.33,0,360,0
28,219155,0,1,1,0.67,1.33,0,360,0
29,219154,0,1,1,0.67,1.33,0,360,0
30,219153,0,1,1,0.67,1.33,0,360,0
31,219152,0,1,1,0.67,1.33,0,360,0
32,218722,0,1,1,0.67,1.33,0,360,0
33,218723,0,1,1,0.67,1.33,0,360,0
34,218721,0,1,1,0.67,1.33,0,360,0
35,218724,0,1,1,0.67,1.33,0,360,0
36,218725,0,1,1,0.67,1.33,0,360,0
37,218726,0,1,1,0.67,1.33,0,360,0
38,218727,0,1,1,0.67,1.33,0,360,0
39,218728,0,1,1,0.67,1.33,0,360,0
40,218994,0,1,1,0.67,1.33,0,360,0
41,219005,0,0,0,0.67,1.33,0,360,0
42,219004,0,0,0,0.67,1.33,0,360,0
43,219002,0,1,1,0.67,1.33,0,360,0
44,219001,0,1,1,0.67,1.33,0,360,0
45,219000,0,1,1,0.67,1.33,0,360,0
46,218999,0,1,1,0.67,1.33,0,360,0
47,218998,0,1,1,0.67,1.33,0,360,0
