ID,Field_12_0_0_64741_000[0],Field_12_0_0_64741_000[1],Field_12_0_0_64741_001[0],Field_12_0_0_64741_001[1],Field_12_0_0_64741_002,DecalPropertiesID,Field_12_0_0_64741_004,Field_12_0_0_64741_005,Field_12_0_0_64741_006,Field_12_0_0_64741_007,Field_12_0_0_64741_008,Field_12_0_0_64741_009,Priority,FadeIn,FadeOut,ArbitraryBoxHeight,Field_12_0_0_64741_014,SpellID
46,0,0,0,0,251075,837,-1,0,0,0,0,0,100,0.3,0.3,50,0,1270188
55,0,0,0,0,252850,837,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1275606
56,0,0,0,0,253048,837,-1,0,0,0,0,0,-1,0.3,0.3,100,0,1276201
57,0,0,0,0,253066,837,-1,0,0,0,0,0,-1,0.3,0.3,25,0,1275613
59,0,0,0,0,253241,838,-1,0,4,0,0,0,-1,0.3,0.3,5,0,0
61,0,0,0,0,253254,838,-1,0,0,0,0,0,200,0.3,0.3,0,0,1276612
67,0,0,0,0,253249,838,-1,0,0,0,0,0,-1,0.3,0.3,100,0,1276619
69,0,0,0,0,252175,827,-1,0,5,0,0,0,-1,0.25,0.5,0,0,0
72,0,0,0,0,256697,741,-1,0,4.5,0,0,0,-1,0.3,0.3,0,0,0
74,0,0,0,0,221448,761,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1253978
79,0,0,0,0,252766,796,-1,0,4,0,0,0,0,0.3,0.3,0,0,0
80,0,0,0,0,252355,775,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1272433
81,0,0,0,0,219326,753,-1,0,4,0,0,0,-1,0.3,0.3,0,0,0
82,0,0,0,0,239571,794,19,0,0,0,0,0,-1,0.3,0.3,0,0,1260835
83,0,0,0,0,218018,739,-1,0,0,0,0,0,-1,0.3,0.3,0,0,472634
95,0,0,0,0,259862,737,-1,0,4,0,0,0,-1,0.3,0.3,0,0,0
96,0,0,0,0,259870,742,-1,0,3,0,0,0,-1,0.3,0.3,0,0,0
100,0,0,0,0,227316,737,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1226031
101,0,0,0,0,239163,796,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1233814
102,0,0,0,0,260071,759,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1216538
103,0,0,0,0,260077,759,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1214663
104,0,0,0,0,260078,760,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1214663
105,0,0,0,0,260080,737,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1261013
106,0,0,0,0,260081,737,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1261013
107,0,0,0,0,254311,753,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1278967
108,0,0,0,0,229640,760,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1231353
111,0,0,0,0,260074,759,-1,0,9,0,0,0,-1,0.3,0.3,0,0,0
119,0,0,0,0,221754,775,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1216454
121,0,0,0,0,252258,778,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1261295
122,0,0,0,0,246998,778,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1261546
123,0,0,0,0,246868,775,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1261295
125,0,0,0,0,51395,737,-1,0,0,0,0,0,-1,0.3,0.3,0,0,242472
126,0,0,0,0,228496,778,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1228126
133,0,0,0,0,261994,745,-1,0,4,0,0,0,-1,0.3,0.3,0,0,0
140,0,0,0,0,259426,795,-1,0,6,0,0,0,-1,0.3,0.3,50,0,0
145,0,0,0,0,219734,737,-1,0,0,0,0,0,-1,0.3,0.3,0,0,474768
148,0,0,0,0,262154,863,-1,0,1,0,0,0,-1,0.25,1,0,0,0
152,0,0,0,0,239280,796,-1,0,6,0,0,0,-1,0.3,0.3,0,0,0
157,0,0,0,0,223057,785,-1,0,0,0,0,0,-1,0.3,0.3,0,0,474457
173,0,0,0,0,245357,793,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1258624
175,0,0,0,0,264077,599,-1,0,6,0,0,0,-1,0.2,1,0,0,0
178,0,0,0,0,254891,795,-1,0,8,0,0,0,-1,0.3,0.3,0,0,0
179,0,0,0,0,196075,791,-1,0,4,0,0,0,-1,0.3,0.3,0,0,0
186,0,0,0,0,171834,792,-1,0,4,0,0,0,-1,0.3,0.3,0,0,0
187,0,0,0,0,164485,792,-1,0,4,0,0,0,-1,0.3,0.3,0,0,0
195,0,0,0,0,196075,791,-1,0,4,0,0,0,-1,0.3,0.3,0,0,0
235,0,0,0,0,217670,778,-1,0,0,0,0,0,-1,0.3,0.3,0,0,472054
236,0,0,0,0,257024,775,-1,0,0,0,0,0,-1,0.3,0.3,0,0,1283357
