ID,SpellID,EquippedItemClass,EquippedItemInvTypes,EquippedItemSubclass
164791,262,2,0,2048
164813,19,2,0,384
164845,199,2,0,32
164846,200,2,0,64
164847,201,2,0,128
164848,202,2,0,256
164868,53,2,0,32768
164887,196,2,0,1
164888,197,2,0,2
164889,198,2,0,16
164890,263,2,0,4096
164906,6089,2,0,524288
164907,6094,2,0,524288
164908,203,2,0,8192
164915,75,2,0,262156
164919,408,2,0,173555
164931,78,2,0,173555
164946,285,2,0,173555
164947,302,2,0,3
164993,59,2,0,4
164994,60,2,0,4
164995,61,2,0,4
165029,781,2,0,173555
165060,772,2,0,173555
165150,72,4,0,64
165164,845,2,0,173555
165208,748,2,0,1024
165209,749,2,0,1024
165214,871,4,0,64
165217,284,2,0,173555
165225,751,2,0,1024
165226,752,2,0,1024
165227,753,2,0,1024
165306,227,2,0,1024
165307,264,2,0,4
165309,266,2,0,8
165331,3034,2,0,262156
165342,1933,2,0,1024
165345,1760,2,0,173555
165365,2567,2,0,65536
165386,1671,4,0,64
165387,1672,4,0,64
165403,1978,2,0,262156
165418,1776,2,0,173555
165421,2110,2,0,1024
165472,1516,2,0,262156
165590,2832,4,1050016,30
165598,2098,2,0,173555
165606,2833,4,1050016,30
165609,1329,2,0,32768
165655,2589,2,0,32768
165656,2590,2,0,32768
165664,2565,4,0,64
165693,1680,2,0,173555
165698,1757,2,0,173555
165699,1758,2,0,173555
165702,2591,2,0,32768
165706,1731,2,0,64
165716,1732,2,0,64
165755,7386,2,0,173555
165857,1708,2,0,290
165858,1709,2,0,290
165880,1536,2,0,4
165909,1180,2,0,32768
165978,1464,2,0,173555
165986,1777,2,0,173555
166026,1663,2,0,3
166027,1664,2,0,3
166028,1665,2,0,3
166038,1608,2,0,173555
166120,1715,2,0,173555
166135,3594,2,0,173555
166136,3595,2,0,173555
166149,3011,2,0,262156
166159,4350,2,0,128
166178,3007,2,0,4
166182,3018,2,0,4
166340,2630,2,0,32768
166346,1759,2,0,173555
166357,2973,2,0,173555
166361,1510,2,0,262156
166362,3043,2,0,262156
166383,3044,2,0,262156
166387,3124,2,0,173555
166400,2974,2,0,173555
166408,3127,2,0,173555
166468,3974,2,0,262156
166473,1752,2,0,173555
166481,2643,2,0,262156
166499,2537,2,0,173555
166512,2627,2,0,32768
166513,2628,2,0,32768
166518,2480,2,0,4
166546,1918,2,0,1024
166562,1920,2,0,1024
166563,1921,2,0,1024
166567,2823,2,0,173555
166696,1943,2,0,173555
166709,2828,2,0,33219
166710,2829,2,0,33219
166711,2830,2,0,33219
166730,2831,4,1050016,30
166738,2629,2,0,32768
166765,2824,2,0,173555
166772,1922,2,0,1024
166817,1980,2,0,8
166842,2070,2,0,173555
166869,2764,2,0,65536
166909,1833,2,0,173555
166927,4351,2,0,128
167032,3386,2,0,131072
167037,4442,2,0,2
167038,4443,2,0,2
167039,4444,2,0,2
167117,4389,2,0,32768
167140,4352,2,0,128
167141,4353,2,0,128
167156,4388,2,0,32768
167212,4354,2,0,128
167237,4355,2,0,128
167259,4356,2,0,128
167411,3112,2,0,9264
167416,3674,2,0,262156
167436,3113,2,0,9264
167437,3114,2,0,9264
167449,3013,2,0,4
167451,3015,2,0,8
167502,3440,2,0,1072
167560,2605,2,0,33155
167595,3231,4,65536,31
167653,2382,2,0,16384
167705,4301,2,0,128
167706,4302,2,0,128
167707,4303,2,0,128
167708,4496,2,0,1024
167718,4494,2,0,1024
167723,4459,2,0,256
167724,4460,2,0,256
167727,4456,2,0,256
167729,4458,2,0,256
167732,4328,2,0,16
167733,4329,2,0,16
167734,4330,2,0,16
167768,4342,2,0,1
167780,4390,2,0,32768
167804,4426,2,0,32
167824,3408,2,0,173555
167828,5308,2,0,173555
167834,4309,2,0,1
167835,4495,2,0,1024
167838,4480,2,0,32
167854,3975,2,0,262156
167855,3976,2,0,262156
167864,5509,2,0,1
167875,4478,2,0,32
167895,4336,2,0,1
167897,4338,2,0,1
167920,4461,2,0,256
167921,4462,2,0,256
167922,4463,2,0,256
167927,4475,2,0,32
167943,4385,2,0,32768
167948,4476,2,0,32
167949,4477,2,0,32
167952,4334,2,0,1
167959,4384,2,0,32768
167967,4386,2,0,32768
167985,4387,2,0,32768
167990,5357,2,0,256
168000,4341,2,0,1
