ID,SpellID,EquippedItemClass,EquippedItemInvTypes,EquippedItemSubclass
164845,199,2,0,32
164846,200,2,0,64
164847,201,2,0,128
164848,202,2,0,256
164868,53,2,0,32768
164887,196,2,0,1
164888,197,2,0,2
164889,198,2,0,16
164908,203,2,0,8192
164915,75,2,0,262156
164919,408,2,0,173555
164931,78,2,0,173555
164946,285,2,0,173555
164993,59,2,0,4
164994,60,2,0,4
164995,61,2,0,4
165060,772,2,0,173555
165150,72,4,0,64
165164,845,2,0,173555
165214,871,4,0,64
165217,284,2,0,173555
165306,227,2,0,1024
165307,264,2,0,4
165309,266,2,0,8
165331,3034,2,0,262156
165345,1760,2,0,173555
165365,2567,2,0,65536
165386,1671,4,0,64
165387,1672,4,0,64
165403,1978,2,0,262156
165418,1776,2,0,173555
165421,2110,2,0,1024
165472,1516,2,0,262156
165590,2832,4,1050016,30
165598,2098,2,0,173555
165606,2833,4,1050016,30
165609,1329,2,0,32768
165655,2589,2,0,32768
165656,2590,2,0,32768
165664,2565,4,0,64
165693,1680,2,0,173555
165698,1757,2,0,173555
165699,1758,2,0,173555
165702,2591,2,0,32768
165755,7386,2,0,173555
165880,1536,2,0,4
165909,1180,2,0,32768
165978,1464,2,0,173555
165986,1777,2,0,173555
166027,1664,2,0,3
166028,1665,2,0,3
166038,1608,2,0,173555
166120,1715,2,0,173555
166135,3594,2,0,173555
166136,3595,2,0,173555
166149,3011,2,0,262156
166178,3007,2,0,4
166182,3018,2,0,262156
166340,2630,2,0,32768
166346,1759,2,0,173555
166357,2973,2,0,173555
166361,1510,2,0,262156
166362,3043,2,0,262156
166383,3044,2,0,262156
166387,3124,2,0,173555
166400,2974,2,0,173555
166408,3127,2,0,173555
166468,3974,2,0,262156
166473,1752,2,0,173555
166481,2643,2,0,262156
166567,2823,2,0,173555
166696,1943,2,0,173555
166709,2828,2,0,33219
166710,2829,2,0,33219
166711,2830,2,0,33219
166730,2831,4,1050016,30
166738,2629,2,0,32768
166765,2824,2,0,173555
166842,2070,2,0,173555
166869,2764,2,0,65536
166909,1833,2,0,173555
167038,4443,2,0,2
167212,4354,2,0,128
167411,3112,2,0,9264
167416,3674,2,0,262156
167436,3113,2,0,9264
167437,3114,2,0,9264
167502,3440,2,0,1072
167560,2605,2,0,33155
167595,3231,4,65536,31
167653,2382,2,0,16384
167824,3408,2,0,173555
167828,5308,2,0,173555
167854,3975,2,0,262156
167855,3976,2,0,262156
168016,4493,2,0,1024
168078,4421,2,0,256
168424,5116,2,0,262156
168603,14516,2,0,173555
168861,5361,2,0,256
168901,5009,2,0,524288
168904,5011,2,0,262144
168933,5019,2,0,524288
169020,5374,2,0,32768
169036,4464,2,0,256
169264,6476,4,65536,31
169313,5761,2,0,173555
169455,5427,2,0,2
169464,6546,2,0,173555
169766,6548,2,0,173555
169791,6770,2,0,173555
169798,6296,2,0,189939
169838,6572,2,0,173555
169840,6547,2,0,173555
169856,6466,2,0,65536
169875,7384,2,0,173555
169942,6979,2,0,262156
169943,6980,2,0,262156
169973,91,2,0,3
169974,7216,4,0,96
169984,6760,2,0,173555
170036,6660,2,0,262156
170118,7578,2,0,32768
170119,7579,2,0,8
170180,6650,2,0,173555
170195,6761,2,0,173555
170196,6762,2,0,173555
170252,6984,2,0,262156
170356,5586,2,0,32768
170368,14517,2,0,173555
170379,7574,2,0,32768
170391,7534,2,0,32768
170395,7569,2,0,4
170409,7570,2,0,4
170414,7793,2,0,1378
170422,7544,2,0,16
170424,7546,2,0,16
170427,7776,4,1048608,31
170435,7745,2,0,1378
170453,7571,2,0,4
170457,7536,2,0,8
170461,7576,2,0,32768
170464,7548,2,0,16
170482,7560,2,0,32
170490,7738,2,0,1048576
170491,7562,2,0,256
170492,7786,2,0,189939
170507,7572,2,0,4
170510,7373,2,0,173555
170512,7788,2,0,189939
170536,107,4,0,96
170540,5938,2,0,173555
170563,7887,2,0,173555
170570,8375,4,1024,30
170571,8682,2,0,262156
170599,7402,2,0,173555
170602,7407,2,0,33219
170636,7525,2,0,128
170644,7573,2,0,32768
170665,7859,4,512,31
170695,8027,2,0,173555
170698,8038,2,0,173555
170701,7535,2,0,4
170731,7540,2,0,1
170748,7558,2,0,32
170750,7732,2,0,1048576
170759,7520,2,0,128
170764,7863,4,256,31
170778,7748,4,1048608,31
170790,7105,2,0,262156
170797,7220,2,0,173555
170798,7420,4,1048608,31
170800,7620,2,0,1048576
170802,8024,2,0,173555
170804,7867,4,256,31
170841,7538,2,0,1
170844,7379,2,0,173555
170870,7731,2,0,1048576
170885,7400,2,0,173555
170904,7428,4,512,31
170906,7771,4,65536,31
170912,7861,4,65536,31
170914,7218,2,0,354
170931,7582,2,0,8
170935,7568,2,0,4
170941,7857,4,1048608,31
170948,7583,2,0,8
170949,7584,2,0,8
170960,8030,2,0,173555
171026,8532,2,0,1048576
171035,8676,2,0,32768
171063,9077,4,0,4
171064,9078,4,0,2
171086,8629,2,0,173555
171088,8242,4,0,96
171117,7580,2,0,8
171118,7581,2,0,8
171129,7523,2,0,128
171160,8232,2,0,173555
171164,7454,4,65536,31
171166,7457,4,512,31
171179,8235,2,0,173555
171197,8737,4,0,8
171222,8639,2,0,173555
171223,8623,2,0,173555
171241,7566,2,0,256
171249,8033,2,0,173555
171302,8640,2,0,173555
171329,7779,4,512,31
171350,7766,4,512,31
171364,7369,2,0,173555
171382,7426,4,1048608,31
171391,6574,2,0,173555
171397,7418,4,512,31
171399,7549,2,0,2
171415,8380,2,0,173555
171426,7554,2,0,2
171428,7556,2,0,32
171443,8087,2,0,1048576
171456,8688,2,0,173555
171459,8643,2,0,173555
171462,8647,2,0,173555
171495,8679,2,0,173555
171504,7372,2,0,173555
171528,7532,2,0,16
171530,7782,4,512,31
171558,8686,2,0,173555
171610,7552,2,0,2
171625,7527,2,0,128
171627,14518,2,0,173555
171640,7533,2,0,32
171641,7564,2,0,256
171659,7405,2,0,173555
171667,8725,2,0,32768
171779,8088,2,0,1048576
171783,9781,4,0,96
171801,7550,2,0,2
171929,7529,2,0,256
171961,8649,2,0,173555
172004,8627,2,0,173555
172085,8820,2,0,173555
172093,7443,4,1048608,31
172105,8621,2,0,173555
172109,9092,2,0,1048576
172111,9903,2,0,9264
172142,8997,2,0,262156
172171,8995,2,0,262156
172172,8996,2,0,262156
172183,8650,2,0,173555
172201,8624,2,0,173555
172233,9783,4,256,0
172270,8089,2,0,1048576
172275,8724,2,0,32768
172322,8090,2,0,1048576
172373,9900,2,0,33219
172410,11273,2,0,173555
172417,11275,2,0,173555
172432,9132,2,0,327692
172486,11274,2,0,173555
172571,694,2,0,173555
172658,9008,2,0,262156
172706,9080,2,0,173555
172708,9125,4,0,1
172739,10344,4,1050016,30
172746,8721,2,0,32768
172924,10456,2,0,173555
172994,11356,2,0,173555
173012,11977,2,0,173555
173027,11604,2,0,173555
173105,11605,2,0,173555
173139,11596,2,0,173555
173181,9116,4,0,64
173189,11198,2,0,173555
173223,12551,2,0,262156
173241,11585,2,0,173555
173255,11597,2,0,173555
173264,12281,2,0,384
173281,11567,2,0,173555
173284,11279,2,0,32768
173302,11280,2,0,32768
173358,10486,2,0,173555
173439,11976,2,0,173555
173467,11300,2,0,173555
173513,11608,2,0,173555
173570,10277,2,0,65536
173643,11299,2,0,173555
173655,12284,2,0,48
173659,12054,2,0,173555
173679,12701,2,0,48
173687,12294,2,0,173555
173708,11565,2,0,173555
173710,12540,2,0,173555
173718,29467,4,8,30
173725,11566,2,0,173555
173750,11971,2,0,173555
173753,12322,2,0,173555
173774,11972,4,0,64
173791,12703,2,0,48
173792,12781,2,0,67
173797,12849,2,0,173555
173878,12057,2,0,173555
173886,15496,2,0,173555
173890,11564,2,0,173555
173897,12852,2,0,173555
173930,11600,2,0,173555
173933,12163,2,0,354
173973,11573,2,0,173555
173974,11574,2,0,173555
173983,11601,2,0,173555
174022,11397,2,0,262156
174045,11294,2,0,173555
174063,11572,2,0,173555
174090,11584,2,0,173555
174105,12320,2,0,173555
174122,11609,2,0,173555
174128,12785,2,0,67
174146,12812,2,0,384
174153,11340,2,0,173555
174165,11268,2,0,32768
174166,12700,2,0,67
174182,11355,2,0,173555
174192,11197,2,0,173555
174200,11293,2,0,173555
174209,12460,2,0,262156
174244,12169,4,0,96
174245,12170,2,0,173555
174254,12783,2,0,67
174271,12784,2,0,67
174280,11269,2,0,32768
174325,13631,4,0,64
174332,13553,2,0,262156
174334,12815,2,0,384
174344,13695,2,0,1378
174347,13522,4,65536,31
174377,13225,2,0,173555
174387,13529,2,0,1378
174389,13935,4,256,30
174391,13887,4,1024,31
174394,12198,2,0,262156
174399,12809,2,0,173555
174403,13646,4,512,30
174408,13620,4,1024,31
174412,13226,2,0,173555
174414,13622,4,512,31
174426,13648,4,512,30
174446,13804,2,0,40960
174457,11281,2,0,32768
174491,11998,2,0,173555
174496,13890,4,256,30
174500,11267,2,0,32768
174501,13905,4,0,64
174508,12813,2,0,384
174509,12814,2,0,384
174528,13501,4,512,31
174531,12459,2,0,262156
174537,14524,2,0,524288
174543,14290,2,0,262156
174545,14527,2,0,524288
174548,13380,2,0,1378
174549,12834,2,0,173555
174551,13503,2,0,189939
174576,13939,4,512,30
174591,13805,2,0,40960
174592,13806,2,0,40960
174593,13807,2,0,40960
174612,14261,2,0,173555
174618,13378,4,0,64
174650,14824,2,0,8
174667,11286,2,0,173555
174676,11285,2,0,173555
174700,12702,2,0,48
174705,15284,2,0,173555
174713,13002,2,0,173555
174714,11297,2,0,173555
174733,13227,2,0,173555
174753,12704,2,0,48
174769,13555,2,0,262156
174798,11338,2,0,173555
174812,15691,2,0,173555
174813,13612,4,1024,31
174833,13635,4,65536,30
174836,12856,2,0,173555
174854,13552,2,0,262156
174857,12999,2,0,173555
174866,12711,2,0,354
174888,13001,2,0,173555
174912,12853,2,0,173555
174924,11339,2,0,173555
174929,13000,2,0,173555
174939,14284,2,0,262156
174977,13841,4,1024,31
174978,13815,4,1024,31
174983,13607,4,1048608,31
174984,13941,4,1048608,31
174989,13419,4,65536,30
174993,13803,2,0,16
174998,13626,4,1048608,31
175000,14285,2,0,262156
175003,13961,2,0,129
175004,13817,4,0,64
175008,13485,4,0,64
175017,14278,2,0,173555
175025,13464,4,0,64
175029,13421,4,65536,0
175031,13843,2,0,368797
175033,13947,4,1024,31
175035,13706,2,0,40960
175036,13960,2,0,129
175038,14286,2,0,262156
175039,13661,4,512,30
175099,13802,2,0,16
175107,13822,4,512,30
175117,14287,2,0,262156
175118,14288,2,0,262156
175119,14289,2,0,262156
175120,13964,2,0,129
175122,15667,2,0,173555
175132,13800,2,0,16
175137,13898,2,0,189939
175142,13794,4,65536,30
175146,13801,2,0,16
175156,13663,4,1048608,30
175160,13836,4,256,30
175171,13962,2,0,129
175172,13933,4,0,64
175191,14895,2,0,173555
175193,13700,4,1048608,31
175211,13687,4,256,30
175215,14260,2,0,173555
175218,13953,2,0,173555
175242,14281,2,0,262156
175247,13536,4,512,31
175255,13917,4,1048608,31
175259,12712,2,0,354
175266,13832,2,0,368797
175274,13943,2,0,189939
175283,13538,4,1048608,31
175293,13931,4,512,30
175297,13945,4,512,30
175306,13637,4,256,31
175323,13709,2,0,16
175328,14525,2,0,524288
175329,14526,2,0,524288
175330,14528,2,0,524288
175333,14121,2,0,128
175354,14294,2,0,262156
175357,13844,2,0,368797
175360,13219,2,0,173555
175369,13500,2,0,1
175391,13737,2,0,173555
175404,13640,4,1048608,30
175408,12867,2,0,173555
175432,13705,2,0,368797
175444,13398,2,0,65536
175453,13693,2,0,189939
175462,13689,4,0,64
175469,13554,2,0,262156
175474,13642,4,512,30
175492,13915,2,0,189939
175496,12855,2,0,173555
175500,15655,4,0,96
175523,14264,2,0,173555
175524,14265,2,0,173555
175525,14266,2,0,173555
175527,13846,4,512,30
175541,13551,2,0,262156
175542,13617,4,1024,31
175552,13937,2,0,1378
175557,13549,2,0,262156
175558,13550,2,0,262156
175562,14262,2,0,173555
175563,14263,2,0,173555
175564,13644,4,256,30
175587,15062,4,0,64
175593,14817,2,0,2
175665,15402,4,130,31
175713,15397,4,130,31
175722,750,4,0,16
175723,15919,2,0,2
175725,15921,2,0,2
175818,15580,2,0,173555
175822,14825,2,0,8
175823,14826,2,0,8
175824,14827,2,0,8
175825,14828,2,0,8
175850,13882,4,65536,30
175858,15400,4,130,31
175860,15572,2,0,173555
175889,14048,2,0,1
175911,14282,2,0,262156
175922,13845,2,0,368797
175934,13746,4,65536,30
175987,13653,2,0,189939
175989,13655,2,0,189939
176017,14874,2,0,173555
176037,14283,2,0,262156
176042,14902,2,0,173555
176060,13858,4,1048608,31
176082,14051,2,0,32768
176096,14829,2,0,8
176127,13963,2,0,129
176137,15394,4,130,31
176182,14124,2,0,32
176192,15761,2,0,16
176193,15770,2,0,256
176220,13948,4,1024,31
176237,15708,2,0,173555
176243,15884,2,0,1
176244,15885,2,0,1
176260,15758,2,0,1
176262,15928,2,0,32
176263,15929,2,0,32
176264,15890,2,0,16
176265,15891,2,0,16
176269,15940,2,0,256
176271,15950,2,0,32768
176272,15951,2,0,32768
176280,15905,2,0,128
176282,15907,2,0,2
176284,15340,4,130,31
176287,21008,2,0,173555
176294,16538,2,0,41105
176297,13868,4,1024,31
176298,13657,4,65536,30
176313,15463,4,128,30
176314,13659,4,0,64
176326,15694,2,0,16
176334,15768,2,0,2
176338,13698,4,1024,31
176343,15717,2,0,32768
176344,15930,2,0,32
176345,15931,2,0,32
176348,15776,2,0,32768
176349,15769,2,0,256
176352,15777,2,0,32768
176354,15953,2,0,32768
176361,15760,2,0,16
176370,15954,2,0,32768
176375,14903,2,0,173555
176381,15771,2,0,256
176388,16539,2,0,41105
176389,15949,2,0,32768
176390,15955,2,0,32768
176406,15944,2,0,256
176407,15945,2,0,256
176408,15946,2,0,256
176409,15947,2,0,4
176422,15772,2,0,256
176423,15773,2,0,32
176442,15439,4,128,30
176447,16001,2,0,65536
176458,14443,2,0,262156
176461,15926,2,0,32
176473,14295,2,0,262156
176480,15948,2,0,32768
176493,17171,2,0,262156
176498,15391,4,130,31
176510,15916,2,0,2
176512,15917,2,0,2
176514,15897,2,0,128
176518,15889,2,0,16
176521,15904,2,0,128
176528,15444,4,128,30
176540,16540,2,0,41105
176552,15590,2,0,8192
