ID,Expression
44,01023F0000000003023E0000000000
61,0103010000000132000000014B000000000000
63,01023F0000000101010000000000
67,01023F0000000005023E0000000000
82,01023F0000000005023E00000000010229000000000301020000000000
102,01023F0000000005023E0000000001025100000000010100000000000102B61200000001010000000000
103,010229000000000401000000000000
104,010229000000000101010000000000
105,010229000000000601020000000000
125,0102650000000001010100000000020269010000000101010000000000
141,010279000000000101010000000000
161,01028D0000000101010000000000
162,01028D000000000102920000000000
163,0102910000000101010000000000
167,01028E000000000102920000000000
168,01028E0000000101010000000000
169,01028F000000000102920000000000
170,01028F0000000101010000000000
172,010290000000000102920000000000
173,0102900000000101010000000000
181,010298000000000101010000000000
221,0102B6000000000101010000000000
222,0102B5000000000101010000000000
223,0102B5000000000101020000000000
224,0102B5000000000101030000000000
225,0102B5000000000101040000000000
226,0102B5000000000101050000000000
227,0102B5000000000101060000000000
244,0102960000000001010100000000020297000000000101010000000000
261,0102C900000000010100000000000202CA00000000010100000000000202CB0000000001010000000000
263,010291000000000302950000000000
269,0102960000000001010000000000010297000000000101000000000000
281,01030100000001010000000106000000000000
283,0102DD000000000101010000000000
284,0102DD000000000101020000000000
285,0102DD000000000101030000000000
286,0102DD000000000101040000000000
287,0102DD000000000101050000000000
288,0102DD000000000101060000000000
303,0102F1000000000101000000000000
304,0102F20000000101010000000000
306,0102F2000000000302F30000000000
307,0102F4000000000101010000000000
309,0102F1000000000101010000000000
321,010205010000000101010000000000
361,010219010000000101000000000000
362,01021A0100000003021B0100000000
364,01021A0100000101010000000000
382,01022D010000000101000000000000
385,01022E010000000101010000000000
386,01022E010000000101000000000000
391,01022E010000000401010000000000
392,01022E010000000601020000000000
393,01022E010000000101020000000000
394,01022E010000000101030000000000
401,0102190100000001010000000000020219010000000501020000000000
421,010219010000000301030000000000
441,010255010000000101000000000000
442,0102550100000001010100000000010257010000000302560100000000
443,010255010000000101020000000000
444,010255010000000101030000000000
446,0102570100000101010000000000
462,0103060000000000000000
463,01027D0100000201010000000000
464,01027D010000000501000000000000
481,010291010000000101010000000000
484,010291010000000101020000000000
486,0102A5010000000101010000000000
501,0102B9010000000101000000000000
502,0102B90100000201010000000000
504,0102B90100000101010000000000
521,0102CD010000000602CE0100000000
522,0102CD0100000101010000000000
529,0102CD010000000102CE0100000000
541,0102E1010000000302E20100000000
542,0102E1010000000602E30100000000
543,0102E1010000000602E40100000000
545,0102E10100000101010000000000
547,0102E10100000202E50100000000
548,0102E2010000000000
549,0102E101000000060100000000000102E1010000000401090000000000
550,0102E10100000006010A000000000102E1010000000401130000000000
551,0102E101000000060114000000000102E10100000004011D0000000000
552,0102E10100000006011E0000000000
581,0102F5010000000501000000000000
601,01020C020000000101010000000000
602,010209020000000101010000000000
603,01020A020000000101010000000000
604,01020B020000000101010000000000
605,010209020000000101010000000002020A020000000101010000000000
606,01020B020000000101010000000002020C020000000101010000000000
621,01021F0200000101010000000000
622,01021F0200000201010000000000
623,01021F0200000001021D0200000000
624,01021F0200000001021E0200000000
641,010231020000000101000000000000
642,010231020000000101020000000000
646,010232020000000501000000000000
650,01021F020000000102360200000000
651,01021F020000000102370200000000
652,01021F020000000102380200000000
653,010232020000000101000000000000
654,010231020000000201020000000000
656,01021F0200000001021E0200000000
661,010245020000000501000000000000
662,0102450200000006010300000000010245020000000401050000000000
663,01024502000000060108000000000102450200000004010A0000000000
664,010245020000000501000000000000
665,010245020000000501000000000000
666,0102450200000006010200000000010245020000000401040000000000
667,0102450200000006010200000000010245020000000401050000000000
668,01024502000000060106000000000102450200000004010A0000000000
669,0102450200000006010600000000010245020000000401070000000000
670,01024502000000060109000000000102450200000004010C0000000000
671,0102450200000006010B000000000102450200000004010C0000000000
681,0102450200000101010000000000
683,0102450200000201010000000000
685,010245020000000301010000000000
686,010245020000000301010000000000
693,0102450200000003010100000000020245020000000501050000000000
699,010245020000000601070000000000
700,0102450200000001010B0000000000
703,0102450200000006010100000000010245020000000401050000000000
721,01025A020000000501000000000000
722,010259020000000501000000000000
724,01025A0200000003010000000000020259020000000301000000000000
725,01025A020000000101000000000000
726,010259020000000101000000000000
727,01025A0200000001010000000000010259020000000101000000000000
743,01025A020000000301000000000000
744,010259020000000301000000000000
745,01026D020000000101000000000000
802,0102450200000001010C0000000000
822,010245020000000501050000000000
841,010281020000000301100000000000
842,0102810200000101010000000000
843,0102810200000201010000000000
861,0102950200000101010000000000
862,0102950200000201010000000000
863,010295020000000501000000000000
864,010295020000000101000000000000
881,0102A3050000000101000000000000
901,0102BD0200000101010000000000
904,0102BD020000000301080000000000
905,0102BD020000000101080000000000
921,0102D10200000101010000000000
922,0102D1020000000301020000000000
941,0102E5020000000101000000000000
981,0102F9020000000101010000000000
983,0102FA020000000101010000000000
1001,0102F2000000000502F300000004010200000001020D030000000101000000000000
1041,010221030000000101010000000000
1042,010221030000000101000000000000
1043,010221030000000101020000000000
1049,0102220300000101010000000000
