Name_lang,Field_12_0_0_63534_001[0],Field_12_0_0_63534_001[1],Field_12_0_0_63534_001[2],ID,Size,ParentComponentID,ModelFileDataID,Flags,Field_12_0_0_63534_007,Type,Field_12_0_0_63534_009,GameObjectID,Field_11_2_7_64044_011,HouseExteriorWmoDataID
[DNT] rt_hook01,0,0,0,129,1,0,0,0,1,13,1,0,0,9
Stucco,0,0,0,141,2,0,6648736,3,1,9,1,0,0,9
Stonework,0,0,0,142,2,0,6648737,2,1,9,1,0,0,9
Stucco,0,0,0,144,3,0,6648733,3,1,9,1,0,0,9
Cottage,0,0,0,145,3,0,6648734,2,1,9,1,0,0,9
Stucco,0,0,0,147,4,0,6648730,3,1,9,1,0,0,9
Cottage,0,0,0,148,4,0,6648731,2,1,9,1,0,0,9
Embellished Roof,0,0,0,568,4,0,6892531,2,4,10,1,0,36,55
Woodland Roof,0,0,0,569,4,0,6892530,3,4,10,1,0,36,55
Stone,0,0,0,570,3,0,6892517,2,4,9,1,0,0,55
Embellished,0,0,0,571,3,0,6892516,2,4,9,1,0,0,55
Woodland Roof,0,0,0,572,3,0,6892524,3,4,10,1,0,36,55
Embellished Roof,0,0,0,573,3,0,6892525,2,4,10,1,0,36,55
Woodland,0,0,0,574,3,0,6892497,3,4,9,1,0,0,55
Rustic Roof,0,0,0,575,3,0,6892526,2,4,10,1,0,36,55
Rustic Roof,0,0,0,576,4,0,6892532,2,4,10,1,0,36,55
Stone,0,0,0,577,4,0,6892523,2,4,9,1,0,0,55
Woodland,0,0,0,578,4,0,6892521,3,4,9,1,0,0,55
Rustic Roof,0,0,0,579,2,0,6892529,2,4,10,1,0,36,55
Stone,0,0,0,580,2,0,6892520,2,4,9,1,0,0,55
Embellished,0,0,0,581,2,0,6892519,2,4,9,1,0,0,55
Woodland Roof,0,0,0,582,2,0,6892527,3,4,10,1,0,36,55
Woodland,0,0,0,583,2,0,6892518,3,4,9,1,0,0,55
Embellished Roof,0,0,0,584,2,0,6892528,2,4,10,1,0,36,55
Embellished,0,0,0,585,4,0,6892522,2,4,9,1,0,0,55
Embellished Chimney - Violet,0,0,0,586,1,0,6892547,2,4,16,1,0,36,55
Tall Relic Chimney - Violet,0,0,0,587,1,0,6892545,2,4,16,1,0,36,55
Woodland Chimney - Violet,0,0,0,588,1,0,6892544,2,4,16,1,0,36,55
Woodland Window,0,0,0,589,1,0,6892536,2,4,12,1,0,0,55
Woodland Entryway - Violet,5.2331,0.0432,1.6591,590,1,0,6892533,3,4,11,1,613904,36,55
Woodland Tower - Violet,0,0,0,591,1,0,6892550,2,4,15,1,0,36,55
Embellished Tower - Violet,0,0,0,592,1,0,6892551,2,4,15,1,0,36,55
Rustic Tower - Violet,0,0,0,593,1,0,6892553,2,4,15,1,0,36,55
Stone Tower - Violet,0,0,0,594,1,0,6892552,2,4,15,1,0,36,55
Embellished Stone Tower - Violet,0,0,0,595,1,0,6892554,2,4,15,1,0,36,55
Rustic Entryway - Violet,2.9381,0.0423,1.6541,596,1,0,6892535,2,4,11,1,613906,36,55
Embellished Entryway - Violet,2.8441,0.0423,1.6625,597,1,0,6892534,2,4,11,1,613905,36,55
Rustic Chimney - Violet,0,0,0,598,1,0,6892546,2,4,16,1,0,36,55
Relic Chimney - Violet,0,0,0,599,1,0,6892548,2,4,16,1,0,36,55
Relic Window,0,0,0,600,1,0,6892537,2,4,12,1,0,0,55
Relic Dormer,0,0,0,601,1,0,6892542,2,4,14,1,0,0,55
Woodland Dormer - Violet,0,0,0,602,1,0,6892541,2,4,14,1,0,36,55
Embellished Dormer - Violet,0,0,0,603,1,0,6892543,2,4,14,1,0,36,55
Arched Window,0,0,0,604,1,0,6892538,2,4,12,1,0,0,55
Lattice Window,0,0,0,605,1,0,6892539,2,4,12,1,0,0,55
Embellished Window,0,0,0,606,1,0,6892540,2,4,12,1,0,0,55
Tiered Spire - Crimson,0,0,0,607,1,0,6892591,2,5,15,1,0,37,56
Elegant Spire - Crimson,0,0,0,608,1,0,6892589,2,5,15,1,0,37,56
Extravagant Chimney,0,0,0,609,1,0,6892587,2,5,16,1,0,37,56
Bell Chimney,0,0,0,610,1,0,6892586,2,5,16,1,0,37,56
Sturdy Winged Chimney,0,0,0,611,1,0,6892588,2,5,16,1,0,37,56
Regal Chimney,0,0,0,612,1,0,6892584,2,5,16,1,0,37,56
Winged Chimney,0,0,0,613,1,0,6892585,2,5,16,1,0,37,56
Domed Dormer - Crimson,0,0,0,614,1,0,6892581,2,5,14,1,0,37,56
Regal Dormer - Crimson,0,0,0,615,1,0,6892583,2,5,14,1,0,37,56
Regal Window - Crimson,0,0,0,616,1,0,6892579,2,5,12,1,0,37,56
Domed Window - Crimson,0,0,0,617,1,0,6892580,2,5,12,1,0,37,56
Simple Entryway,16.8511,0,1.427,618,1,0,6892573,3,5,11,1,613907,37,56
Grand Entryway - Crimson,16.7481,0.0001,1.427,619,1,0,6892575,2,5,11,1,613909,37,56
Elegant Entryway - Crimson,16.8511,0,1.427,620,1,0,6892574,2,5,11,1,613908,37,56
Domed Roof,0,0,0,621,2,0,6892567,3,5,10,1,0,0,56
Engraved,0,0,0,622,2,0,6892558,3,5,9,1,0,0,56
Faceted Roof,0,0,0,623,4,0,6892571,2,5,10,1,0,0,56
Craftsman,0,0,0,624,4,0,6892563,2,5,9,1,0,0,56
Arches,0,0,0,625,4,0,6892562,2,5,9,1,0,0,56
Tiered Roof,0,0,0,626,4,0,6892572,2,5,10,1,0,0,56
Tiered Roof,0,0,0,627,3,0,6892566,2,5,10,1,0,0,56
Domed Roof,0,0,0,628,3,0,6892564,3,5,10,1,0,0,56
Faceted Roof,0,0,0,629,2,0,6892568,2,5,10,1,0,0,56
Craftsman,0,0,0,630,3,0,6892557,2,5,9,1,0,0,56
Arches,0,0,0,631,2,0,6892559,2,5,9,1,0,0,56
Engraved,0,0,0,632,3,0,6892555,3,5,9,1,0,0,56
Engraved,0,0,0,633,4,0,6892561,3,5,9,1,0,0,56
Domed Roof,0,0,0,634,4,0,6892570,3,5,10,1,0,0,56
Arches,0,0,0,635,3,0,6892556,2,5,9,1,0,0,56
Faceted Roof,0,0,0,636,3,0,6892565,2,5,10,1,0,0,56
Craftsman,0,0,0,637,2,0,6892560,2,5,9,1,0,0,56
Filigree Window,0,0,0,638,1,0,6892576,2,5,12,1,0,0,56
Planter Window,0,0,0,639,1,0,6892577,2,5,12,1,0,0,56
Winged Window,0,0,0,640,1,0,6892578,2,5,12,1,0,0,56
Elegant Dormer - Crimson,0,0,0,641,1,0,6892582,2,5,14,1,0,37,56
Simple Spire - Crimson,0,0,0,642,1,0,6892498,2,5,15,1,0,37,56
Faceted Spire - Crimson,0,0,0,643,1,0,6892592,2,5,15,1,0,37,56
Sturdy Spire - Crimson,0,0,0,644,1,0,6892590,2,5,15,1,0,37,56
Tiered Roof,0,0,0,645,2,0,6892569,2,5,10,1,0,0,56
Covered Entry,-3.7703,0.1048,1.383,975,1,0,7118913,2,2,11,1,602706,37,87
Drawbridge Entry,-4.4534,0.3277,2.4228,976,1,0,7118912,3,2,11,1,602705,37,87
Scrap Metal Entry,-2.9469,0.4999,2.1383,977,1,0,7118914,2,2,11,1,602707,37,87
Arched Window,0,0,0,978,1,0,7118916,2,2,12,1,0,0,87
