Name_lang,Field_12_0_0_63534_001[0],Field_12_0_0_63534_001[1],Field_12_0_0_63534_001[2],ID,Size,ParentComponentID,ModelFileDataID,Field_12_0_0_63534_006,Field_12_0_0_63534_007,Type,Field_12_0_0_63534_009,GameObjectID,Field_11_2_7_64044_011,HouseExteriorWmoDataID
[DNT] rt_hook01,0,0,0,129,1,0,0,0,1,13,1,0,0,9
Stucco,0,0,0,141,2,0,6648736,3,1,9,1,0,0,9
Stonework,0,0,0,142,2,0,6648737,2,1,9,1,0,0,9
Stucco,0,0,0,144,3,0,6648733,3,1,9,1,0,0,9
Cottage,0,0,0,145,3,0,6648734,2,1,9,1,0,0,9
Stucco,0,0,0,147,4,0,6648730,3,1,9,1,0,0,9
Cottage,0,0,0,148,4,0,6648731,2,1,9,1,0,0,9
[DNT] Roof 2,0,0,0,568,4,0,6892531,0,4,10,1,0,36,55
[DNT] Tower Large,0,0,0,569,4,0,6892530,1,4,10,1,0,36,55
[DNT] Base 3,0,0,0,570,3,0,6892517,0,4,9,1,0,0,55
[DNT] Base 2,0,0,0,571,3,0,6892516,0,4,9,1,0,0,55
[DNT] Roof 1,0,0,0,572,3,0,6892524,1,4,10,1,0,36,55
[DNT] Roof 2,0,0,0,573,3,0,6892525,0,4,10,1,0,36,55
[DNT] Base 1,0,0,0,574,3,0,6892497,1,4,9,1,0,0,55
[DNT] Roof 3,0,0,0,575,3,0,6892526,0,4,10,1,0,36,55
[DNT] Roof 3,0,0,0,576,4,0,6892532,0,4,10,1,0,36,55
[DNT] Base 3,0,0,0,577,4,0,6892523,0,4,9,1,0,0,55
[DNT] Base 1,0,0,0,578,4,0,6892521,1,4,9,1,0,0,55
[DNT] Roof 3,0,0,0,579,2,0,6892529,0,4,10,1,0,36,55
[DNT] Base 3,0,0,0,580,2,0,6892520,0,4,9,1,0,0,55
[DNT] Base 2,0,0,0,581,2,0,6892519,0,4,9,1,0,0,55
[DNT] Roof 1,0,0,0,582,2,0,6892527,1,4,10,1,0,36,55
[DNT] Base 1,0,0,0,583,2,0,6892518,1,4,9,1,0,0,55
[DNT] Roof 2,0,0,0,584,2,0,6892528,0,4,10,1,0,36,55
[DNT] Base 2,0,0,0,585,4,0,6892522,0,4,9,1,0,0,55
[DNT] Chimney 4,0,0,0,586,1,0,6892547,0,4,16,1,0,36,55
[DNT] Chimney 2,0,0,0,587,1,0,6892545,0,4,16,1,0,36,55
[DNT] Chimney 1,0,0,0,588,1,0,6892544,0,4,16,1,0,36,55
[DNT] Window 1,0,0,0,589,1,0,6892536,0,4,12,1,0,0,55
[DNT] Door 1,5.2331,0.0432,1.6591,590,1,0,6892533,1,4,11,1,613904,36,55
[DNT] Tower 1,0,0,0,591,1,0,6892550,0,4,15,1,0,36,55
[DNT] Tower 2,0,0,0,592,1,0,6892551,0,4,15,1,0,36,55
[DNT] Tower 4,0,0,0,593,1,0,6892553,0,4,15,1,0,36,55
[DNT] Tower 3,0,0,0,594,1,0,6892552,0,4,15,1,0,36,55
[DNT] Tower 5,0,0,0,595,1,0,6892554,0,4,15,1,0,36,55
[DNT] Door 3,2.9381,0.0423,1.6541,596,1,0,6892535,0,4,11,1,613906,36,55
[DNT] Door 2,2.8441,0.0423,1.6625,597,1,0,6892534,0,4,11,1,613905,36,55
[DNT] Chimney 3,0,0,0,598,1,0,6892546,0,4,16,1,0,36,55
[DNT] Chimney 5,0,0,0,599,1,0,6892548,0,4,16,1,0,36,55
[DNT] Window 2,0,0,0,600,1,0,6892537,0,4,12,1,0,0,55
[DNT] RoofWindow 2,0,0,0,601,1,0,6892542,0,4,14,1,0,0,55
[DNT] RoofWindow 1,0,0,0,602,1,0,6892541,0,4,14,1,0,36,55
[DNT] RoofWindow 3,0,0,0,603,1,0,6892543,0,4,14,1,0,36,55
[DNT] Window 3,0,0,0,604,1,0,6892538,0,4,12,1,0,0,55
[DNT] Window 4,0,0,0,605,1,0,6892539,0,4,12,1,0,0,55
[DNT] Window 5,0,0,0,606,1,0,6892540,0,4,12,1,0,0,55
[DNT] Tower 3,0,0,0,607,1,0,6892591,0,5,15,1,0,37,56
[DNT] Tower 1,0,0,0,608,1,0,6892589,0,5,15,1,0,37,56
[DNT] Chimney 4,0,0,0,609,1,0,6892587,0,5,16,1,0,37,56
[DNT] Chimney 3,0,0,0,610,1,0,6892586,0,5,16,1,0,37,56
[DNT] Chimney 5,0,0,0,611,1,0,6892588,0,5,16,1,0,37,56
[DNT] Chimney 1,0,0,0,612,1,0,6892584,0,5,16,1,0,37,56
[DNT] Chimney 2,0,0,0,613,1,0,6892585,0,5,16,1,0,37,56
[DNT] RoofWindow 1,0,0,0,614,1,0,6892581,0,5,14,1,0,37,56
[DNT] RoofWindow 3,0,0,0,615,1,0,6892583,0,5,14,1,0,37,56
[DNT] Window 4,0,0,0,616,1,0,6892579,0,5,12,1,0,37,56
[DNT] Window 5,0,0,0,617,1,0,6892580,0,5,12,1,0,37,56
[DNT] Door 1,16.8511,0,1.427,618,1,0,6892573,1,5,11,1,613907,37,56
[DNT] Door 3,16.7481,0.0001,1.427,619,1,0,6892575,0,5,11,1,613909,37,56
[DNT] Door 2,16.8511,0,1.427,620,1,0,6892574,0,5,11,1,613908,37,56
[DNT] Roof 1,0,0,0,621,2,0,6892567,1,5,10,1,0,0,56
[DNT] Base 1,0,0,0,622,2,0,6892558,1,5,9,1,0,0,56
[DNT] Roof 2,0,0,0,623,4,0,6892571,0,5,10,1,0,0,56
[DNT] Base 3,0,0,0,624,4,0,6892563,0,5,9,1,0,0,56
[DNT] Base 2,0,0,0,625,4,0,6892562,0,5,9,1,0,0,56
[DNT] Roof 3,0,0,0,626,4,0,6892572,0,5,10,1,0,0,56
[DNT] Roof 3,0,0,0,627,3,0,6892566,0,5,10,1,0,0,56
[DNT] Roof 1,0,0,0,628,3,0,6892564,1,5,10,1,0,0,56
[DNT] Roof 2,0,0,0,629,2,0,6892568,0,5,10,1,0,0,56
[DNT] Base 3,0,0,0,630,3,0,6892557,0,5,9,1,0,0,56
[DNT] Base 2,0,0,0,631,2,0,6892559,0,5,9,1,0,0,56
[DNT] Base 1,0,0,0,632,3,0,6892555,1,5,9,1,0,0,56
[DNT] Base 1,0,0,0,633,4,0,6892561,1,5,9,1,0,0,56
[DNT] Roof 1,0,0,0,634,4,0,6892570,1,5,10,1,0,0,56
[DNT] Base 2,0,0,0,635,3,0,6892556,0,5,9,1,0,0,56
[DNT] Roof 2,0,0,0,636,3,0,6892565,0,5,10,1,0,0,56
[DNT] Base 3,0,0,0,637,2,0,6892560,0,5,9,1,0,0,56
[DNT] Window 1,0,0,0,638,1,0,6892576,0,5,12,1,0,0,56
[DNT] Window 2,0,0,0,639,1,0,6892577,0,5,12,1,0,0,56
[DNT] Window 3,0,0,0,640,1,0,6892578,0,5,12,1,0,0,56
[DNT] RoofWindow 2,0,0,0,641,1,0,6892582,0,5,14,1,0,37,56
[DNT] Tower 5,0,0,0,642,1,0,6892498,0,5,15,1,0,37,56
[DNT] Tower 4,0,0,0,643,1,0,6892592,0,5,15,1,0,37,56
[DNT] Tower 2,0,0,0,644,1,0,6892590,0,5,15,1,0,37,56
[DNT] Roof 3,0,0,0,645,2,0,6892569,0,5,10,1,0,0,56
