ID,ChrModelTextureTargetID,MaterialResourcesID
1,1,151974
2,13,151950
3,1,151975
4,13,151951
5,1,151976
6,13,168430
7,1,151977
8,13,151952
9,1,151978
10,13,151953
11,1,151979
12,13,151954
13,1,151980
14,13,151955
15,1,151981
16,13,151956
17,1,151982
18,13,151957
19,1,151983
20,13,151958
21,1,151974
22,1,160542
23,1,151984
24,13,151959
25,1,151985
26,13,151960
27,1,151986
28,13,151961
29,1,259419
30,13,259416
31,1,262346
32,13,262342
33,1,343745
34,13,343741
37,5,151701
38,5,151702
39,5,151703
40,5,151704
41,5,151705
42,5,151706
43,5,151707
44,5,151708
45,5,151709
46,5,151710
47,5,151711
48,5,151712
49,5,151713
50,5,259414
51,5,262340
52,5,343739
54,5,151714
55,5,151715
56,5,151716
57,5,151717
58,5,151718
59,5,151719
60,5,151720
61,5,151721
62,5,151722
63,5,151723
65,5,151727
66,5,151728
67,5,151729
68,5,151730
69,5,151731
70,5,151732
71,5,151733
72,5,151734
73,5,151735
74,5,151736
75,5,151737
76,5,151738
77,5,151739
79,5,151740
80,5,151741
81,5,151742
82,5,151743
83,5,151744
84,5,151745
85,5,151746
86,5,151747
87,5,151748
88,5,151749
89,5,151750
90,5,151751
91,5,151752
92,5,151753
93,5,151754
94,5,151755
95,5,151756
96,5,151757
97,5,151758
98,5,151759
99,5,151760
100,5,151761
101,5,151762
102,5,151763
103,5,151764
104,5,151765
105,5,151766
106,5,151767
107,5,151768
108,5,151769
109,5,151770
110,5,151771
111,5,151772
112,5,151773
113,5,151774
114,5,151775
115,5,151776
116,5,151777
117,5,151778
118,5,151779
119,5,151780
120,5,151781
121,5,151782
122,5,151783
123,5,151784
124,5,151785
125,5,151786
126,5,151787
127,5,151788
128,5,151789
129,5,151790
130,5,151791
131,5,151792
132,5,151793
133,5,151794
134,5,151795
135,5,151796
136,5,151797
137,5,151798
138,5,151799
139,5,151800
140,5,151801
141,5,151802
142,5,151803
143,5,151804
144,5,151805
145,5,151806
146,5,151807
147,5,151808
148,5,151809
149,5,151810
150,5,151811
151,5,151812
152,5,151813
153,5,151814
154,5,151815
155,5,151816
156,5,151817
157,5,151818
158,5,151819
159,5,151820
160,5,151821
161,5,151822
162,5,151823
163,5,151824
164,5,151825
165,5,151826
166,5,151827
167,5,151828
168,5,151829
169,4,160537
170,4,160538
171,4,160539
172,5,151830
173,5,151831
174,5,151832
175,5,151833
176,5,151834
177,5,151835
178,5,151836
179,5,151837
180,5,151838
181,5,151839
182,5,151840
183,5,151841
184,5,151842
185,5,151843
186,5,151844
187,5,151845
188,5,151846
189,5,151847
190,5,151848
191,5,151849
192,5,151850
193,5,151851
194,5,151852
195,5,151853
196,5,151854
197,5,151855
198,5,151856
199,5,151857
200,5,151858
201,5,151859
202,5,151860
203,5,151861
204,5,151862
205,5,151863
206,5,151864
207,5,151865
208,5,151866
209,5,151867
210,5,151868
211,5,151869
212,5,151870
213,5,151871
214,5,151872
215,5,151873
216,5,151874
217,5,151875
218,5,151876
219,5,151877
220,5,151878
221,5,151879
222,5,151880
223,5,151881
224,5,151882
225,5,151883
226,5,151884
227,5,151885
228,5,151886
229,5,151887
230,5,151888
231,5,151889
232,5,151890
233,5,151891
234,5,151892
235,5,151893
236,5,151894
237,5,151895
238,5,151896
239,5,151897
240,5,151898
241,5,151899
242,5,151900
243,5,151901
244,5,151902
245,5,151903
246,5,151904
247,5,151905
248,5,151906
249,5,151907
250,5,151908
251,5,151909
252,5,151910
253,5,151911
254,5,151912
255,5,151913
256,5,151914
257,5,151915
258,5,151916
259,5,151917
260,5,151918
261,5,151919
262,5,151920
263,5,151921
264,5,151922
265,5,151923
266,5,151924
267,5,151925
268,5,151926
269,5,151927
270,5,151928
271,5,151929
272,5,151940
273,5,151941
274,5,151942
275,5,151943
276,5,151944
277,5,151945
278,5,151946
279,5,151947
280,5,151948
281,5,151949
282,10,159727
283,11,159844
284,10,159728
285,11,159845
286,10,159729
287,11,159846
288,10,159730
289,11,159847
290,10,159731
291,11,159848
292,10,159732
293,11,159849
294,10,159733
295,11,159850
296,10,159734
297,11,159851
298,10,159735
299,11,159852
300,10,159736
301,11,159853
302,10,159737
303,11,159854
304,10,159738
305,11,159855
306,10,159739
307,11,159856
308,10,271446
309,11,271458
311,10,159727
312,11,159844
313,10,159728
314,11,159845
315,10,159729
316,11,159846
317,10,159730
318,11,159847
319,10,159731
320,11,159848
321,10,159732
322,11,159849
323,10,159733
324,11,159850
325,10,159734
326,11,159851
327,10,159735
328,11,159852
329,10,159736
330,11,159853
331,10,159737
332,11,159854
333,10,159738
334,11,159855
335,10,159739
336,11,159856
338,10,159727
339,11,159857
340,10,159728
341,11,159858
342,10,159729
343,11,159859
344,10,159730
345,11,159860
346,10,159731
347,11,159861
348,10,159732
349,11,159862
350,10,159733
351,11,159863
352,10,159734
353,11,159864
354,10,159735
355,11,159865
356,10,159736
357,11,159866
358,10,159737
359,11,159867
360,10,159738
361,11,159868
362,10,159739
363,11,159869
365,10,159727
366,11,159844
367,10,159728
368,11,159845
369,10,159729
370,11,159846
371,10,159730
372,11,159847
373,10,159731
374,11,159848
375,10,159732
376,11,159849
377,10,159733
378,11,159850
379,10,159734
380,11,159851
381,10,159735
382,11,159852
383,10,159736
384,11,159853
385,10,159737
386,11,159854
387,10,159738
388,11,159855
389,10,159739
390,11,159856
392,10,159727
393,11,159844
394,10,159728
395,11,159845
396,10,159729
397,11,159846
398,10,159730
399,11,159847
400,10,159731
401,11,159848
402,10,159732
403,11,159849
404,10,159733
405,11,159850
406,10,159734
407,11,159851
408,10,159735
409,11,159852
410,10,159736
411,11,159853
412,10,159737
413,11,159854
414,10,159738
415,11,159855
416,10,159739
417,11,159856
419,10,159727
420,11,159844
421,10,159728
422,11,159845
423,10,159729
424,11,159846
425,10,159730
426,11,159847
427,10,159731
428,11,159848
429,10,159732
430,11,159849
431,10,159733
432,11,159850
433,10,159734
434,11,159851
435,10,159735
436,11,159852
437,10,159736
438,11,159853
439,10,159737
440,11,159854
441,10,159738
442,11,159855
443,10,159739
444,11,159856
446,10,159727
447,11,159844
448,10,159728
449,11,159845
450,10,159729
451,11,159846
452,10,159730
453,11,159847
454,10,159731
455,11,159848
456,10,159732
457,11,159849
458,10,159733
459,11,159850
460,10,159734
461,11,159851
462,10,159735
463,11,159852
464,10,159736
465,11,159853
466,10,159737
467,11,159854
468,10,159738
469,11,159855
470,10,159739
471,11,159856
473,10,159727
474,11,159883
475,10,159728
476,11,159884
477,10,159729
478,11,159885
479,10,159730
480,11,159886
481,10,159731
482,11,159887
483,10,159732
484,11,159888
485,10,159733
486,11,159889
487,10,159734
488,11,159890
489,10,159735
490,11,159891
491,10,159736
492,11,159892
493,10,159737
494,11,159893
495,10,159738
496,11,159894
497,10,159739
498,11,159895
500,10,159727
501,11,159844
502,10,159728
503,11,159845
504,10,159729
505,11,159846
506,10,159730
507,11,159847
508,10,159731
509,11,159848
510,10,159732
511,11,159849
512,10,159733
513,11,159850
514,10,159734
515,11,159851
516,10,159735
517,11,159852
518,10,159736
519,11,159853
520,10,159737
521,11,159854
522,10,159738
523,11,159855
524,10,159739
525,11,159856
527,10,159727
528,11,159844
529,10,159728
530,11,159845
531,10,159729
532,11,159846
533,10,159730
534,11,159847
535,10,159731
536,11,159848
537,10,159732
538,11,159849
539,10,159733
540,11,159850
541,10,159734
542,11,159851
543,10,159735
544,11,159852
545,10,159736
546,11,159853
547,10,159737
548,11,159854
549,10,159738
550,11,159855
551,10,159739
552,11,159856
554,10,159727
555,11,159844
556,10,159728
557,11,159845
558,10,159729
559,11,159846
560,10,159730
561,11,159847
562,10,159731
563,11,159848
564,10,159732
565,11,159849
566,10,159733
567,11,159850
568,10,159734
569,11,159851
570,10,159735
571,11,159852
572,10,159736
573,11,159853
574,10,159737
575,11,159854
576,10,159738
577,11,159855
578,10,159739
579,11,159856
581,10,159727
582,11,159844
583,10,159728
584,11,159845
585,10,159729
586,11,159846
587,10,159730
588,11,159847
589,10,159731
590,11,159848
591,10,159732
592,11,159849
593,10,159733
594,11,159850
595,10,159734
596,11,159851
597,10,159735
598,11,159852
599,10,159736
600,11,159853
601,10,159737
602,11,159854
603,10,159738
604,11,159855
605,10,159739
606,11,159856
608,10,159727
609,11,159844
610,10,159728
611,11,159845
612,10,159729
613,11,159846
614,10,159730
615,11,159847
616,10,159731
617,11,159848
618,10,159732
619,11,159849
620,10,159733
621,11,159850
622,10,159734
623,11,159851
624,10,159735
625,11,159852
626,10,159736
627,11,159853
628,10,159737
629,11,159854
630,10,159738
631,11,159855
632,10,159739
633,11,159856
635,10,159727
636,11,159844
637,10,159728
638,11,159845
639,10,159729
640,11,159846
641,10,159730
642,11,159847
643,10,159731
644,11,159848
645,10,159732
646,11,159849
647,10,159733
648,11,159850
649,10,159734
650,11,159851
651,10,159735
652,11,159852
653,10,159736
654,11,159853
655,10,159737
656,11,159854
657,10,159738
658,11,159855
659,10,159739
660,11,159856
662,10,159727
663,11,159844
664,10,159728
665,11,159845
666,10,159729
667,11,159846
668,10,159730
669,11,159847
670,10,159731
671,11,159848
672,10,159732
673,11,159849
674,10,159733
675,11,159850
676,10,159734
677,11,159851
678,10,159735
679,11,159852
680,10,159736
681,11,159853
682,10,159737
683,11,159854
684,10,159738
685,11,159855
686,10,159739
687,11,159856
689,10,159727
690,11,159844
691,10,159728
692,11,159845
693,10,159729
694,11,159846
695,10,159730
696,11,159847
697,10,159731
698,11,159848
699,10,159732
700,11,159849
701,10,159733
702,11,159850
703,10,159734
704,11,159851
705,10,159735
706,11,159852
707,10,159736
708,11,159853
