Position[0],Position[1],Position[2],ID,WarbandSceneID,SlotType,Rotation,Scale,Field_11_0_0_54210_004,Field_11_0_0_54210_005,Field_11_1_0_58221_008,Field_11_1_0_58221_009
-2981.82,457.35,452.826,1,1,0,108,1,0,15,0,0
-2979.55,454.734,452.73,3,1,1,115,1,0,7,0,0
-2984.32,456.639,452.845,4,1,0,85,1,0,15,1,0
-2982.95,451.946,452.797,5,1,1,100,1,0,7,1,0
-2986.63,457.637,452.944,6,1,0,50,1,0,15,2,0
-2986.76,452.162,452.936,7,1,1,62,1,0,7,2,0
-2987.67,459.736,453.08,8,1,0,32,1,0,15,3,0
-2990.23,458.945,453.102,9,1,1,32,1,0,7,3,0
194.243,2500.98,91.2562,40,5,0,199,1,0,15,0,0
197.128,2502.92,91.252,41,5,1,202,1,0,0,0,0
194.418,2498.36,91.2538,42,5,0,188.5,1,0,15,1,0
198.229,2499.33,91.2486,43,5,1,186.5,1,0,0,1,0
193.701,2495.81,91.2475,44,5,0,155.5,1,0,15,2,0
197.792,2495.84,91.2974,45,5,1,161,1,0,0,2,0
191.851,2493.73,91.2918,46,5,0,130.5,1,0,15,3,0
195.625,2492.89,91.2323,47,5,1,144.5,1,0,0,3,0
-3035.3906,489.27432,407.189,48,4,0,190.5,1,0,15,0,0
-3029.13,488.325,407.094,49,4,1,175,1,0,0,0,0
-3035.4531,486.11978,407.208,50,4,0,151.5,1,0,15,1,0
-3029.49,484.75,407.454,51,4,1,151,1,0,0,1,0
-3037.35,483.773,407.307,52,4,0,111,1,0,15,2,0
-3033.23,481.627,407.42,53,4,1,120,1,0,0,2,0
-3040.95,484.62,407.253,54,4,0,80.99,1,0,15,3,0
-3038.63,481.135,407.432,55,4,1,80,1,0,0,3,0
-2816.47,387.05,79.6128,56,7,0,65,1,0,15,0,0
-2816.92,383.651,79.6788,57,7,1,65,1,0,0,0,0
-2818.86,388.568,79.5946,58,7,0,41,1,0,15,1,0
-2821.49,384.418,79.4809,59,7,1,45,1,0,0,1,0
-2819.91,391.01,79.6192,60,7,0,12,1,0,15,2,0
-2824.03,387.564,79.4774,61,7,1,18,1,0,0,2,0
-2819.36,393.273,79.651,62,7,0,348.5,1,0,15,3,0
-2821.76,394.46,79.6719,63,7,1,350,1,0,0,3,0
0,0,0,148,29,0,0,1,0,0,0,0
0,0,0,149,29,0,0,1,0,0,1,0
0,0,0,150,29,0,0,1,0,0,2,0
0,0,0,151,29,0,0,1,0,0,3,0
420.444,-806.694,25.0089,424,25,0,49,1,0,15,0,0
417.901,-809.885,25.004,425,25,1,35.5,1,0,0,0,0
418.441,-804.585,24.9914,426,25,0,12.5,1,0,15,1,0
414.983,-807.108,25.0574,427,25,1,19.5,1,0,0,1,0
418.785,-800.977,25.0019,428,25,0,339.5,1,0,15,2,0
413.83,-802.625,25.0672,429,25,1,359.5,1,0,0,2,0
420.34,-799.094,24.9995,430,25,0,320.5,1,0,15,3,0
419.497,-797.422,24.9975,431,25,1,311,1,0,0,3,0
