ID,DifficultyID,CasterAuraState,TargetAuraState,ExcludeCasterAuraState,ExcludeTargetAuraState,CasterAuraSpell,TargetAuraSpell,ExcludeCasterAuraSpell,ExcludeTargetAuraSpell,SpellID
4,0,0,0,0,0,0,0,79636,0,130
18,0,0,0,0,0,79808,0,0,0,5143
44,0,0,0,0,0,0,0,79636,0,12438
51,0,0,0,0,0,0,0,79636,0,16593
68,0,0,0,0,0,0,0,79636,0,24927
113,0,0,0,0,0,0,0,79636,0,37897
122,0,0,0,0,0,0,0,79636,0,41947
157,0,0,0,0,0,0,0,79636,0,48929
175,0,0,0,0,0,0,0,79636,0,52641
190,0,0,0,0,0,0,0,79636,0,55001
211,0,0,0,0,0,0,0,79636,0,59200
347,4,0,0,0,0,0,0,69076,0,69057
353,4,0,0,0,0,0,0,0,69278,69278
354,4,0,0,0,0,0,0,0,70002,69674
409,4,0,0,0,0,0,0,0,70953,70911
410,5,0,0,0,0,0,0,0,70953,70911
411,6,0,0,0,0,0,0,0,70953,70911
419,5,0,0,0,0,0,0,0,70002,69674
420,6,0,0,0,0,0,0,0,70002,69674
422,0,0,0,0,0,0,0,69076,0,73142
423,4,0,0,0,0,0,0,69076,0,73142
427,4,0,0,0,0,0,0,0,72846,70338
428,5,0,0,0,0,0,0,0,72846,70338
429,6,0,0,0,0,0,0,0,72846,70338
442,0,0,0,0,0,0,0,75855,0,75852
451,0,0,0,0,0,0,0,75855,0,78780
453,0,0,0,12,0,0,0,0,0,80325
455,0,0,0,0,0,81661,0,0,0,81700
456,0,0,0,0,0,0,0,0,3436,3439
463,0,0,0,0,0,0,0,65234,0,65216
464,0,0,0,0,0,0,0,65234,0,65231
465,0,0,0,0,0,0,0,65234,0,65233
466,0,0,0,0,0,0,0,0,65464,65405
468,0,0,0,0,0,65911,0,0,0,65786
469,0,0,0,0,0,65911,0,0,0,65865
470,0,0,0,0,0,65911,0,0,0,65887
474,0,0,0,0,0,0,0,46957,0,66772
475,0,0,0,0,0,0,0,66894,0,66894
476,0,0,0,0,0,0,0,0,66894,66914
477,0,0,0,0,0,0,0,0,47020,67053
479,0,0,0,0,0,67502,0,0,0,67508
480,0,0,0,0,0,67502,0,0,0,67522
481,0,0,0,0,0,67502,0,0,0,67524
482,0,0,0,0,0,67502,0,0,0,67525
483,0,0,0,0,0,67502,0,0,0,67526
484,0,0,0,0,0,0,0,0,67476,67555
486,0,0,0,0,0,0,0,0,67919,67917
487,0,0,13,0,0,0,0,0,0,67963
488,0,0,0,0,0,68171,0,0,0,68172
489,0,0,0,0,0,68171,0,0,0,68173
490,0,0,0,0,0,0,68165,0,0,68176
491,0,0,0,0,0,68172,0,0,0,68178
492,0,0,0,0,0,68181,0,0,0,68182
493,0,0,0,0,0,0,0,0,29266,68265
494,0,0,0,0,0,68290,0,0,0,68292
495,0,0,0,0,0,68579,0,0,0,68564
496,0,0,0,0,0,68579,0,0,0,68577
497,0,0,0,0,0,0,0,68735,0,68735
498,0,0,0,0,0,0,68482,0,0,68953
499,0,0,0,0,0,0,0,68630,0,69251
500,0,0,0,0,0,0,0,69010,0,69283
501,0,0,0,0,0,0,0,68651,68651,69862
502,0,0,0,12,0,0,0,0,0,70456
504,0,0,0,0,0,70794,0,0,0,70797
505,0,0,0,0,0,0,0,70899,70899,70898
506,0,0,0,0,0,0,0,71442,0,71442
507,0,0,0,0,0,0,69485,0,0,71511
508,0,0,0,0,0,0,0,71710,0,71710
509,0,0,0,0,0,0,71775,0,0,71771
510,0,0,0,0,0,0,0,72644,0,72631
511,0,0,0,0,0,0,0,72644,0,72632
512,0,0,0,0,0,0,0,72644,0,72634
513,0,0,13,0,0,0,0,0,0,73068
514,0,0,0,0,0,0,0,73132,73132,73131
515,0,0,0,0,0,0,0,73179,0,73179
516,0,0,0,0,0,0,0,46957,0,73238
517,0,0,0,0,0,75990,0,0,0,73257
518,0,0,13,0,0,0,0,0,0,73387
519,0,0,0,12,0,0,0,0,0,73392
520,0,0,0,0,0,0,0,0,73427,73486
521,0,0,0,0,0,0,0,46957,0,73570
522,0,0,0,0,0,0,0,73633,0,73601
523,0,0,0,0,0,0,0,73616,0,73603
524,0,0,0,0,0,0,0,73633,0,73608
525,0,0,0,0,0,0,0,73635,0,73609
526,0,0,0,0,0,0,0,73635,0,73610
527,0,0,0,0,0,0,0,73637,0,73611
528,0,0,0,0,0,0,0,73637,0,73612
529,0,0,0,0,0,0,0,73616,0,73648
531,0,0,0,0,0,0,0,0,73873,73873
532,0,0,0,0,0,0,0,0,74003,74003
533,0,0,0,0,0,74008,0,0,0,74010
534,0,0,0,0,0,74009,0,0,0,74011
535,0,0,0,0,0,74009,0,0,0,74012
536,0,0,0,0,0,74008,0,0,0,74013
537,0,0,0,0,0,0,0,74073,0,74087
538,0,0,0,0,0,0,0,74114,0,74089
539,0,0,0,0,0,0,0,0,74101,74101
540,0,0,0,0,0,0,0,74351,0,74351
541,0,0,13,0,0,0,0,0,0,74415
544,0,0,0,0,0,0,75470,0,0,75471
546,0,0,0,0,0,75990,0,0,0,75560
548,0,0,0,0,0,0,0,0,59632,75774
549,0,0,0,0,0,75990,0,0,0,75991
550,0,0,0,0,0,0,75901,0,0,76024
551,0,0,0,0,0,0,0,0,75919,76033
552,0,0,0,0,0,0,0,76042,0,76042
553,0,0,0,0,0,0,0,76042,0,76106
554,0,0,0,0,0,0,76039,0,0,76121
555,0,0,0,0,0,0,0,0,66326,76214
556,0,0,0,0,0,0,0,0,56512,76232
557,0,0,0,0,0,0,0,0,56512,76233
558,0,0,0,0,0,0,0,0,56512,76253
560,0,0,0,0,0,0,0,0,76569,76569
561,0,0,0,0,0,0,0,76596,76596,76596
562,0,0,0,0,0,0,0,0,76681,76676
564,0,0,0,0,0,76867,0,0,0,76859
565,0,0,0,0,0,0,0,76847,0,76887
566,0,0,0,0,0,0,0,76847,0,76889
567,0,0,0,0,0,0,0,0,76894,76894
568,0,0,0,0,0,0,0,0,76956,76904
570,0,0,0,0,0,0,0,76847,0,77055
571,0,0,0,0,0,0,77224,0,0,77231
572,0,0,0,0,0,0,0,77281,0,77275
573,0,0,0,0,0,0,0,0,77313,77313
574,0,0,0,0,0,0,0,69876,0,77475
575,0,0,0,0,0,0,0,0,77647,77645
576,0,0,2,0,0,0,0,0,0,77720
577,0,0,0,0,0,0,0,77725,0,77725
578,0,0,0,0,0,77736,0,0,0,77770
579,0,0,0,12,0,0,0,0,0,77774
580,0,0,0,12,0,0,0,0,0,77780
581,0,0,0,12,0,0,0,0,0,77806
582,0,0,0,0,0,0,0,0,56512,77812
583,0,0,0,0,0,0,77872,0,0,77902
584,0,0,0,0,0,0,77873,0,0,77903
586,0,0,0,0,0,0,0,76847,0,78176
587,0,0,0,0,0,0,0,0,76894,78177
588,0,0,0,0,0,0,0,76847,0,78178
589,0,0,0,0,0,0,0,76847,0,78179
590,0,0,0,0,0,78279,0,0,0,78283
592,0,0,0,0,0,78308,0,0,0,78297
593,0,0,0,0,0,0,78318,0,0,78319
594,0,0,0,0,0,0,0,62340,0,78371
596,0,0,0,0,0,0,78168,0,0,78503
597,0,0,0,0,0,78516,0,0,0,78519
598,0,0,0,0,0,0,78321,0,0,78525
599,0,0,0,0,0,78703,0,0,0,78702
600,0,0,0,0,0,78837,0,0,0,78832
601,0,0,0,0,0,0,78953,0,0,78846
602,0,0,0,0,0,0,78897,0,0,78875
603,0,0,0,0,0,0,78897,0,0,78891
606,0,0,0,0,0,0,82251,0,0,79042
607,0,0,0,0,0,0,0,78955,0,79045
608,0,0,0,0,0,0,83033,0,0,79051
609,0,0,0,0,0,0,0,0,79098,79091
610,0,0,0,0,0,0,0,0,75511,79103
611,0,0,0,0,0,0,0,0,79098,79153
612,0,0,0,0,0,0,79130,0,0,79159
614,0,0,0,12,0,0,0,0,0,79403
615,0,0,0,0,0,0,0,0,79551,79552
616,0,0,0,0,0,0,78740,0,0,79624
617,0,0,0,0,0,0,79612,0,79652,79652
618,0,0,0,0,0,0,0,0,79688,79688
619,0,0,0,0,0,0,0,0,65219,79830
620,0,0,0,0,0,0,0,0,80093,80093
621,0,0,0,0,0,0,0,0,70157,80130
622,0,0,0,0,0,0,68481,0,0,80133
623,0,0,0,0,0,0,68483,0,0,80134
624,0,0,0,0,0,0,0,0,77647,80174
625,0,0,0,0,0,80186,0,0,0,80180
627,0,0,0,0,0,80766,0,0,0,80645
628,0,0,0,0,0,80769,0,0,0,80646
629,0,0,0,0,0,80768,0,0,0,80648
630,0,0,0,0,0,80764,0,0,0,80649
631,0,0,0,0,0,80770,0,0,0,80652
632,0,0,0,0,0,80762,0,0,0,80655
633,0,0,0,0,0,0,0,80666,0,80665
634,0,0,0,0,0,80763,0,0,0,80718
635,0,0,0,0,0,80767,0,0,0,80747
636,0,0,0,0,0,0,0,74351,0,80786
637,0,0,0,0,0,0,0,74351,0,80842
638,0,0,0,0,0,0,0,74351,0,80858
639,0,0,0,0,0,0,0,74351,0,80859
640,0,0,0,0,0,0,0,80994,0,80994
641,0,0,0,0,0,0,81011,0,0,81002
642,0,0,0,0,0,0,0,74351,0,81180
643,0,0,0,0,0,0,0,74351,0,81182
644,0,0,0,0,0,0,0,0,81227,81224
645,0,0,0,0,0,0,81377,0,0,81375
646,0,0,0,0,0,0,0,81471,0,81490
647,0,0,0,0,0,81514,0,0,0,81506
648,0,0,0,0,0,0,0,81513,0,81513
649,0,0,0,0,0,81513,0,81514,0,81514
650,0,0,0,0,0,81514,0,0,0,81541
652,0,0,0,12,0,0,0,0,0,81683
688,0,0,0,0,0,0,0,0,11920,6607
689,0,0,2,0,0,0,0,0,0,82058
690,0,0,0,0,0,0,83020,0,78947,82229
691,0,0,0,0,0,0,0,74351,0,82273
692,0,0,0,0,0,0,0,74351,0,82274
710,0,0,0,0,0,0,0,81525,0,81526
711,0,0,0,0,0,0,0,0,82617,82617
712,0,0,0,0,0,77559,0,0,0,82644
713,0,0,0,12,0,0,0,0,0,82717
714,0,0,0,12,0,0,0,0,0,82788
715,0,0,0,12,0,0,0,0,0,82820
716,0,0,0,0,0,0,0,74351,0,82823
717,0,0,0,0,0,0,0,0,65219,82828
721,0,0,0,0,0,0,0,0,82864,75056
722,0,0,0,0,0,0,0,74351,0,82870
727,0,0,0,0,0,0,82962,0,0,82970
728,0,0,0,0,0,0,83022,0,78948,83024
729,0,0,0,0,0,0,81377,0,0,83044
730,0,0,0,0,0,0,81377,0,0,83045
731,0,13,0,0,0,0,0,0,0,31674
732,0,13,0,0,0,0,0,0,0,31675
733,0,13,0,0,0,0,0,0,0,31676
737,0,0,0,0,0,0,0,61431,0,83242
738,0,0,0,0,0,0,0,61431,0,83243
739,0,0,0,0,0,0,0,61431,0,83244
740,0,0,0,0,0,0,0,61431,0,83245
748,0,0,0,0,0,0,0,83812,0,83791
749,0,0,0,0,0,0,0,83814,0,83794
751,0,0,0,0,0,0,0,83815,0,83795
752,0,0,0,0,0,0,83863,0,0,82766
755,0,0,0,0,0,0,0,0,83569,83946
756,0,0,0,12,0,0,0,0,0,84348
757,0,0,0,0,0,0,0,0,83089,83051
758,0,0,0,0,0,0,0,0,84402,84402
759,0,0,0,12,0,0,0,0,0,84442
761,0,0,0,0,0,0,0,0,84523,84438
762,0,0,0,0,0,0,0,0,83089,83446
763,0,0,0,0,0,0,0,0,83872,83872
764,0,0,0,0,0,0,0,83815,0,84618
766,0,0,0,0,0,0,0,83815,0,84623
769,0,0,0,0,0,0,0,0,78726,79629
771,0,0,0,0,0,0,0,84589,0,83151
775,0,0,0,0,0,84979,0,0,0,84974
776,0,5,0,0,0,0,0,0,0,85064
778,0,0,0,0,0,0,0,0,83498,83498
779,0,0,0,0,0,0,0,0,85257,85257
782,0,17,0,0,0,0,0,0,0,85288
783,0,0,0,0,0,0,0,74351,0,85378
784,0,0,2,0,0,0,0,0,0,17877
786,0,0,0,0,22,0,0,0,0,85085
787,0,0,0,0,22,0,0,0,0,85158
788,0,0,0,0,22,0,0,0,0,85159
793,0,0,0,0,0,85709,0,85712,0,85714
794,0,0,0,0,0,85711,0,85712,0,85715
797,0,0,0,0,0,0,0,0,85799,85799
798,0,0,0,0,0,0,0,0,85847,85842
800,0,0,0,0,0,0,0,85870,0,85870
801,0,0,0,0,0,0,0,85868,0,85868
802,0,0,0,0,0,0,0,85869,0,85869
803,0,0,0,0,0,0,0,85871,0,85871
808,0,0,0,0,0,0,0,0,86202,86199
809,0,0,0,0,0,0,86202,0,86415,86228
810,0,0,0,12,0,0,0,0,0,86237
812,0,0,0,0,0,0,0,0,86315,49560
817,0,0,0,0,0,0,0,0,86315,31790
819,0,0,0,0,0,0,0,0,86415,86301
820,0,0,0,0,0,0,0,0,86202,86406
821,0,0,0,0,0,0,0,1134,0,85730
822,0,0,13,0,0,0,0,0,0,20234
823,0,0,0,0,0,84589,0,0,0,83790
824,0,0,0,0,0,0,0,0,86202,86495
829,0,0,0,0,0,0,0,0,88518,86607
832,0,0,0,0,0,0,86780,0,0,86796
833,0,0,0,0,0,0,0,0,86214,86673
